Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009866,0.0062599,273,5
200.0,0.0019928,0.008764,273,5
500.0,0.0054537,0.0145911,273,5
1000.0,0.0104181,0.0203168,273,5
2000.0,0.0202372,0.0279955,273,5
5000.0,0.0530458,0.045475,273,5
10000.0,0.1023451,0.0537986,273,5
20000.0,0.197847,0.0763838,273,5
50000.0,0.4464474,0.1050661,273,5
100000.0,0.7429888,0.1239668,273,5
100.0,0.0005325,0.0046017,298,5
200.0,0.0011041,0.0065048,298,5
500.0,0.002631,0.010034,298,5
1000.0,0.0054068,0.0144927,298,5
2000.0,0.0106334,0.0201555,298,5
5000.0,0.0261778,0.0318398,298,5
10000.0,0.0523332,0.0444624,298,5
20000.0,0.1030965,0.0553068,298,5
50000.0,0.2374459,0.0815534,298,5
100000.0,0.4405209,0.1018296,298,5
100.0,0.000321,0.0035307,323,5
200.0,0.0006225,0.0048974,323,5
500.0,0.0014055,0.0073882,323,5
1000.0,0.0029677,0.0107401,323,5
2000.0,0.0054655,0.014592,323,5
5000.0,0.0147795,0.0238338,323,5
10000.0,0.0291323,0.0337566,323,5
20000.0,0.0580509,0.0475732,323,5
50000.0,0.135409,0.0614407,323,5
100000.0,0.2646134,0.0849892,323,5
100.0,0.0012372,0.0069156,273,1
200.0,0.0027171,0.0103868,273,1
500.0,0.0063307,0.0157557,273,1
1000.0,0.0126184,0.0220856,273,1
2000.0,0.0252298,0.0311969,273,1
5000.0,0.0642704,0.0491272,273,1
10000.0,0.121153,0.060107,273,1
20000.0,0.2359091,0.0814323,273,1
50000.0,0.5119314,0.1117489,273,1
100000.0,0.8474617,0.1277267,273,1
100.0,0.0006499,0.0050631,298,1
200.0,0.0013272,0.0071499,298,1
500.0,0.003046,0.0109166,298,1
1000.0,0.0064404,0.0155839,298,1
2000.0,0.0128337,0.0223109,298,1
5000.0,0.0312856,0.0345582,298,1
10000.0,0.0606802,0.0482672,298,1
20000.0,0.1201272,0.0599904,298,1
50000.0,0.2836847,0.089203,298,1
100000.0,0.5079522,0.1130929,298,1
100.0,0.0003602,0.0037379,323,1
200.0,0.0005481,0.0046331,323,1
500.0,0.0016248,0.007983199999999998,323,1
1000.0,0.0033044,0.0113117,323,1
2000.0,0.0069689,0.0164675,323,1
5000.0,0.0167919,0.0258084,323,1
10000.0,0.0339831,0.0360822,323,1
20000.0,0.0671323,0.0503834,323,1
50000.0,0.1587771,0.0692528,323,1
100000.0,0.3070304,0.0928578,323,1
100.0,0.0009866,0.006186,273,6
200.0,0.0021063,0.0090392,273,6
500.0,0.0051954,0.0142937,273,6
1000.0,0.010101,0.0198722,273,6
2000.0,0.0207422,0.0283599,273,6
5000.0,0.0515972,0.0443849,273,6
10000.0,0.1002541,0.052602,273,6
20000.0,0.1961901,0.07375239999999998,273,6
50000.0,0.4405277,0.1080195,273,6
100000.0,0.7540925,0.1205955,273,6
100.0,0.0005638,0.0046969,298,6
200.0,0.0010101,0.0062316,298,6
500.0,0.0024861,0.0098009,298,6
1000.0,0.0053011,0.0145475,298,6
2000.0,0.0102706,0.0199688,298,6
5000.0,0.0257927,0.032003,298,6
10000.0,0.0509551,0.043912,298,6
20000.0,0.1021962,0.0551887,298,6
50000.0,0.2416868,0.0828374,298,6
100000.0,0.4365656,0.1016834,298,6
100.0,0.0002975,0.0034001,323,6
200.0,0.0006264,0.0049745,323,6
500.0,0.0015034,0.0075841,323,6
1000.0,0.0028424,0.0105874,323,6
2000.0,0.0057161,0.0149126,323,6
5000.0,0.014067,0.0234908,323,6
10000.0,0.0289796,0.0335537,323,6
20000.0,0.0565224,0.0459626,323,6
50000.0,0.1367507,0.0652978,323,6
100000.0,0.2581934,0.08367719999999998,323,6
100.0,0.0012646,0.0070967,273,2
200.0,0.0024665,0.0099378,273,2
500.0,0.0063346,0.0156615,273,2
1000.0,0.0121368,0.0217315,273,2
2000.0,0.0255148,0.0314134,273,2
5000.0,0.0603463,0.047544,273,2
10000.0,0.1198203,0.0611319,273,2
20000.0,0.2281176,0.0782401,273,2
50000.0,0.5057675,0.1093003,273,2
100000.0,0.8461486,0.1266348,273,2
100.0,0.0006147,0.0048984,298,2
200.0,0.001151,0.0066828,298,2
500.0,0.0032809,0.0114397,298,2
1000.0,0.0062642,0.0154634,298,2
2000.0,0.012562,0.0223045,298,2
5000.0,0.0301346,0.0340245,298,2
10000.0,0.0598933,0.0481369,298,2
20000.0,0.1191414,0.0600724,298,2
50000.0,0.2862338,0.08852989999999998,298,2
100000.0,0.5071571,0.1111951,298,2
100.0,0.0003954,0.0039537,323,2
200.0,0.0006382,0.005019,323,2
500.0,0.0017148,0.0082943,323,2
1000.0,0.0033278,0.0114396,323,2
2000.0,0.0070746,0.0165756,323,2
5000.0,0.0168311,0.0257055,323,2
10000.0,0.0334468,0.0354457,323,2
20000.0,0.0659813,0.0503736,323,2
50000.0,0.1603745,0.0690334,323,2
100000.0,0.3064353,0.0904366,323,2
100.0,0.0009944,0.0061847,273,8
200.0,0.0020016,0.008781799999999998,273,8
500.0,0.0048078,0.013771,273,8
1000.0,0.0094002,0.019238,273,8
2000.0,0.0192524,0.0274128,273,8
5000.0,0.0478387,0.0424579,273,8
10000.0,0.0933714,0.0524332,273,8
20000.0,0.182166,0.0710665,273,8
50000.0,0.409434,0.1028445,273,8
100000.0,0.6950922,0.1202863,273,8
100.0,0.0004776,0.0042979,298,8
200.0,0.0007869,0.0055501,298,8
500.0,0.0023334,0.0095618,298,8
1000.0,0.0050544,0.0141179,298,8
2000.0,0.0101805,0.0200952,298,8
5000.0,0.0241131,0.0306322,298,8
10000.0,0.0479013,0.0429298,298,8
20000.0,0.0949883,0.0522935,298,8
50000.0,0.2231023,0.0803707,298,8
100000.0,0.4115033,0.1028251,298,8
100.0,0.0002936,0.0034229,323,8
200.0,0.0005442,0.004617,323,8
500.0,0.001339,0.0072857,323,8
1000.0,0.0026897,0.0101627,323,8
2000.0,0.005536,0.0147224,323,8
5000.0,0.0135071,0.0231281,323,8
10000.0,0.026611,0.0321923,323,8
20000.0,0.0521845,0.0444477,323,8
50000.0,0.1293042,0.0698084,323,8
100000.0,0.2445297,0.0930131,323,8
100.0,0.0011824,0.0068808,273,4
200.0,0.0023882,0.0096441,273,4
500.0,0.0060136,0.0153544,273,4
1000.0,0.0118667,0.0213878,273,4
2000.0,0.0236512,0.0302241,273,4
5000.0,0.0569687,0.0466799,273,4
