Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002218,0.0027632,273,5
200.0,0.0004435,0.0039258,273,5
500.0,0.0011435,0.0063052,273,5
1000.0,0.002183,0.008699399999999998,273,5
2000.0,0.0042586,0.012063,273,5
5000.0,0.0108665,0.0190817,273,5
10000.0,0.0210678,0.026919,273,5
20000.0,0.0420074,0.0378971,273,5
50000.0,0.0971435,0.0495681,273,5
100000.0,0.177173,0.0605109,273,5
100.0,0.0001074,0.0019263,298,5
200.0,0.0002114,0.0027422,298,5
500.0,0.0006757,0.0048905,298,5
1000.0,0.0011539,0.0064072,298,5
2000.0,0.0024325,0.0091594,298,5
5000.0,0.005901,0.0144165,298,5
10000.0,0.0119372,0.0203238,298,5
20000.0,0.0226408,0.0275788,298,5
50000.0,0.0561759,0.0369955,298,5
100000.0,0.1053246,0.0519639,298,5
100.0,7.16e-05,0.0013251,323,5
200.0,0.0001247,0.0016929,323,5
500.0,0.000395,0.0030126,323,5
1000.0,0.0006306,0.0038485,323,5
2000.0,0.0014576,0.0057575,323,5
5000.0,0.0036291,0.0091011,323,5
10000.0,0.0070064,0.0127432,323,5
20000.0,0.014186,0.0179052,323,5
50000.0,0.0337938,0.027817,323,5
100000.0,0.0661553,0.0342765,323,5
100.0,0.0002807,0.0031059,273,1
200.0,0.0005579,0.0043612,273,1
500.0,0.0015531,0.0073025,273,1
1000.0,0.0032969,0.0105499,273,1
2000.0,0.0061678,0.0144422,273,1
5000.0,0.0159082,0.0236827,273,1
10000.0,0.0319203,0.0328213,273,1
20000.0,0.0614982,0.0448227,273,1
50000.0,0.140771,0.0560037,273,1
100000.0,0.243301,0.0688923,273,1
100.0,0.0001698,0.0024196,298,1
200.0,0.00035,0.0034647,298,1
500.0,0.0008350999999999999,0.005314,298,1
1000.0,0.0015801,0.007473699999999998,298,1
2000.0,0.0033092,0.0108905,298,1
5000.0,0.0087805,0.017408,298,1
10000.0,0.0167086,0.0237878,298,1
20000.0,0.0339509,0.0331562,298,1
50000.0,0.0801265,0.0442623,298,1
100000.0,0.1434879,0.0563096,298,1
100.0,9.93e-05,0.0015115,323,1
200.0,0.0001802,0.0020583,323,1
500.0,0.0004874,0.0033678,323,1
1000.0,0.0010372,0.0049049,323,1
2000.0,0.0021091,0.0069365,323,1
5000.0,0.0049412,0.0106349,323,1
10000.0,0.0100002,0.0153388,323,1
20000.0,0.0198988,0.0210277,323,1
50000.0,0.0470858,0.0282836,323,1
100000.0,0.0913233,0.0373595,323,1
100.0,0.0001663,0.0023949,273,6
200.0,0.0005128,0.0042694,273,6
500.0,0.0010568,0.0059987,273,6
1000.0,0.0020964,0.008462199999999998,273,6
2000.0,0.0040888,0.0118157,273,6
5000.0,0.0108007,0.0195506,273,6
10000.0,0.021189,0.0269424,273,6
20000.0,0.0419587,0.0370848,273,6
50000.0,0.0985469,0.0501846,273,6
100000.0,0.1814351,0.0608315,273,6
