Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007022,0.0061904,273,5
200.0,0.0011431,0.0079178,273,5
500.0,0.0033857,0.013546,273,5
1000.0,0.0066952,0.019049,273,5
2000.0,0.0137891,0.0275077,273,5
5000.0,0.0340419,0.0428349,273,5
10000.0,0.0665706,0.0606833,273,5
20000.0,0.1332023,0.08539979999999998,273,5
50000.0,0.3276874,0.1165313,273,5
100000.0,0.6429424,0.1585478,273,5
100.0,0.0004572,0.0049678,298,5
200.0,0.0007456999999999999,0.006374,298,5
500.0,0.0021229,0.0107604,298,5
1000.0,0.0042947,0.0152288,298,5
2000.0,0.008583999999999998,0.0216522,298,5
5000.0,0.0209074,0.0335969,298,5
10000.0,0.0427402,0.0486632,298,5
20000.0,0.0847128,0.067334,298,5
50000.0,0.2086115,0.1068182,298,5
100000.0,0.4132712,0.1393312,298,5
100.0,0.000283,0.0039149,323,5
200.0,0.0006426,0.0058793,323,5
500.0,0.0014759,0.008907399999999998,323,5
1000.0,0.0028359,0.0123629,323,5
2000.0,0.0057372,0.0175952,323,5
5000.0,0.0147675,0.0282154,323,5
10000.0,0.0296002,0.0403857,323,5
20000.0,0.0596468,0.0576011,323,5
50000.0,0.1441692,0.08802749999999998,323,5
100000.0,0.2876035,0.109076,323,5
100.0,0.0007403,0.0063513,273,1
200.0,0.0013608,0.0087389,273,1
500.0,0.0035054,0.013776,273,1
1000.0,0.0068802,0.0193692,273,1
2000.0,0.0129505,0.0265293,273,1
5000.0,0.0325124,0.0420692,273,1
10000.0,0.0641538,0.0584406,273,1
20000.0,0.128988,0.0839637,273,1
50000.0,0.3205404,0.1158925,273,1
100000.0,0.6236097,0.158202,273,1
100.0,0.0004572,0.0049678,298,1
200.0,0.0009253000000000002,0.007203,298,1
500.0,0.0020412,0.0104835,298,1
1000.0,0.0039191,0.014526,298,1
2000.0,0.0080437,0.0207805,298,1
5000.0,0.0215334,0.0344131,298,1
10000.0,0.041204,0.0470025,298,1
20000.0,0.0840814,0.0680947,298,1
50000.0,0.2030267,0.1054686,298,1
100000.0,0.4041333,0.1350771,298,1
100.0,0.0003103,0.0041695,323,1
200.0,0.000577,0.0056273,323,1
500.0,0.0013016,0.0084221,323,1
1000.0,0.0029448,0.0128779,323,1
2000.0,0.0058079,0.0177147,323,1
5000.0,0.0143647,0.0277261,323,1
10000.0,0.0286749,0.0395929,323,1
20000.0,0.0567347,0.0556464,323,1
50000.0,0.1393029,0.08615939999999998,323,1
100000.0,0.2787691,0.1083483,323,1
100.0,0.0007131,0.0062368,273,6
200.0,0.0013281,0.0085382,273,6
500.0,0.0034401,0.0138354,273,6
1000.0,0.0063795,0.0186397,273,6
2000.0,0.0132325,0.0266886,273,6
5000.0,0.0332907,0.0425737,273,6
10000.0,0.0656942,0.0598233,273,6
20000.0,0.1296466,0.08311979999999998,273,6
50000.0,0.3226361,0.1156664,273,6
100000.0,0.6106379,0.1621754,273,6
100.0,0.0004572,0.0049678,298,6
200.0,0.0008599999999999999,0.0067878,298,6
500.0,0.0019704,0.0103406,298,6
1000.0,0.0042097,0.0152761,298,6
2000.0,0.008028699999999998,0.0207088,298,6
5000.0,0.0207387,0.0331026,298,6
10000.0,0.041842,0.047146,298,6
20000.0,0.0827206,0.0668921,298,6
50000.0,0.2068152,0.1037858,298,6
100000.0,0.4077626,0.1326709,298,6
100.0,0.0002558,0.0037229,323,6
200.0,0.000626,0.0058035,323,6
500.0,0.0012574,0.008213,323,6
1000.0,0.0029829,0.0127883,323,6
2000.0,0.0058079,0.0176645,323,6
5000.0,0.0142122,0.0280696,323,6
10000.0,0.0289688,0.0400572,323,6
20000.0,0.0574151,0.0557019,323,6
50000.0,0.1422695,0.08679969999999998,323,6
100000.0,0.2801191,0.1053798,323,6
100.0,0.0007131,0.0062368,273,2
200.0,0.0011927,0.0079685,273,2
500.0,0.0033476,0.0135226,273,2
1000.0,0.0065155,0.0187591,273,2
2000.0,0.0124976,0.0262001,273,2
5000.0,0.0321858,0.0421301,273,2
10000.0,0.0629823,0.0581867,273,2
20000.0,0.1252757,0.08193449999999998,273,2
50000.0,0.3111618,0.1171568,273,2
100000.0,0.6022125,0.1560151,273,2
100.0,0.0004082,0.0048208,298,2
200.0,0.0008708999999999999,0.0070013,298,2
500.0,0.0020793,0.0105183,298,2
1000.0,0.0041641,0.0149909,298,2
2000.0,0.0081322,0.0211712,298,2
5000.0,0.0204284,0.0332282,298,2
10000.0,0.0399732,0.0464667,298,2
20000.0,0.07979219999999998,0.0662071,298,2
50000.0,0.2005936,0.1035773,298,2
100000.0,0.3923311,0.130249,298,2
100.0,0.0002558,0.0037229,323,2
200.0,0.000577,0.0055744,323,2
500.0,0.0014642,0.008840199999999998,323,2
1000.0,0.0026944,0.0119812,323,2
2000.0,0.0056664,0.0175254,323,2
5000.0,0.0142122,0.0279109,323,2
10000.0,0.0279836,0.0390549,323,2
20000.0,0.0560597,0.0550117,323,2
50000.0,0.139009,0.08721569999999998,323,2
100000.0,0.2765538,0.1073452,323,2
100.0,0.0007022,0.0061904,273,8
200.0,0.0013227,0.0085216,273,8
500.0,0.0032442,0.013182,273,8
1000.0,0.0065046,0.0188417,273,8
2000.0,0.0130975,0.0266746,273,8
5000.0,0.0321803,0.0424879,273,8
10000.0,0.063947,0.0581647,273,8
20000.0,0.1254173,0.08259039999999998,273,8
50000.0,0.3133935,0.1157673,273,8
100000.0,0.6086447,0.1541791,273,8
100.0,0.0004409,0.004879,298,8
200.0,0.0007569999999999999,0.0063743,298,8
500.0,0.0020695,0.0106072,298,8
1000.0,0.004311,0.015408,298,8
2000.0,0.008208399999999998,0.0211558,298,8
5000.0,0.020374,0.0328493,298,8
10000.0,0.0415046,0.046821,298,8
20000.0,0.08145239999999998,0.0658784,298,8
50000.0,0.1993144,0.1034306,298,8
100000.0,0.396541,0.1304919,298,8
100.0,0.0002776,0.003953,323,8
200.0,0.0006369,0.0060031,323,8
500.0,0.0012846,0.0084752,323,8
1000.0,0.0028903,0.0126349,323,8
2000.0,0.0054595,0.017268,323,8
5000.0,0.0141959,0.0280198,323,8
10000.0,0.0280108,0.0387497,323,8
20000.0,0.0566966,0.0550403,323,8
50000.0,0.139243,0.0872415,323,8
100000.0,0.2768259,0.1209027,323,8
100.0,0.0006913,0.0061435,273,4
200.0,0.0011376,0.0078245,273,4
500.0,0.0030264,0.0128475,273,4
1000.0,0.0063577,0.0186471,273,4
2000.0,0.0124214,0.0264164,273,4
5000.0,0.0313584,0.0411893,273,4
10000.0,0.0618132,0.0575288,273,4
20000.0,0.123572,0.0822267,273,4
50000.0,0.3025397,0.1142723,273,4
100000.0,0.5980087,0.1600098,273,4
100.0,0.0004191,0.0048809,298,4
200.0,0.0007946999999999999,0.0065289,298,4
500.0,0.0019215,0.0101912,298,4
1000.0,0.0041913,0.0151113,298,4
2000.0,0.0080777,0.0207398,298,4
5000.0,0.0206461,0.033635,298,4
10000.0,0.0399532,0.0462335,298,4
20000.0,0.0792152,0.0656038,298,4
50000.0,0.2001364,0.1016461,298,4
100000.0,0.390034,0.1275987,298,4
100.0,0.0002667,0.0038009,323,4
200.0,0.0005171,0.0052801,323,4
500.0,0.0014914,0.0088858,323,4
1000.0,0.0027869,0.0122899,323,4
2000.0,0.0060232,0.018038,323,4
5000.0,0.0133807,0.0270317,323,4
10000.0,0.0269875,0.0379538,323,4
20000.0,0.0548731,0.0541056,323,4
50000.0,0.1356941,0.0854317,323,4
100000.0,0.2731572,0.1191452,323,4
100.0,0.0008654999999999998,0.0068522,273,7
200.0,0.0016774,0.0095009,273,7
500.0,0.0038756,0.0143737,273,7
1000.0,0.0081104,0.0212773,273,7
2000.0,0.0165093,0.0299382,273,7
5000.0,0.0401873,0.0462005,273,7
10000.0,0.07757129999999998,0.0639848,273,7
20000.0,0.1571349,0.0913389,273,7
50000.0,0.3786033,0.128773,273,7
100000.0,0.7430664999999999,0.1711418,273,7
100.0,0.0005117,0.0052525,298,7
200.0,0.0008926999999999999,0.0069133,298,7
500.0,0.0026086,0.0120772,298,7
1000.0,0.0049152,0.0163972,298,7
2000.0,0.0099774,0.0232917,298,7
5000.0,0.0247954,0.0368505,298,7
10000.0,0.0498817,0.0518625,298,7
20000.0,0.0976839,0.0715488,298,7
50000.0,0.2419947,0.1001148,298,7
100000.0,0.4745401,0.1369177,298,7
100.0,0.0002994,0.0040257,323,7
200.0,0.0007185,0.0062599,323,7
500.0,0.0015513,0.0091549,323,7
1000.0,0.0031734,0.013143,323,7
2000.0,0.0066897,0.0188241,323,7
5000.0,0.0160521,0.0297707,323,7
10000.0,0.032877,0.0423098,323,7
20000.0,0.0652914,0.0584861,323,7
50000.0,0.1614895,0.09182920000000001,323,7
100000.0,0.3219012,0.1167044,323,7
100.0,0.0007456999999999999,0.0063273,273,3
200.0,0.0016439,0.009410300000000002,273,3
500.0,0.003881,0.0144236,273,3
1000.0,0.0075008,0.0204546,273,3
2000.0,0.0151757,0.0286621,273,3
5000.0,0.0387751,0.0461282,273,3
10000.0,0.07667319999999998,0.0643739,273,3
20000.0,0.1553034,0.0930852,273,3
50000.0,0.3773005,0.1268056,273,3
100000.0,0.7305892,0.1679171,273,3
100.0,0.0004518,0.0049384,298,3
200.0,0.0010886,0.007620499999999999,298,3
500.0,0.0024658,0.0117815,298,3
1000.0,0.004654,0.0158499,298,3
2000.0,0.0098903,0.0233542,298,3
5000.0,0.0240373,0.0360648,298,3
10000.0,0.0482269,0.0515759,298,3
20000.0,0.0951584,0.0716067,298,3
50000.0,0.2334434,0.0978131,298,3
