Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1334744,0.0622384,273,5
200.0,0.2481493,0.0833806,273,5
500.0,0.5740881,0.1182019,273,5
1000.0,1.0095453,0.1496365,273,5
2000.0,1.6123127,0.1605096,273,5
5000.0,2.3884403,0.1613814,273,5
10000.0,2.9421821,0.1334389,273,5
20000.0,3.3391737,0.1228446,273,5
50000.0,3.702855,0.0937609,273,5
100000.0,3.9241897,0.0716382,273,5
1000000.0,4.4121911,0.0711289,273,5
100.0,0.0399409,0.0400475,298,5
200.0,0.0756214,0.0480525,298,5
500.0,0.1909926,0.07347589999999998,298,5
1000.0,0.3577691,0.0977442,298,5
2000.0,0.6522501,0.1250682,298,5
5000.0,1.2557211,0.1600832,298,5
10000.0,1.8861076,0.1601597,298,5
20000.0,2.4843829,0.1507124,298,5
50000.0,3.138158,0.1180586,298,5
100000.0,3.4351197,0.1039594,298,5
1000000.0,4.158274,0.0767863,298,5
100.0,0.0139179,0.0205928,323,5
200.0,0.027503,0.0290986,323,5
500.0,0.0678547,0.0408923,323,5
1000.0,0.1365536,0.0546858,323,5
2000.0,0.2620565,0.0740295,323,5
5000.0,0.5868702,0.1008934,323,5
10000.0,0.986096,0.1276721,323,5
20000.0,1.561102,0.1339147,323,5
50000.0,2.349792,0.1342773,323,5
100000.0,2.8715106,0.1185465,323,5
1000000.0,3.856065,0.0814441,323,5
100.0,0.3988277,0.0936646,273,1
200.0,0.7294374999999998,0.1220948,273,1
500.0,1.3357167,0.137448,273,1
1000.0,1.8279554,0.140804,273,1
2000.0,2.3017355,0.1383255,273,1
5000.0,2.9035716,0.1265452,273,1
10000.0,3.2862584,0.1213754,273,1
20000.0,3.5852583,0.0979612,273,1
50000.0,3.8955661,0.0862128,273,1
100000.0,4.0733796,0.08459229999999998,273,1
1000000.0,4.5378317,0.08908879999999998,273,1
100.0,0.1070542,0.0512513,298,1
200.0,0.2079085,0.0780339,298,1
500.0,0.464408,0.09947,298,1
1000.0,0.7948205,0.1217884,298,1
2000.0,1.3190158,0.1431131,298,1
5000.0,1.9750153,0.1449072,298,1
10000.0,2.4676163,0.1382576,298,1
20000.0,2.9352871,0.1299249,298,1
50000.0,3.4404687,0.1152506,298,1
100000.0,3.6936449,0.08991499999999998,298,1
1000000.0,4.3239403,0.08583699999999998,298,1
100.0,0.034673,0.0268874,323,1
200.0,0.0692659,0.0381593,323,1
500.0,0.1558861,0.055854,323,1
1000.0,0.3122726,0.0764799,323,1
2000.0,0.5656457,0.0875572,323,1
5000.0,1.0768987,0.1271766,323,1
10000.0,1.618012,0.1217372,323,1
20000.0,2.1610267,0.1238096,323,1
50000.0,2.8081336,0.1118867,323,1
100000.0,3.2173907,0.1012422,323,1
1000000.0,4.0444804,0.0681869,323,1
100.0,0.2382565,0.081509,273,6
200.0,0.4505938,0.1052588,273,6
500.0,0.9526905000000001,0.1461783,273,6
1000.0,1.5005865,0.1613097,273,6
2000.0,2.0854732,0.1439917,273,6
5000.0,2.8016357,0.1351865,273,6
10000.0,3.2344736,0.1202783,273,6
20000.0,3.5418113,0.099715,273,6
50000.0,3.8179215,0.0853267,273,6
100000.0,3.9341823,0.0689635,273,6
1000000.0,4.3059613,0.1097909,273,6
100.0,0.0675577,0.043198,298,6
200.0,0.1252825,0.0605704,298,6
500.0,0.3136773,0.0888136,298,6
1000.0,0.5869276,0.114541,298,6
2000.0,0.9559855,0.1400724,298,6
5000.0,1.7317905,0.160946,298,6
10000.0,2.3252421,0.1628072,298,6
20000.0,2.8206256,0.1389356,298,6
50000.0,3.3499914,0.109497,298,6
100000.0,3.5996561,0.0901389,298,6
1000000.0,4.1498951,0.0674965,298,6
100.0,0.0225011,0.0301764,323,6
200.0,0.0443121,0.0371505,323,6
500.0,0.1088329,0.0565729,323,6
1000.0,0.2143963,0.07463079999999998,323,6
2000.0,0.4036493,0.0978272,323,6
5000.0,0.8514428,0.1316716,323,6
10000.0,1.3513965,0.1536928,323,6
20000.0,1.944699,0.158231,323,6
50000.0,2.6902464,0.1402659,323,6
100000.0,3.1312471,0.1196251,323,6
1000000.0,3.9623384,0.0862601,323,6
100.0,1.3775415,0.1238733,273,2
200.0,1.6907682,0.105171,273,2
500.0,2.0517188,0.1008116,273,2
1000.0,2.324826,0.1085486,273,2
2000.0,2.6211751,0.1103062,273,2
5000.0,3.0338891,0.1173993,273,2
10000.0,3.3291523,0.1080393,273,2
20000.0,3.6193923,0.08750199999999998,273,2
50000.0,3.8323081,0.0780001,273,2
100000.0,4.0010982,0.0780847,273,2
1000000.0,4.4807326,0.0743876,273,2
100.0,0.4577545,0.1008006,298,2
200.0,0.7750118,0.1115019,298,2
500.0,1.257657,0.1200071,298,2
1000.0,1.6900274,0.1207016,298,2
2000.0,2.0253034,0.1103081,298,2
5000.0,2.4445678,0.1140749,298,2
10000.0,2.7534539,0.1171248,298,2
20000.0,3.0960611,0.1090778,298,2
50000.0,3.4683459,0.0999314,298,2
100000.0,3.6909976,0.08581279999999998,298,2
1000000.0,4.2445906,0.0633886,298,2
100.0,0.1280686,0.0576209,323,2
