Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1671809,0.0571696,273,5
200.0,0.2991171,0.0675848,273,5
500.0,0.5456308,0.0785064,273,5
1000.0,0.7712881,0.0782785,273,5
2000.0,1.0334636,0.09006459999999998,273,5
5000.0,1.5211043,0.1228288,273,5
10000.0,2.1974563,0.1580042,273,5
20000.0,3.2692287,0.1856944,273,5
50000.0,4.6459807,0.1555291,273,5
100000.0,5.229935,0.1169314,273,5
1000000.0,5.8626925,0.0599996,273,5
100.0,0.0478915,0.0322205,298,5
200.0,0.0926636,0.043986,298,5
500.0,0.2096255,0.059059,298,5
1000.0,0.3725518,0.0717478,298,5
2000.0,0.5866756,0.08556819999999998,298,5
5000.0,0.9289045,0.0947179,298,5
10000.0,1.2752141,0.1146264,298,5
20000.0,1.806523,0.1465106,298,5
50000.0,2.9914955,0.1742634,298,5
100000.0,4.0173697,0.1677971,298,5
1000000.0,5.6345484,0.0703613,298,5
100.0,0.0159695,0.0137118,323,5
200.0,0.0310762,0.0182558,323,5
500.0,0.0782637,0.0287479,323,5
1000.0,0.1489936,0.0365956,323,5
2000.0,0.2719489,0.0477066,323,5
5000.0,0.526508,0.0632599,323,5
10000.0,0.8189874999999999,0.0670637,323,5
20000.0,1.1812228,0.08057899999999998,323,5
50000.0,1.8718868,0.1035489,323,5
100000.0,2.7122299,0.12412,323,5
1000000.0,5.1798746,0.0810749,323,5
100.0,0.4282205,0.0776264,273,1
200.0,0.6432218,0.0777135,273,1
500.0,0.8918927,0.08312509999999998,273,1
1000.0,1.1276168,0.0875735,273,1
2000.0,1.4502553,0.1158346,273,1
5000.0,2.2705887,0.1648435,273,1
10000.0,3.3749278,0.1814673,273,1
20000.0,4.4256706,0.1635737,273,1
50000.0,5.2861068,0.1080225,273,1
100000.0,5.6121332,0.0863926,273,1
1000000.0,6.2870972,0.0804971,273,1
100.0,0.1385095,0.0534057,298,1
200.0,0.2626941,0.0723182,298,1
500.0,0.4926215,0.0784787,298,1
1000.0,0.6955965,0.08435719999999998,298,1
2000.0,0.9404515000000001,0.0870634,298,1
5000.0,1.3221328,0.1079523,298,1
10000.0,1.831245,0.1383713,298,1
20000.0,2.6438619,0.1735754,298,1
