Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0022248,0.010161,273,5
200.0,0.0042909,0.0137383,273,5
500.0,0.0108564,0.0221046,273,5
1000.0,0.0222476,0.0319342,273,5
2000.0,0.0427914,0.0430406,273,5
5000.0,0.1012875,0.0590446,273,5
10000.0,0.2011115,0.0817761,273,5
20000.0,0.3824666,0.108281,273,5
50000.0,0.7746359,0.1358824,273,5
100000.0,1.207399,0.1542336,273,5
100.0,0.0009153,0.0064066,298,5
200.0,0.0020128,0.0094665,298,5
500.0,0.0049253,0.0149789,298,5
1000.0,0.0101451,0.0213955,298,5
2000.0,0.0201633,0.0299179,298,5
5000.0,0.0500185,0.0481298,298,5
10000.0,0.0949984,0.0564362,298,5
20000.0,0.1865305,0.0740808,298,5
50000.0,0.4241452,0.1103416,298,5
100000.0,0.7384709,0.1365947,298,5
100.0,0.000444,0.0036354,323,5
200.0,0.0010245,0.0055672,323,5
500.0,0.0025193,0.0088091,323,5
1000.0,0.0053376,0.0128895,323,5
2000.0,0.0104577,0.017731,323,5
5000.0,0.0257365,0.0278282,323,5
10000.0,0.0513551,0.0390614,323,5
20000.0,0.1004961,0.0490323,323,5
50000.0,0.2317732,0.0700059,323,5
100000.0,0.4453336,0.0914251,323,5
100.0,0.0030993,0.0118435,273,1
200.0,0.0065565,0.017168,273,1
500.0,0.015827,0.0270535,273,1
1000.0,0.0320528,0.0382059,273,1
2000.0,0.0634168,0.0535418,273,1
5000.0,0.154958,0.0703655,273,1
10000.0,0.2927446,0.0922006,273,1
20000.0,0.5235649,0.1229134,273,1
50000.0,1.0058789,0.1474486,273,1
100000.0,1.4999311,0.1514598,273,1
100.0,0.0012868,0.007635,298,1
200.0,0.0028364,0.0111984,298,1
500.0,0.0074355,0.0182693,298,1
1000.0,0.0143408,0.0255645,298,1
2000.0,0.0292526,0.0367883,298,1
5000.0,0.0692982,0.0549313,298,1
10000.0,0.1415959,0.0709004,298,1
20000.0,0.2595182,0.0860979,298,1
50000.0,0.5683759,0.1239039,298,1
100000.0,0.9392933000000001,0.1436403,298,1
100.0,0.0007582,0.0047253,323,1
200.0,0.0013533,0.0064216,323,1
500.0,0.0035705,0.0103072,323,1
1000.0,0.0073047,0.0149143,323,1
2000.0,0.0145266,0.0210115,323,1
5000.0,0.0368134,0.033116,323,1
10000.0,0.0727508,0.0405733,323,1
20000.0,0.1428072,0.0556758,323,1
50000.0,0.3327498,0.08128589999999998,323,1
100000.0,0.5755879,0.0994048,323,1
100.0,0.0019801,0.0094384,273,6
200.0,0.0042366,0.0137552,273,6
500.0,0.0101949,0.021482,273,6
1000.0,0.020417,0.0299448,273,6
2000.0,0.0399387,0.0421921,273,6
5000.0,0.0957777,0.0559224,273,6
10000.0,0.1849808,0.07626289999999998,273,6
20000.0,0.3487563,0.1058377,273,6
50000.0,0.7367517,0.1361565,273,6
100000.0,1.1536988,0.1591391,273,6
100.0,0.0008744999999999998,0.0062337,298,6
200.0,0.0019438,0.0094459,298,6
500.0,0.0048709,0.0148867,298,6
1000.0,0.0095017,0.0205815,298,6
2000.0,0.0184732,0.0287314,298,6
5000.0,0.0467878,0.0457197,298,6
10000.0,0.0902679,0.0623041,298,6
20000.0,0.1727696,0.07394979999999998,298,6
50000.0,0.4083084,0.111244,298,6
100000.0,0.7102755,0.134035,298,6
100.0,0.0004984,0.004726,323,6
200.0,0.0009878,0.0066167,323,6
500.0,0.0025465,0.0106496,323,6
1000.0,0.0049277,0.014941,323,6
2000.0,0.009624,0.0209748,323,6
5000.0,0.024016,0.0325596,323,6
10000.0,0.0496333,0.0463433,323,6
20000.0,0.0953518,0.0641862,323,6
