Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004874,0.0053925,273,5
200.0,0.0008985,0.0072086,273,5
500.0,0.0023433,0.0117616,273,5
1000.0,0.0046161,0.0164254,273,5
2000.0,0.0090031,0.0229718,273,5
5000.0,0.0229629,0.0368318,273,5
10000.0,0.0446749,0.0511525,273,5
20000.0,0.08719449999999998,0.0707569,273,5
50000.0,0.2125392,0.099483,273,5
100000.0,0.4055923,0.1314288,273,5
100.0,0.0002525,0.0038428,298,5
200.0,0.0005462,0.0056372,298,5
500.0,0.0012979,0.0086735,298,5
1000.0,0.0027368,0.0126271,298,5
2000.0,0.0051623,0.0173596,298,5
5000.0,0.0123095,0.0269812,298,5
10000.0,0.0251829,0.0382923,298,5
20000.0,0.0506241,0.054029,298,5
50000.0,0.1256836,0.0840173,298,5
100000.0,0.2459441,0.1016962,298,5
100.0,0.0001644,0.0019585,323,5
200.0,0.0003336,0.0027794,323,5
500.0,0.0007563999999999998,0.004213,323,5
1000.0,0.0015716,0.0060362,323,5
2000.0,0.0032207,0.0086793,323,5
5000.0,0.0078814,0.013563,323,5
10000.0,0.0162961,0.0193784,323,5
20000.0,0.0309712,0.0265238,323,5
50000.0,0.07929079999999998,0.0371752,323,5
100000.0,0.1530212,0.0543936,323,5
100.0,0.0005873,0.0058434,273,1
200.0,0.0011217,0.0080386,273,1
500.0,0.0029717,0.0131636,273,1
1000.0,0.0056173,0.0182819,273,1
2000.0,0.0112935,0.0255399,273,1
5000.0,0.0282603,0.0411875,273,1
10000.0,0.0547821,0.0554072,273,1
20000.0,0.109102,0.0789388,273,1
50000.0,0.2663406,0.1093099,273,1
100000.0,0.52147,0.1439172,273,1
100.0,0.0002878,0.0041009,298,1
200.0,0.0006343,0.0061268,298,1
500.0,0.0013566,0.008900099999999998,298,1
1000.0,0.0030833,0.0135132,298,1
2000.0,0.0064223,0.0196195,298,1
5000.0,0.0157569,0.030296,298,1
10000.0,0.0307034,0.0423776,298,1
20000.0,0.0638968,0.060989,298,1
50000.0,0.1540865,0.0810318,298,1
100000.0,0.2982303,0.1163889,298,1
100.0,0.0001903,0.0021057,323,1
200.0,0.0003782,0.0029753,323,1
500.0,0.0008409999999999998,0.0044892,323,1
1000.0,0.0019259,0.006705,323,1
2000.0,0.00362,0.0093422,323,1
5000.0,0.0097325,0.0151998,323,1
10000.0,0.0190469,0.0210613,323,1
20000.0,0.0387492,0.0301594,323,1
50000.0,0.0944757,0.0423289,323,1
100000.0,0.1877346,0.0559178,323,1
100.0,0.0003641,0.0046099,273,6
200.0,0.0008046,0.0068771,273,6
500.0,0.0020673,0.010981,273,6
1000.0,0.0043166,0.0159865,273,6
2000.0,0.008584599999999998,0.0222872,273,6
5000.0,0.0213596,0.0354335,273,6
10000.0,0.0425196,0.0491999,273,6
20000.0,0.0851273,0.0703532,273,6
50000.0,0.2072574,0.0937008,273,6
100000.0,0.4058448,0.1269834,273,6
100.0,0.0001879,0.0033169,298,6
200.0,0.0004698,0.0052318,298,6
500.0,0.0010101,0.0076807,298,6
1000.0,0.0026925,0.0126705,298,6
2000.0,0.0048299,0.0169482,298,6
5000.0,0.0126913,0.0270663,298,6
10000.0,0.0251241,0.0381686,298,6
