Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004111,0.0048964,273,5
200.0,0.0008750999999999999,0.0071635,273,5
500.0,0.0019146,0.0105282,273,5
1000.0,0.0041521,0.0156379,273,5
2000.0,0.007926499999999998,0.0213339,273,5
5000.0,0.0201011,0.0337357,273,5
10000.0,0.0400319,0.0476763,273,5
20000.0,0.08042309999999998,0.0675238,273,5
50000.0,0.1989612,0.0930014,273,5
100000.0,0.3775024,0.1228295,273,5
100.0,0.0002702,0.003974,298,5
200.0,0.0004816,0.0052963,298,5
500.0,0.0012274,0.0085234,298,5
1000.0,0.002126,0.0111259,298,5
2000.0,0.0049273,0.0170071,298,5
5000.0,0.0121862,0.0269797,298,5
10000.0,0.02439,0.0375049,298,5
20000.0,0.0489151,0.053626,298,5
50000.0,0.1173224,0.08350009999999998,298,5
100000.0,0.2312818,0.1023939,298,5
100.0,0.0001668,0.0020002,323,5
200.0,0.0003242,0.0027405,323,5
500.0,0.0007047,0.0040073,323,5
1000.0,0.0015622,0.0060203,323,5
2000.0,0.0032606,0.0086739,323,5
5000.0,0.007818,0.0135813,323,5
10000.0,0.0155655,0.0193311,323,5
20000.0,0.0308678,0.0268236,323,5
50000.0,0.0772424,0.0365423,323,5
100000.0,0.1489807,0.0528379,323,5
100.0,0.0004698,0.0052318,273,1
200.0,0.0009514,0.0074605,273,1
500.0,0.002603,0.0124802,273,1
1000.0,0.0051975,0.0173292,273,1
2000.0,0.0106705,0.0250474,273,1
5000.0,0.0262693,0.0394674,273,1
10000.0,0.0509883,0.0542289,273,1
20000.0,0.1024875,0.0782862,273,1
50000.0,0.2530033,0.1057253,273,1
100000.0,0.4807886,0.14239,273,1
100.0,0.0002878,0.0041009,298,1
200.0,0.0006167,0.0059862,298,1
500.0,0.0016033,0.009642,298,1
1000.0,0.0030656,0.0133503,298,1
2000.0,0.0061783,0.0189879,298,1
5000.0,0.0155044,0.030284,298,1
10000.0,0.0299399,0.0417802,298,1
20000.0,0.0604142,0.0603243,298,1
50000.0,0.1470039,0.0916543,298,1
