Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0068536,0.0201467,273,5
200.0,0.0139844,0.0292143,273,5
500.0,0.0354428,0.0462239,273,5
1000.0,0.07284119999999998,0.0559376,273,5
2000.0,0.1398037,0.0747208,273,5
5000.0,0.352202,0.1204659,273,5
10000.0,0.6925818,0.1628656,273,5
20000.0,1.3615413,0.2340315,273,5
50000.0,3.2618323,0.3563761,273,5
100000.0,5.1189092,0.3280342,273,5
1000000.0,7.9866443,0.1528414,273,5
100.0,0.0029071,0.0131649,298,5
200.0,0.0056791,0.0182484,298,5
500.0,0.0147115,0.0294903,298,5
1000.0,0.0291529,0.0411096,298,5
2000.0,0.0587581,0.0592112,298,5
5000.0,0.1435447,0.0815988,298,5
10000.0,0.2901434,0.113506,298,5
20000.0,0.5699301,0.1574753,298,5
50000.0,1.362789,0.2305962,298,5
100000.0,2.6558963,0.3066765,298,5
1000000.0,7.0281955,0.1895081,298,5
100.0,0.0012803,0.0054756,323,5
200.0,0.0027227,0.007934,323,5
500.0,0.0069123,0.0125521,323,5
1000.0,0.0140714,0.0183173,323,5
2000.0,0.0277529,0.0258374,323,5
5000.0,0.0691576,0.0356573,323,5
10000.0,0.1423561,0.0472222,323,5
20000.0,0.2734104,0.0659276,323,5
50000.0,0.6617432,0.1016932,323,5
100000.0,1.3291015,0.1477287,323,5
1000000.0,5.8637764,0.1533423,323,5
100.0,0.0101366,0.0243854,273,1
200.0,0.0222053,0.0365036,273,1
500.0,0.0527266,0.0477279,273,1
1000.0,0.1051127,0.0643532,273,1
2000.0,0.216245,0.0915829,273,1
5000.0,0.527889,0.1467416,273,1
10000.0,1.0017274,0.1937969,273,1
20000.0,1.8570464,0.263049,273,1
50000.0,4.0142025,0.350012,273,1
100000.0,5.7625943,0.2974728,273,1
1000000.0,8.374063899999998,0.1643359,273,1
100.0,0.0043635,0.0159521,298,1
200.0,0.0081515,0.0221878,298,1
500.0,0.0211012,0.0355298,298,1
1000.0,0.0407135,0.0481749,298,1
2000.0,0.0801236,0.0599676,298,1
5000.0,0.2099845,0.0909882,298,1
10000.0,0.41069,0.1331193,298,1
20000.0,0.7912135999999999,0.1794966,298,1
50000.0,1.7782999,0.2747663,298,1
100000.0,3.2663811,0.3452103,298,1
1000000.0,7.359463899999999,0.1685067,298,1
100.0,0.0018558,0.0065675,323,1
200.0,0.0039254,0.0095243,323,1
500.0,0.0093473,0.014685,323,1
1000.0,0.018859,0.0210365,323,1
2000.0,0.0374736,0.0296936,323,1
5000.0,0.0942198,0.0405539,323,1
10000.0,0.1856344,0.0565248,323,1
20000.0,0.3634464,0.0774036,323,1
50000.0,0.8760113,0.1254165,323,1
100000.0,1.6971218,0.1633769,323,1
1000000.0,6.227455,0.1455752,323,1
100.0,0.0055264,0.0179719,273,6
200.0,0.010788,0.024997,273,6
500.0,0.0263281,0.0392705,273,6
1000.0,0.0529439,0.0562079,273,6
2000.0,0.1094879,0.0694524,273,6
5000.0,0.2640678,0.1080262,273,6
10000.0,0.5253049,0.1465471,273,6
20000.0,1.090285,0.1974834,273,6
50000.0,2.5600363,0.3187718,273,6
100000.0,4.5706086,0.3412231,273,6
1000000.0,7.8655974,0.198745,273,6
100.0,0.0023022,0.0115179,298,6
200.0,0.0044751,0.0160828,298,6
500.0,0.0114345,0.0259599,298,6
1000.0,0.0224813,0.0365472,298,6
2000.0,0.045779,0.0524523,298,6
5000.0,0.1140159,0.0712887,298,6
10000.0,0.2284606,0.1043005,298,6
20000.0,0.4505395,0.1369332,298,6
50000.0,1.1055043,0.2078064,298,6
100000.0,2.1805544,0.3115393,298,6
1000000.0,6.7451312,0.2169711,298,6
100.0,0.0011746,0.008263899999999998,323,6
200.0,0.0022317,0.0115617,323,6
500.0,0.005591,0.0181715,323,6
1000.0,0.0118926,0.0266485,323,6
2000.0,0.0228044,0.0365783,323,6
5000.0,0.0575835,0.0580945,323,6
10000.0,0.1157837,0.08275309999999998,323,6
20000.0,0.2321077,0.1033228,323,6
50000.0,0.5800695,0.159731,323,6
100000.0,1.1057276,0.2072536,323,6
1000000.0,5.5469015,0.252611,323,6
100.0,0.0083101,0.022199,273,2
200.0,0.0167201,0.0315743,273,2
500.0,0.0396008,0.0481081,273,2
1000.0,0.07872,0.0588938,273,2
2000.0,0.1620854,0.0805092,273,2
5000.0,0.3977571,0.1291827,273,2
10000.0,0.7758479,0.1734281,273,2
20000.0,1.4645086,0.2370899,273,2
50000.0,3.2501683,0.3454626,273,2
100000.0,5.1768972,0.3226944,273,2
1000000.0,8.1449571,0.1565798,273,2
100.0,0.0030084,0.0134441,298,2
200.0,0.0063016,0.0191735,298,2
500.0,0.0163677,0.0315623,298,2
1000.0,0.0318192,0.0431907,298,2
2000.0,0.0636737,0.0606162,298,2
5000.0,0.1597539,0.08187369999999998,298,2
10000.0,0.3203828,0.1191588,298,2
20000.0,0.6430839,0.1654657,298,2
50000.0,1.4757151,0.2437465,298,2
100000.0,2.7236469,0.3022371,298,2
1000000.0,7.0670489,0.1976723,298,2
100.0,0.0015446,0.0094347,323,2
200.0,0.0030774,0.0133734,323,2
500.0,0.0072941,0.020695,323,2
1000.0,0.0153752,0.0297877,323,2
2000.0,0.0304038,0.041829,323,2
5000.0,0.0756426,0.0657724,323,2
10000.0,0.1532585,0.08291759999999998,323,2
20000.0,0.3080498,0.1163612,323,2
50000.0,0.7596070999999999,0.1797648,323,2
100000.0,1.3979375,0.2501266,323,2
1000000.0,5.978939,0.2398604,323,2
100.0,0.0040241,0.009735700000000002,273,8
200.0,0.0077287,0.0133542,273,8
500.0,0.0196412,0.0212937,273,8
1000.0,0.040019,0.0306049,273,8
2000.0,0.0826337,0.0390467,273,8
5000.0,0.2025883,0.0592429,273,8
10000.0,0.4061102,0.0832055,273,8
20000.0,0.8102766,0.1217613,273,8
50000.0,2.1166825,0.1923795,273,8
100000.0,3.968572,0.2185686,273,8
1000000.0,7.5831339,0.1045545,273,8
100.0,0.0018323,0.0065741,298,8
200.0,0.0036858,0.009263,298,8
500.0,0.008910299999999998,0.0143208,298,8
1000.0,0.0183868,0.0207163,298,8
2000.0,0.0357719,0.0291477,298,8
5000.0,0.0924625,0.0416608,298,8
10000.0,0.1830316,0.0584864,298,8
20000.0,0.3630199,0.0793336,298,8
50000.0,0.9102032000000002,0.1296463,298,8
100000.0,1.8679773,0.1830605,298,8
1000000.0,6.516158,0.1377489,298,8
100.0,0.0009467,0.0047028,323,8
200.0,0.001931,0.0067123,323,8
500.0,0.0047124,0.0105675,323,8
1000.0,0.0092979,0.0145636,323,8
2000.0,0.0188402,0.0209193,323,8
5000.0,0.0478827,0.0337267,323,8
10000.0,0.0963492,0.0481387,323,8
20000.0,0.1885028,0.067814,323,8
50000.0,0.4692046,0.105399,323,8
100000.0,0.931996,0.1522662,323,8
1000000.0,5.2805531,0.2162453,323,8
100.0,0.0056708,0.0116022,273,4
200.0,0.0119501,0.0169029,273,4
500.0,0.02916,0.0261556,273,4
1000.0,0.0570186,0.0317266,273,4
2000.0,0.1180165,0.0455177,273,4
5000.0,0.2857464,0.0683963,273,4
10000.0,0.578906,0.1014827,273,4
20000.0,1.1425052,0.1437119,273,4
50000.0,2.7269077,0.2043769,273,4
100000.0,4.6663453,0.2197919,273,4
1000000.0,7.9630057,0.1100663,273,4
100.0,0.0024431,0.007596999999999999,298,4
200.0,0.0050601,0.0108368,298,4
500.0,0.0126619,0.0174293,298,4
1000.0,0.0251688,0.0242145,298,4
2000.0,0.0499782,0.0341512,298,4
5000.0,0.1247223,0.0457058,298,4
10000.0,0.2553995,0.0663794,298,4
20000.0,0.4980854,0.0890327,298,4
50000.0,1.2287791,0.1350285,298,4
100000.0,2.3680978,0.193735,298,4
1000000.0,6.8931108,0.135332,298,4
100.0,0.0013883,0.005687,323,4
200.0,0.00253,0.0076158,323,4
500.0,0.0062417,0.0121318,323,4
1000.0,0.0124458,0.0171071,323,4
2000.0,0.025049,0.0241575,323,4
5000.0,0.0616158,0.0377775,323,4
10000.0,0.1251618,0.0531128,323,4
20000.0,0.2552891,0.07781499999999998,323,4
50000.0,0.6178227,0.1185903,323,4
100000.0,1.229699,0.1607099,323,4
1000000.0,5.719778,0.2021578,323,4
100.0,0.0261766,0.0199981,273,7
200.0,0.0512843,0.0293723,273,7
500.0,0.1306785,0.0429923,273,7
1000.0,0.2655126,0.0559514,273,7
2000.0,0.4496415,0.0776869,273,7
5000.0,0.9946044,0.1125331,273,7
10000.0,1.6505736,0.1214376,273,7
20000.0,2.4099372,0.15313,273,7
50000.0,4.0730383,0.1959836,273,7
100000.0,5.6930549,0.1938853,273,7
1000000.0,8.108995999999998,0.099949,273,7
100.0,0.008612,0.0119577,298,7
200.0,0.0155561,0.0161499,298,7
500.0,0.0418266,0.0260575,298,7
1000.0,0.08383409999999998,0.0368919,298,7
2000.0,0.1601368,0.0496501,298,7
5000.0,0.36081,0.0716295,298,7
10000.0,0.668936,0.09578370000000001,298,7
20000.0,1.1835925,0.1154798,298,7
50000.0,2.266474,0.1637548,298,7
100000.0,3.4872881,0.1832714,298,7
1000000.0,7.2485706,0.1172555,298,7
100.0,0.0030962,0.0084317,323,7
200.0,0.0060632,0.0118785,323,7
500.0,0.0146728,0.015821,323,7
1000.0,0.0302581,0.0214744,323,7
2000.0,0.0637042,0.0316195,323,7
5000.0,0.1447047,0.0452543,323,7
10000.0,0.2905177,0.066213,323,7
20000.0,0.5483942,0.0888307,323,7
50000.0,1.2344212,0.1258383,323,7
100000.0,2.0826776,0.153553,323,7
1000000.0,6.2182163,0.1505169,323,7
100.0,0.0423552,0.0252518,273,3
200.0,0.08500159999999998,0.0357424,273,3
500.0,0.2072558,0.0579267,273,3
1000.0,0.3903764,0.0759788,273,3
2000.0,0.6936083,0.1069799,273,3
5000.0,1.3859814,0.118603,273,3
10000.0,2.0122853,0.1242214,273,3
20000.0,2.8512852,0.1493135,273,3
50000.0,4.5751945,0.1895748,273,3
100000.0,6.1019498,0.167161,273,3
1000000.0,8.3646879,0.0997707,273,3
100.0,0.0130824,0.0150793,298,3
200.0,0.0242597,0.0202376,298,3
500.0,0.0658537,0.0329226,298,3
1000.0,0.1238112,0.0464668,298,3
2000.0,0.2548104,0.0588656,298,3
5000.0,0.5475955,0.0818817,298,3
10000.0,0.9751607000000002,0.1043246,298,3
20000.0,1.6099697,0.1190816,298,3
50000.0,2.7051169,0.154909,298,3
100000.0,3.9397865,0.1861071,298,3
1000000.0,7.4960039,0.1060729,298,3
100.0,0.0047688,0.0105579,323,3
200.0,0.0091264,0.0126749,323,3
500.0,0.0247225,0.02054,323,3
1000.0,0.0457426,0.0262129,323,3
2000.0,0.0924883,0.0369041,323,3
5000.0,0.2180523,0.0541784,323,3
10000.0,0.4131657,0.0730799,323,3
20000.0,0.7612019,0.0995375,323,3
50000.0,1.5897116,0.1282928,323,3
100000.0,2.493578,0.1629021,323,3
1000000.0,6.5326663,0.1321093,323,3
