Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007508,0.0063699,273,5
200.0,0.0015449,0.0090357,273,5
500.0,0.0039216,0.0146072,273,5
1000.0,0.0080538,0.0209251,273,5
2000.0,0.0161886,0.0300204,273,5
5000.0,0.0385574,0.0450629,273,5
10000.0,0.0795547,0.0651259,273,5
20000.0,0.1545181,0.0780913,273,5
50000.0,0.3679676,0.115815,273,5
100000.0,0.6902053,0.1591069,273,5
100.0,0.0004645,0.0050458,298,5
200.0,0.0008264,0.0066301,298,5
500.0,0.0023065,0.0111064,298,5
1000.0,0.0044887,0.0154861,298,5
2000.0,0.0089721,0.0218689,298,5
5000.0,0.0214876,0.0339809,298,5
10000.0,0.0437421,0.048693,298,5
20000.0,0.0851292,0.0669062,298,5
50000.0,0.2107001,0.090481,298,5
100000.0,0.4053927,0.1221524,298,5
100.0,0.0002485,0.0029809,323,5
200.0,0.0004789,0.0041566,323,5
500.0,0.0014404,0.0071841,323,5
1000.0,0.002636,0.0097987,323,5
2000.0,0.0052323,0.0137873,323,5
5000.0,0.0137092,0.0221214,323,5
10000.0,0.0265578,0.030683,323,5
20000.0,0.0530473,0.0438248,323,5
50000.0,0.1325768,0.0588807,323,5
100000.0,0.2521285,0.08105809999999998,323,5
100.0,0.0008371999999999999,0.0066726,273,1
200.0,0.0016637,0.0093639,273,1
500.0,0.0044185,0.0154025,273,1
1000.0,0.0088748,0.021975,273,1
2000.0,0.0177443,0.0313007,273,1
5000.0,0.0453086,0.0493357,273,1
10000.0,0.0873276,0.068231,273,1
20000.0,0.1706419,0.0807216,273,1
50000.0,0.4098894,0.1291145,273,1
100000.0,0.7821675,0.1642286,273,1
100.0,0.0005618,0.0054799,298,1
200.0,0.0010965,0.007693799999999998,298,1
500.0,0.0026548,0.0120465,298,1
1000.0,0.0049155,0.0161434,298,1
2000.0,0.0097823,0.0229998,298,1
5000.0,0.0248528,0.0362112,298,1
10000.0,0.049241,0.0514425,298,1
20000.0,0.0969369,0.070907,298,1
50000.0,0.2343051,0.0991117,298,1
100000.0,0.4501583,0.1277706,298,1
100.0,0.0002593,0.0030446,323,1
200.0,0.0006374,0.0048563,323,1
500.0,0.0014836,0.0072829,323,1
1000.0,0.0029313,0.0103729,323,1
2000.0,0.0059814,0.0145525,323,1
5000.0,0.0151857,0.0234171,323,1
10000.0,0.0290318,0.0321291,323,1
20000.0,0.0602242,0.0463752,323,1
50000.0,0.1422672,0.0606629,323,1
100000.0,0.280595,0.0843141,323,1
100.0,0.0006968,0.0060953,273,6
200.0,0.0012262,0.008081599999999998,273,6
500.0,0.0030681,0.0127338,273,6
1000.0,0.0064549,0.0187288,273,6
2000.0,0.0126613,0.0261661,273,6
5000.0,0.0325069,0.0419387,273,6
10000.0,0.0617403,0.0573728,273,6
20000.0,0.1251712,0.0811934,273,6
50000.0,0.3048986,0.1128519,273,6
100000.0,0.5739575,0.1470554,273,6
100.0,0.0003351,0.0043094,298,6
200.0,0.0007345999999999999,0.0063028,298,6
500.0,0.0019014,0.0101574,298,6
1000.0,0.0034948,0.0138469,298,6
2000.0,0.0069986,0.019624,298,6
5000.0,0.0183222,0.0315863,298,6
10000.0,0.0369955,0.0446412,298,6
20000.0,0.0734509,0.0626991,298,6
50000.0,0.1781933,0.0965657,298,6
100000.0,0.3459184,0.1177325,298,6
100.0,0.0002647,0.0037718,323,6
200.0,0.0004213,0.0047519,323,6
500.0,0.0010641,0.0075452,323,6
1000.0,0.0024644,0.011502,323,6
2000.0,0.0044748,0.0157652,323,6
5000.0,0.0115108,0.0246994,323,6
10000.0,0.0230162,0.0352116,323,6
20000.0,0.0462107,0.0500521,323,6
50000.0,0.111786,0.0767534,323,6
100000.0,0.2215195,0.0931333,323,6
100.0,0.0006698,0.0060262,273,2
200.0,0.0015827,0.0092052,273,2
500.0,0.0034732,0.0137466,273,2
1000.0,0.0073516,0.0201948,273,2
2000.0,0.0147464,0.0283608,273,2
5000.0,0.0370009,0.0443778,273,2
10000.0,0.0723544,0.0621169,273,2
20000.0,0.142586,0.0866158,273,2
50000.0,0.3457779,0.1204725,273,2
100000.0,0.6475219,0.1585306,273,2
100.0,0.0003565,0.0043738,298,2
200.0,0.0008589,0.0067568,298,2
500.0,0.0021174,0.0107847,298,2
1000.0,0.0043375,0.0152256,298,2
2000.0,0.008783,0.0216577,298,2
5000.0,0.0206881,0.0333551,298,2
10000.0,0.0410413,0.0468883,298,2
20000.0,0.08197999999999998,0.0656885,298,2
50000.0,0.2014904,0.0893994,298,2
100000.0,0.3907579,0.122687,298,2
100.0,0.0002755,0.0038477,323,2
200.0,0.0005134,0.0052411,323,2
500.0,0.0011241,0.007786099999999998,323,2
1000.0,0.0027238,0.0120643,323,2
2000.0,0.0053692,0.0171257,323,2
5000.0,0.012926,0.0260643,323,2
10000.0,0.0261815,0.0378947,323,2
20000.0,0.0503807,0.0511121,323,2
50000.0,0.1251874,0.0813031,323,2
100000.0,0.2481656,0.0976996,323,2
