Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006126,0.0039201,273,5
200.0,0.0011764,0.0053982,273,5
500.0,0.0029272,0.008551899999999998,273,5
1000.0,0.0057531,0.0119149,273,5
2000.0,0.0114913,0.0168261,273,5
5000.0,0.0285554,0.0261381,273,5
10000.0,0.0572417,0.0324468,273,5
20000.0,0.1099562,0.0426847,273,5
50000.0,0.2679563,0.0643364,273,5
100000.0,0.493964,0.08139309999999998,273,5
100.0,0.0003088,0.0027444,298,5
200.0,0.000578,0.0037505,298,5
500.0,0.0014278,0.0058695,298,5
1000.0,0.0032854,0.0090191,298,5
2000.0,0.006047,0.0123429,298,5
5000.0,0.015209,0.0193499,298,5
10000.0,0.0306057,0.0272179,298,5
20000.0,0.0592179,0.0322812,298,5
50000.0,0.1478656,0.0509097,298,5
100000.0,0.2864902,0.0682427,298,5
100.0,0.0001754,0.002074,323,5
200.0,0.0003458,0.0029022,323,5
500.0,0.0008448,0.0045702,323,5
1000.0,0.0018082,0.0067397,323,5
2000.0,0.0035606,0.0094058,323,5
5000.0,0.0090928,0.014985,323,5
10000.0,0.0186178,0.0217185,323,5
20000.0,0.0361611,0.0297009,323,5
50000.0,0.08908,0.0404661,323,5
100000.0,0.1760678,0.0570398,323,5
100.0,0.0004125,0.0031846,273,1
200.0,0.0009169,0.004722,273,1
500.0,0.00228,0.007532299999999999,273,1
1000.0,0.0044142,0.0104908,273,1
2000.0,0.0088803,0.0146401,273,1
5000.0,0.0228616,0.0234597,273,1
10000.0,0.0460419,0.0294028,273,1
20000.0,0.0878029,0.0385969,273,1
50000.0,0.2099057,0.0582753,273,1
100000.0,0.4127752,0.0785084,273,1
100.0,0.0002322,0.0024091,298,1
200.0,0.0004273,0.0032585,298,1
500.0,0.001119,0.0053466,298,1
1000.0,0.0024974,0.0079844,298,1
2000.0,0.005096,0.0111115,298,1
5000.0,0.0121336,0.017244,298,1
10000.0,0.0240473,0.0244061,298,1
20000.0,0.0480353,0.029158,298,1
50000.0,0.1175292,0.0462348,298,1
100000.0,0.2257443,0.062321,298,1
100.0,0.0001161,0.0016895,323,1
200.0,0.0003483,0.0029124,323,1
500.0,0.0007854999999999998,0.0043764,323,1
1000.0,0.0013858,0.0057906,323,1
2000.0,0.0028802,0.008456699999999998,323,1
5000.0,0.007610699999999998,0.0138193,323,1
10000.0,0.0143271,0.0187507,323,1
20000.0,0.0288469,0.0265639,323,1
50000.0,0.0706203,0.0357064,323,1
100000.0,0.1389482,0.0490648,323,1
100.0,0.0006546,0.0039982,273,6
200.0,0.0012153,0.0054891,273,6
500.0,0.003063,0.0086571,273,6
1000.0,0.0061168,0.0120997,273,6
2000.0,0.0121385,0.0171554,273,6
5000.0,0.031117,0.0273071,273,6
10000.0,0.0607469,0.0337245,273,6
20000.0,0.1177886,0.0464302,273,6
50000.0,0.283134,0.06885,273,6
100000.0,0.5014351,0.08396059999999998,273,6
100.0,0.0003187,0.0027874,298,6
200.0,0.0006231,0.003936,298,6
500.0,0.0015982,0.0063707,298,6
1000.0,0.0032681,0.0089336,298,6
2000.0,0.0064991,0.0126651,298,6
5000.0,0.0159945,0.0197961,298,6
10000.0,0.0325052,0.0282198,298,6
20000.0,0.0641657,0.0345454,298,6
50000.0,0.1544444,0.0518911,298,6
100000.0,0.303768,0.0717659,298,6
100.0,0.000205,0.0022411,323,6
200.0,0.0003755,0.0030423,323,6
500.0,0.0010054,0.0049677,323,6
1000.0,0.0019292,0.0068989,323,6
2000.0,0.0038411,0.009872100000000002,323,6
5000.0,0.0096412,0.0153583,323,6
10000.0,0.0192304,0.0218055,323,6
20000.0,0.0383324,0.0304477,323,6
50000.0,0.092288,0.0422035,323,6
100000.0,0.1844146,0.0586432,323,6
100.0,0.0005264,0.0036184,273,2
200.0,0.0008595999999999999,0.0046338,273,2
500.0,0.0023319,0.0076011,273,2
1000.0,0.0043698,0.0103219,273,2
2000.0,0.0094114,0.0151839,273,2
5000.0,0.0228542,0.0238729,273,2
10000.0,0.0451674,0.0283893,273,2
20000.0,0.090777,0.0409513,273,2
50000.0,0.21504,0.0614327,273,2
100000.0,0.4119374,0.0810725,273,2
100.0,0.0002124,0.0022809,298,2
200.0,0.0005434,0.0036569,298,2
500.0,0.0012728,0.0055605,298,2
1000.0,0.0024974,0.0078922,298,2
2000.0,0.0049824,0.0110806,298,2
5000.0,0.012467,0.0176749,298,2
10000.0,0.0251614,0.024529,298,2
20000.0,0.0489987,0.029434,298,2
50000.0,0.1222077,0.047625,298,2
100000.0,0.2358464,0.0645011,298,2
100.0,0.0001532,0.001939,323,2
200.0,0.0002717,0.0025765,323,2
500.0,0.0008522,0.0046153,323,2
1000.0,0.0015612,0.0062201,323,2
2000.0,0.0030497,0.0087414,323,2
5000.0,0.0076502,0.0136641,323,2
10000.0,0.0151324,0.0191742,323,2
20000.0,0.0302401,0.0270791,323,2
50000.0,0.07608529999999998,0.0374227,323,2
100000.0,0.1490143,0.0515818,323,2
100.0,0.0003829,0.0030912,273,8
200.0,0.0007065,0.0041762,273,8
500.0,0.0020947,0.0071682,273,8
1000.0,0.0038905,0.0099329,273,8
2000.0,0.007595799999999998,0.0135601,273,8
5000.0,0.0191044,0.0218727,273,8
10000.0,0.0387523,0.0307245,273,8
20000.0,0.0775986,0.0381163,273,8
50000.0,0.1842886,0.0575884,273,8
100000.0,0.3531384,0.0759518,273,8
100.0,0.0002371,0.0024086,298,8
200.0,0.0004224,0.0032591,298,8
500.0,0.0010553,0.0051042,298,8
1000.0,0.0023096,0.00762,298,8
2000.0,0.0044192,0.0104245,298,8
5000.0,0.0111412,0.0164244,298,8
10000.0,0.0218612,0.0230745,298,8
20000.0,0.0441102,0.0326829,298,8
50000.0,0.1093754,0.0455101,298,8
100000.0,0.2130713,0.0636048,298,8
100.0,0.0001408,0.0018596,323,8
200.0,0.0002495,0.0024945,323,8
500.0,0.0006793,0.0041293,323,8
1000.0,0.0013364,0.0057388,323,8
2000.0,0.002737,0.008286099999999998,323,8
5000.0,0.0071117,0.0134713,323,8
10000.0,0.0142728,0.0188278,323,8
20000.0,0.0276982,0.0262444,323,8
50000.0,0.0687059,0.0406676,323,8
100000.0,0.1322614,0.0553343,323,8
100.0,0.00021,0.0022677,273,4
200.0,0.0005212,0.0035501,273,4
500.0,0.0012376,0.005567,273,4
1000.0,0.0024924,0.007932299999999998,273,4
2000.0,0.00497,0.0110171,273,4
5000.0,0.0123806,0.0176821,273,4
10000.0,0.024487,0.0243765,273,4
20000.0,0.0490108,0.0347361,273,4
50000.0,0.1229016,0.0484011,273,4
100000.0,0.2332947,0.0669762,273,4
100.0,0.0001507,0.0019549,298,4
200.0,0.0002693,0.002612,298,4
500.0,0.0008769,0.0046371,298,4
1000.0,0.0014673,0.006024,298,4
2000.0,0.0029568,0.0085131,298,4
5000.0,0.0075094,0.0137575,298,4
10000.0,0.0148952,0.0189866,298,4
20000.0,0.0294495,0.0265607,298,4
50000.0,0.0741106,0.0423079,298,4
100000.0,0.1463489,0.0534351,298,4
100.0,9.88e-05,0.0015592,323,4
200.0,0.0002002,0.0022421,323,4
500.0,0.0005484,0.0036561,323,4
1000.0,0.0009535,0.0048851,323,4
2000.0,0.0019638,0.0069946,323,4
5000.0,0.0049774,0.0111869,323,4
10000.0,0.0101994,0.0159478,323,4
20000.0,0.0195317,0.021805,323,4
50000.0,0.0495446,0.0350338,323,4
100000.0,0.0956705,0.0473534,323,4
100.0,0.0384115,0.0267103,273,7
200.0,0.0816755,0.0393927,273,7
500.0,0.1758702,0.0554391,273,7
1000.0,0.3422046,0.067694,273,7
2000.0,0.5586858,0.088607,273,7
5000.0,0.99481,0.094875,273,7
10000.0,1.3079401,0.08104119999999998,273,7
20000.0,1.5728342,0.0718278,273,7
50000.0,1.929245,0.0751614,273,7
100000.0,2.2294509,0.0934796,273,7
100.0,0.0101105,0.0139606,298,7
200.0,0.0205322,0.0197157,298,7
500.0,0.0487517,0.030798,298,7
1000.0,0.09423790000000001,0.0396976,298,7
2000.0,0.2008009,0.0496175,298,7
5000.0,0.3879449,0.0653422,298,7
10000.0,0.6451185,0.1039197,298,7
20000.0,1.0220943,0.0895286,298,7
50000.0,1.4825366,0.089496,298,7
100000.0,1.8276965,0.0875624,298,7
100.0,0.0037621,0.008169499999999998,323,7
200.0,0.0061891,0.0102149,323,7
500.0,0.0184968,0.0178839,323,7
1000.0,0.0371047,0.0248391,323,7
2000.0,0.066211,0.0349321,323,7
5000.0,0.1698973,0.048352,323,7
10000.0,0.3086553,0.0674032,323,7
20000.0,0.5286332,0.0781627,323,7
50000.0,0.9486128,0.0964372,323,7
100000.0,1.3418378,0.1025137,323,7
100.0,0.4005992,0.07679769999999998,273,3
200.0,0.648836,0.0893483,273,3
500.0,1.0525096,0.0882812,273,3
1000.0,1.3013138,0.07407379999999998,273,3
2000.0,1.5251649,0.0567819,273,3
5000.0,1.6937758,0.0398213,273,3
10000.0,1.7712701,0.0352617,273,3
20000.0,1.8319202,0.0437536,273,3
50000.0,1.9906846,0.0649762,273,3
100000.0,2.1959292,0.08093989999999998,273,3
100.0,0.0922014,0.0439585,298,3
200.0,0.1624274,0.0476475,298,3
500.0,0.3829611,0.0714707,298,3
1000.0,0.5725331,0.0994205,298,3
2000.0,0.8961305,0.0710808,298,3
5000.0,1.2581695,0.0808184,298,3
10000.0,1.5059683,0.0825463,298,3
20000.0,1.680703,0.0463894,298,3
50000.0,1.8384157,0.0501859,298,3
100000.0,1.9765059,0.0680974,298,3
100.0,0.0276044,0.0230822,323,3
200.0,0.0478056,0.0292037,323,3
500.0,0.1094047,0.0488865,323,3
1000.0,0.2001202,0.045602,323,3
2000.0,0.3246226,0.0700802,323,3
5000.0,0.6076969,0.078437,323,3
10000.0,0.9952485,0.0855502,323,3
20000.0,1.2858307,0.0637927,323,3
50000.0,1.6233173,0.0544712,323,3
100000.0,1.77601,0.0610991,323,3
