Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006094,0.0056999,273,5
200.0,0.0010575,0.0074771,273,5
500.0,0.0029551,0.0126234,273,5
1000.0,0.0057647,0.017695,273,5
2000.0,0.0114646,0.0248996,273,5
5000.0,0.0285484,0.0391375,273,5
10000.0,0.0569565,0.0555473,273,5
20000.0,0.1130987,0.0774739,273,5
50000.0,0.2820376,0.1079434,273,5
100000.0,0.5408871,0.1436331,273,5
100.0,0.0003074,0.0040597,298,5
200.0,0.0006579,0.0060173,298,5
500.0,0.0018065,0.009852,298,5
1000.0,0.0040067,0.0146078,298,5
2000.0,0.0073501,0.0198958,298,5
5000.0,0.0181622,0.031359,298,5
10000.0,0.037101,0.0451259,298,5
20000.0,0.0745957,0.0627531,298,5
50000.0,0.1830405,0.0991155,298,5
100000.0,0.3612817,0.1251029,298,5
100.0,0.0002409,0.0029766,323,5
200.0,0.0005536,0.004456,323,5
500.0,0.0012547,0.0067528,323,5
1000.0,0.0026891,0.0098195,323,5
2000.0,0.0051625,0.0137357,323,5
5000.0,0.0127085,0.0210959,323,5
10000.0,0.0258988,0.0304547,323,5
20000.0,0.0517803,0.0430001,323,5
50000.0,0.12771,0.0671504,323,5
100000.0,0.2569316,0.0861866,323,5
100.0,0.0006795,0.0060149,273,1
200.0,0.0013913,0.0086171,273,1
500.0,0.0036076,0.0138983,273,1
1000.0,0.0068594,0.0194448,273,1
2000.0,0.0140747,0.0276592,273,1
5000.0,0.034917,0.0429869,273,1
10000.0,0.0714464,0.0619594,273,1
20000.0,0.1382757,0.08590349999999998,273,1
50000.0,0.3451255,0.1203924,273,1
100000.0,0.6672948,0.1646154,273,1
100.0,0.0003991,0.0046217,298,1
200.0,0.0009329,0.0070312,298,1
500.0,0.0022811,0.0110398,298,1
1000.0,0.0045675,0.0158991,298,1
2000.0,0.0085257,0.0213198,298,1
5000.0,0.0217106,0.033728,298,1
10000.0,0.0445266,0.0488295,298,1
20000.0,0.0894037,0.0699597,298,1
50000.0,0.2232423,0.0963623,298,1
100000.0,0.4333158,0.1292179,298,1
100.0,0.0002768,0.0031425,323,1
200.0,0.0005896,0.004566,323,1
500.0,0.0016465,0.007719099999999999,323,1
1000.0,0.0030825,0.0105914,323,1
2000.0,0.0058564,0.0144593,323,1
5000.0,0.0152035,0.0233002,323,1
