Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0186007,0.0191646,273,5
200.0,0.0359809,0.0256284,273,5
500.0,0.0891712,0.0394572,273,5
1000.0,0.1678394,0.0531691,273,5
2000.0,0.3048042,0.0670041,273,5
5000.0,0.5953958,0.08566559999999998,273,5
10000.0,0.9460432,0.1025111,273,5
20000.0,1.3586406,0.08435969999999998,273,5
50000.0,1.9421453,0.1064814,273,5
100000.0,2.3754319,0.0925527,273,5
1000000.0,3.1767627,0.0455306,273,5
100.0,0.0057611,0.012005,298,5
200.0,0.011326,0.0167381,298,5
500.0,0.0273736,0.0219898,298,5
1000.0,0.0554199,0.0300061,298,5
2000.0,0.1084395,0.0440785,298,5
5000.0,0.2365269,0.0596276,298,5
10000.0,0.4385517,0.0734161,298,5
20000.0,0.6817264,0.0888409,298,5
50000.0,1.1547139,0.1107131,298,5
100000.0,1.4891588,0.1048602,298,5
1000000.0,2.8902713,0.0710839,298,5
100.0,0.0021773,0.005279,323,5
200.0,0.0043406,0.007411499999999999,323,5
500.0,0.0109349,0.0103311,323,5
1000.0,0.0218744,0.0143136,323,5
2000.0,0.0415271,0.0184495,323,5
5000.0,0.1018859,0.0297976,323,5
10000.0,0.1868057,0.0407372,323,5
20000.0,0.3336033,0.0458711,323,5
50000.0,0.6464576,0.0583245,323,5
100000.0,0.9667811,0.0679164,323,5
1000000.0,2.2216597,0.0756049,323,5
100.0,0.0469451,0.0289151,273,1
200.0,0.0934519,0.0423145,273,1
500.0,0.2116416,0.0593482,273,1
1000.0,0.3740354,0.0715328,273,1
2000.0,0.6059765,0.0915561,273,1
5000.0,1.1055969,0.0977401,273,1
10000.0,1.4993448,0.1006773,273,1
20000.0,1.8774285,0.1034067,273,1
50000.0,2.439872,0.0935179,273,1
100000.0,2.8887287,0.081982,273,1
1000000.0,3.2270152,0.026769,273,1
100.0,0.013869,0.0159733,298,1
200.0,0.0272972,0.0238384,298,1
500.0,0.0678645,0.0346513,298,1
1000.0,0.1241864,0.04593,298,1
2000.0,0.2342692,0.0621644,298,1
5000.0,0.4887773,0.0787138,298,1
10000.0,0.758233,0.0864242,298,1
20000.0,1.1397779,0.1050251,298,1
50000.0,1.6782028,0.1038118,298,1
100000.0,2.0586025,0.1095812,298,1
1000000.0,3.0775158,0.0623044,298,1
100.0,0.0049292,0.0078661,323,1
200.0,0.0099781,0.0096447,323,1
500.0,0.0244398,0.0147365,323,1
1000.0,0.046452,0.0199561,323,1
2000.0,0.0927527,0.0270378,323,1
5000.0,0.2112743,0.042125,323,1
10000.0,0.3669458,0.052055,323,1
20000.0,0.6018366,0.0591982,323,1
50000.0,1.038954,0.0680806,323,1
100000.0,1.417628,0.0710377,323,1
1000000.0,2.6900048,0.0711287,323,1
100.0,0.0130689,0.0183252,273,6
200.0,0.0275086,0.0232956,273,6
500.0,0.0631481,0.0335307,273,6
1000.0,0.126207,0.0471869,273,6
2000.0,0.2410904,0.0660609,273,6
5000.0,0.5160306,0.0875484,273,6
10000.0,0.8280531,0.1015385,273,6
20000.0,1.2392476,0.1187989,273,6
50000.0,1.8123831,0.1046636,273,6
100000.0,2.1881128,0.09748,273,6
1000000.0,2.8413315,0.0470475,273,6
100.0,0.0044132,0.0105798,298,6
200.0,0.0085232,0.0147569,298,6
500.0,0.020792,0.0197147,298,6
1000.0,0.043174,0.0279393,298,6
2000.0,0.0836394,0.0393354,298,6
5000.0,0.2042381,0.0579352,298,6
10000.0,0.3716138,0.07948959999999998,298,6
20000.0,0.5994748,0.0878174,298,6
50000.0,1.0660538,0.0987852,298,6
