Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0552127,0.0428193,273,5
200.0,0.1120998,0.0616316,273,5
500.0,0.286649,0.0970428,273,5
1000.0,0.538878,0.1294596,273,5
2000.0,0.9858003,0.1564016,273,5
5000.0,2.0587286,0.2109609,273,5
10000.0,2.98376,0.1949969,273,5
20000.0,3.7351987,0.1722035,273,5
50000.0,4.5931698,0.1540394,273,5
100000.0,5.1109992,0.1533447,273,5
1000000.0,6.7441468,0.1343656,273,5
100.0,0.0185972,0.0283903,298,5
200.0,0.0366511,0.039554,298,5
500.0,0.0940593,0.0572595,298,5
1000.0,0.1860166,0.0795966,298,5
2000.0,0.3611491,0.1031676,298,5
5000.0,0.8463646,0.1465624,298,5
10000.0,1.455708,0.191803,298,5
20000.0,2.325645,0.2089596,298,5
50000.0,3.4767732,0.1746982,298,5
100000.0,4.1355528,0.1613621,298,5
1000000.0,5.9312878,0.1387125,298,5
100.0,0.0075855,0.014928,323,5
200.0,0.0149544,0.0212144,323,5
500.0,0.0379752,0.033908,323,5
1000.0,0.07443329999999998,0.0414361,323,5
2000.0,0.1469339,0.0545243,323,5
5000.0,0.3465197,0.08754629999999998,323,5
10000.0,0.6513456,0.1142692,323,5
20000.0,1.2123112,0.1476179,323,5
50000.0,2.2698217,0.1705954,323,5
100000.0,3.1515629,0.1526767,323,5
1000000.0,5.2026742,0.1221881,323,5
100.0,0.1301893,0.0644785,273,1
200.0,0.2565488,0.0872209,273,1
500.0,0.6366289,0.1266883,273,1
1000.0,1.1631436,0.1699831,273,1
2000.0,1.9766545,0.1941568,273,1
5000.0,3.2012418,0.1874527,273,1
10000.0,4.0039061,0.1767527,273,1
20000.0,4.6835107,0.170603,273,1
50000.0,5.5303985,0.1510313,273,1
100000.0,6.0507034,0.134917,273,1
1000000.0,7.513407,0.1286136,273,1
100.0,0.0406947,0.0427422,298,1
200.0,0.0774126,0.0504265,298,1
500.0,0.195952,0.0801467,298,1
1000.0,0.3877336,0.1047834,298,1
2000.0,0.7288655,0.1439413,298,1
5000.0,1.5896768,0.1966375,298,1
10000.0,2.4808185,0.2037069,298,1
20000.0,3.3725598,0.1942444,298,1
50000.0,4.3487584,0.1657833,298,1
100000.0,4.9695724,0.1720824,298,1
1000000.0,6.7148441,0.1327606,298,1
100.0,0.0145773,0.0207763,323,1
200.0,0.0297781,0.0297275,323,1
500.0,0.07519929999999998,0.0425369,323,1
1000.0,0.1497729,0.057211,323,1
2000.0,0.2877104,0.07710839999999998,323,1
5000.0,0.6666597,0.1061088,323,1
10000.0,1.2278229,0.1451595,323,1
20000.0,2.0557816,0.1724555,323,1
50000.0,3.2276648,0.160498,323,1
100000.0,4.0260965,0.1508481,323,1
1000000.0,6.0208764,0.1121305,323,1
100.0,0.0297395,0.0365567,273,6
200.0,0.0566734,0.0508324,273,6
500.0,0.1431486,0.0699139,273,6
1000.0,0.2851081,0.0951262,273,6
2000.0,0.5598088,0.1302946,273,6
5000.0,1.2663587,0.1937985,273,6
10000.0,2.1526546,0.206831,273,6
20000.0,3.1352454,0.2108736,273,6
50000.0,4.2511777,0.1882019,273,6
100000.0,5.0192385,0.1680046,273,6
1000000.0,6.8635706,0.170775,273,6
100.0,0.011169,0.0224044,298,6
200.0,0.021344,0.0305499,298,6
500.0,0.0530083,0.0485944,298,6
1000.0,0.1058696,0.0582623,298,6
2000.0,0.2103319,0.0826695,298,6
5000.0,0.5064959,0.124329,298,6
10000.0,0.9564189,0.1631803,298,6
20000.0,1.6295482,0.2106978,298,6
50000.0,2.9102585,0.2150876,298,6
100000.0,3.7488751,0.1961669,298,6
1000000.0,5.935395,0.1514482,298,6
100.0,0.0045112,0.0143366,323,6
200.0,0.0094055,0.0202417,323,6
500.0,0.0225696,0.0313749,323,6
1000.0,0.045995,0.0452369,323,6
2000.0,0.0909686,0.0626275,323,6
5000.0,0.2240081,0.0864511,323,6
10000.0,0.4460033,0.1175789,323,6
20000.0,0.8050370999999998,0.1549621,323,6
50000.0,1.6773302,0.2050348,323,6
100000.0,2.5998457,0.2068982,323,6
1000000.0,5.0641039,0.1673057,323,6
100.0,0.0664752,0.0541105,273,2
200.0,0.1291072,0.0667865,273,2
500.0,0.3308842,0.1029182,273,2
1000.0,0.6466563,0.1458701,273,2
2000.0,1.1861477,0.1798101,273,2
5000.0,2.3934733,0.2175704,273,2
10000.0,3.4457325,0.2117083,273,2
20000.0,4.3959018,0.1846552,273,2
50000.0,5.4603747,0.1582305,273,2
100000.0,6.0027855,0.1514248,273,2
1000000.0,7.7118762,0.1456154,273,2
100.0,0.0226097,0.0318824,298,2
200.0,0.0449254,0.0445229,298,2
500.0,0.1124143,0.0605274,298,2
1000.0,0.2218705,0.0835056,298,2
2000.0,0.4293611,0.1204781,298,2
5000.0,1.0077149,0.1691146,298,2
10000.0,1.757045,0.2146293,298,2
20000.0,2.76392,0.223213,298,2
50000.0,4.0141103,0.1914378,298,2
100000.0,4.7756181,0.1891787,298,2
1000000.0,6.8871278,0.1395447,298,2
100.0,0.0092095,0.0201946,323,2
200.0,0.0184859,0.0284245,323,2
500.0,0.0457582,0.0451734,323,2
1000.0,0.090599,0.0643847,323,2
2000.0,0.1799912,0.0793399,323,2
5000.0,0.4375865,0.1170167,323,2
10000.0,0.8127147,0.1595576,323,2
20000.0,1.4610879,0.201466,323,2
50000.0,2.6624585,0.2156579,323,2
100000.0,3.6057272,0.2028925,323,2
1000000.0,5.9890392,0.1614726,323,2
100.0,0.0234632,0.0265932,273,8
200.0,0.0466622,0.0366255,273,8
500.0,0.1174023,0.0532578,273,8
1000.0,0.2365413,0.0721324,273,8
2000.0,0.4586301,0.1000978,273,8
5000.0,1.0729021,0.1592067,273,8
10000.0,1.910839,0.182929,273,8
20000.0,2.967912,0.1817884,273,8
50000.0,4.2353142,0.1581003,273,8
100000.0,4.9764514,0.1437353,273,8
1000000.0,6.8859754,0.106198,273,8
100.0,0.0087583,0.0159873,298,8
200.0,0.0184784,0.0236437,298,8
500.0,0.0445959,0.0363056,298,8
1000.0,0.0917213,0.0458972,298,8
2000.0,0.1758837,0.0627458,298,8
5000.0,0.4301596,0.0983727,298,8
10000.0,0.8096921999999999,0.1290542,298,8
20000.0,1.4808521,0.1659244,298,8
50000.0,2.7437577,0.1770192,298,8
100000.0,3.7143927,0.1694994,298,8
1000000.0,5.9970859,0.1339637,298,8
100.0,0.0038269,0.0105421,323,8
200.0,0.0079299,0.0151489,323,8
500.0,0.0196185,0.0241403,323,8
1000.0,0.0389757,0.0342076,323,8
2000.0,0.07717069999999998,0.0471424,323,8
5000.0,0.1934655,0.0759339,323,8
10000.0,0.3728496,0.1007022,323,8
20000.0,0.691484,0.1338059,323,8
50000.0,1.5205324,0.1894909,323,8
100000.0,2.4683851,0.1996778,323,8
1000000.0,5.1190864,0.1666495,323,8
100.0,0.0541409,0.03966,273,4
200.0,0.1097752,0.0512043,273,4
500.0,0.271135,0.07919579999999998,273,4
1000.0,0.5339865,0.1006362,273,4
2000.0,1.0064296,0.148595,273,4
5000.0,2.15991,0.1813631,273,4
10000.0,3.298276,0.1830675,273,4
20000.0,4.3347252,0.1622748,273,4
50000.0,5.4585228,0.1516599,273,4
100000.0,6.1194639,0.1357993,273,4
1000000.0,7.5308967,0.084094,273,4
100.0,0.0189742,0.0238115,298,4
200.0,0.0381652,0.0337332,298,4
500.0,0.0956165,0.0456056,298,4
1000.0,0.1876542,0.0678706,298,4
2000.0,0.373764,0.0925562,298,4
5000.0,0.8559884,0.133585,298,4
10000.0,1.58134,0.1779524,298,4
20000.0,2.6010673,0.1907914,298,4
50000.0,3.9737268,0.1769649,298,4
100000.0,4.8391523,0.157118,298,4
1000000.0,6.8181883,0.1266985,298,4
100.0,0.0076568,0.0150447,323,4
200.0,0.0160867,0.0216737,323,4
500.0,0.039905,0.0341449,323,4
