Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0524633,0.0357825,273,5
200.0,0.1041794,0.0480127,273,5
500.0,0.269914,0.0804755,273,5
1000.0,0.5472685,0.1124193,273,5
2000.0,1.1898506,0.182659,273,5
5000.0,3.6143326,0.2884756,273,5
10000.0,5.8529403,0.2254677,273,5
20000.0,7.1325217,0.1661034,273,5
50000.0,7.976867,0.1568448,273,5
100000.0,8.408533699999998,0.0969157,273,5
1000000.0,9.4309565,0.0983455,273,5
100.0,0.0173988,0.0234402,298,5
200.0,0.0346061,0.0329991,298,5
500.0,0.0869376,0.0434155,298,5
1000.0,0.1807537,0.0630716,298,5
2000.0,0.3622389,0.0910222,298,5
5000.0,0.9587697,0.1582261,298,5
10000.0,2.1487229,0.2320204,298,5
20000.0,4.0797097,0.2522927,298,5
50000.0,6.3197348,0.1808643,298,5
100000.0,7.226473999999999,0.151634,298,5
1000000.0,8.7342393,0.0953424,298,5
100.0,0.0071705,0.0150115,323,5
200.0,0.0146403,0.0213753,323,5
500.0,0.0368822,0.0340199,323,5
1000.0,0.07292,0.0421214,323,5
2000.0,0.1491395,0.0606281,323,5
5000.0,0.3820582,0.0934817,323,5
10000.0,0.7475747,0.1395319,323,5
20000.0,1.5816329,0.1950176,323,5
50000.0,3.8060469,0.2599158,323,5
100000.0,5.5601052,0.2000395,323,5
1000000.0,8.0149586,0.1075749,323,5
100.0,0.0659441,0.0383469,273,1
200.0,0.1334548,0.0556785,273,1
500.0,0.3412862,0.0881647,273,1
1000.0,0.7161867,0.1229516,273,1
2000.0,1.5990284,0.1945576,273,1
5000.0,4.269132,0.2610388,273,1
10000.0,6.2374348,0.1898489,273,1
20000.0,7.294564399999999,0.1515037,273,1
50000.0,8.0718362,0.1136943,273,1
100000.0,8.4912304,0.0879187,273,1
1000000.0,9.5209689,0.1086678,273,1
100.0,0.0228144,0.0271269,298,1
200.0,0.0459458,0.0329495,298,1
500.0,0.1127721,0.0529772,298,1
1000.0,0.2291593,0.0707782,298,1
2000.0,0.4674997,0.1013317,298,1
5000.0,1.2270616,0.1709485,298,1
10000.0,2.5634621,0.2497478,298,1
20000.0,4.6713939,0.2532948,298,1
50000.0,6.5851277,0.1700461,298,1
100000.0,7.3911669,0.1266657,298,1
1000000.0,8.8121942,0.0831048,298,1
100.0,0.0089317,0.0168761,323,1
200.0,0.0186609,0.0244169,323,1
500.0,0.0444012,0.0316167,323,1
1000.0,0.0914647,0.0475095,323,1
2000.0,0.1842416,0.0663689,323,1
5000.0,0.4709203,0.1023751,323,1
10000.0,0.9148438,0.1454089,323,1
20000.0,1.9906426,0.2172479,323,1
50000.0,4.2816939,0.2462781,323,1
100000.0,5.8387216,0.2033525,323,1
1000000.0,8.1383828,0.1059524,323,1
100.0,0.0573452,0.0346373,273,6
200.0,0.1169641,0.0510546,273,6
500.0,0.2918085,0.08233949999999998,273,6
1000.0,0.6054716,0.111671,273,6
2000.0,1.2599628,0.1783418,273,6
5000.0,3.5056712,0.2778708,273,6
10000.0,5.5554793,0.2148919,273,6
20000.0,6.7001119,0.1537178,273,6
50000.0,7.5636533,0.1136754,273,6
100000.0,8.021781,0.1114223,273,6
1000000.0,9.0273923,0.0752959,273,6
100.0,0.0199543,0.0248158,298,6
200.0,0.0378775,0.0292947,298,6
500.0,0.1001955,0.0485285,298,6
1000.0,0.1951986,0.0639927,298,6
2000.0,0.3952251,0.0918546,298,6
5000.0,1.0278963,0.1586814,298,6
10000.0,2.2227951,0.2199511,298,6
20000.0,4.1766951,0.2431564,298,6
50000.0,6.1274417,0.1974707,298,6
100000.0,6.9691937,0.1329544,298,6
1000000.0,8.411946999999998,0.10584,298,6
100.0,0.0078612,0.0157443,323,6
200.0,0.0159861,0.0221574,323,6
500.0,0.0390014,0.0348435,323,6
1000.0,0.0795725,0.0444418,323,6
2000.0,0.1586865,0.0607446,323,6
5000.0,0.4012708,0.0926323,323,6
10000.0,0.8076594,0.138983,323,6
20000.0,1.6777754,0.1972189,323,6
50000.0,3.8383451,0.2293246,323,6
100000.0,5.4373,0.2016054,323,6
1000000.0,7.8046412,0.1138435,323,6
100.0,0.08290649999999998,0.0426426,273,2
200.0,0.171081,0.059746,273,2
500.0,0.4075157,0.08833449999999998,273,2
1000.0,0.8441828,0.1324963,273,2
2000.0,1.6926491,0.1964352,273,2
5000.0,4.0903478,0.2668275,273,2
10000.0,5.8920471,0.1907845,273,2
20000.0,6.9294736,0.1583075,273,2
50000.0,7.7117395,0.124795,273,2
100000.0,8.1591511,0.09583630000000001,273,2
1000000.0,9.1779332,0.1027416,273,2
100.0,0.0260574,0.0241941,298,2
200.0,0.0507774,0.0344041,298,2
500.0,0.1306293,0.0532194,298,2
1000.0,0.2598306,0.0752487,298,2
2000.0,0.5410194,0.1059999,298,2
5000.0,1.3049458,0.180851,298,2
10000.0,2.7240611,0.2387107,298,2
20000.0,4.532353,0.2390783,298,2
50000.0,6.3795965,0.1759706,298,2
100000.0,7.1657345,0.1369418,298,2
1000000.0,8.5695657,0.08173759999999998,298,2
100.0,0.0105015,0.0180022,323,2
200.0,0.0207455,0.025185,323,2
500.0,0.0511075,0.0340411,323,2
1000.0,0.1052594,0.0488272,323,2
2000.0,0.2075112,0.0688001,323,2
5000.0,0.5069721,0.1035643,323,2
10000.0,1.0263984,0.1535082,323,2
20000.0,2.0553839,0.2134643,323,2
50000.0,4.2967139,0.2205425,323,2
100000.0,5.7144939,0.1788895,323,2
1000000.0,7.9170718,0.1156107,323,2
100.0,0.0166265,0.0231283,273,8
200.0,0.0337648,0.0325141,273,8
500.0,0.0840462,0.0521568,273,8
1000.0,0.1727889,0.0694179,273,8
2000.0,0.3560784,0.0982144,273,8
5000.0,0.9840424,0.1824349,273,8
10000.0,2.3633364,0.2856782,273,8
20000.0,4.6302425,0.2517352,273,8
50000.0,6.4100251,0.1673685,273,8
100000.0,7.1733197,0.1357057,273,8
1000000.0,8.5236081,0.1042834,273,8
100.0,0.0071171,0.0149415,298,8
200.0,0.0140459,0.0209341,298,8
500.0,0.0357207,0.0338334,298,8
1000.0,0.0724804,0.0488969,298,8
2000.0,0.1470674,0.0621199,298,8
5000.0,0.3730524,0.0968564,298,8
10000.0,0.7633413999999998,0.1420467,298,8
20000.0,1.68044,0.228181,298,8
50000.0,4.1477644,0.2442748,298,8
100000.0,5.7190016,0.2009606,298,8
1000000.0,7.8415915,0.102909,298,8
100.0,0.0035319,0.0105274,323,8
200.0,0.0067626,0.0145106,323,8
500.0,0.0168902,0.022975,323,8
1000.0,0.0347003,0.0325628,323,8
2000.0,0.0684337,0.0462179,323,8
5000.0,0.1745282,0.07480779999999998,323,8
10000.0,0.3576459,0.1049071,323,8
20000.0,0.7195143,0.1507218,323,8
50000.0,1.9233898,0.2434176,323,8
100000.0,3.5918075,0.2813725,323,8
1000000.0,7.086637,0.1634003,323,8
100.0,0.0202463,0.0256438,273,4
200.0,0.0421094,0.0367572,273,4
500.0,0.103539,0.0495694,273,4
1000.0,0.2147853,0.0719947,273,4
2000.0,0.446546,0.1081848,273,4
5000.0,1.2140373,0.1905115,273,4
10000.0,2.8638163,0.2640112,273,4
20000.0,5.0674019,0.2406378,273,4
50000.0,6.6531699,0.1527129,273,4
100000.0,7.334234399999999,0.1358773,273,4
1000000.0,8.641633499999998,0.0878233,273,4
100.0,0.008194,0.0160659,298,4
200.0,0.0168808,0.0227513,298,4
500.0,0.0428027,0.0364378,298,4
1000.0,0.0849786,0.0524375,298,4
2000.0,0.1707922,0.0663288,298,4
5000.0,0.4456319,0.1032457,298,4
10000.0,0.9139469,0.1570977,298,4
20000.0,2.0065185,0.2347292,298,4
50000.0,4.5547199,0.232581,298,4
100000.0,5.9698822,0.1800527,298,4
1000000.0,7.9580997,0.1166382,298,4
