Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000647,0.004527,273,5
200.0,0.0011684,0.0059935,273,5
500.0,0.0030999,0.0099001,273,5
1000.0,0.0062596,0.0141083,273,5
2000.0,0.0126353,0.0197707,273,5
5000.0,0.0323468,0.032266,273,5
10000.0,0.0623976,0.0384096,273,5
20000.0,0.1218178,0.0543098,273,5
50000.0,0.2899404,0.08226129999999998,273,5
100000.0,0.5211379,0.1036242,273,5
100.0,0.0003298,0.0032321,298,5
200.0,0.0006407,0.0045279,298,5
500.0,0.0015076,0.0069875,298,5
1000.0,0.0030214,0.0097387,298,5
2000.0,0.0060742,0.0137835,298,5
5000.0,0.0150192,0.0216855,298,5
10000.0,0.0315364,0.0315906,298,5
20000.0,0.0605477,0.0383146,298,5
50000.0,0.1500533,0.0595866,298,5
100000.0,0.2874894,0.0811572,298,5
100.0,0.0001445,0.0017333,323,5
200.0,0.0003371,0.0026519,323,5
500.0,0.0008564,0.0042617,323,5
1000.0,0.0017756,0.0061407,323,5
2000.0,0.003511,0.008602099999999998,323,5
5000.0,0.0084696,0.0131942,323,5
10000.0,0.0173056,0.0187676,323,5
20000.0,0.0349952,0.0270873,323,5
50000.0,0.0850876,0.0375394,323,5
100000.0,0.1641976,0.0507882,323,5
100.0,0.0011118,0.0059382,273,1
200.0,0.0021734,0.008274699999999998,273,1
500.0,0.0053519,0.0129864,273,1
1000.0,0.0102044,0.0179035,273,1
2000.0,0.0213133,0.0259736,273,1
5000.0,0.0522467,0.0402884,273,1
10000.0,0.1035636,0.0500117,273,1
20000.0,0.2000888,0.0694572,273,1
50000.0,0.4674959,0.09348,273,1
100000.0,0.8198767999999999,0.1298605,273,1
100.0,0.0005057,0.0040026,298,1
200.0,0.0009736,0.0055155,298,1
500.0,0.0023838,0.0087232,298,1
1000.0,0.0048651,0.0123535,298,1
2000.0,0.0101133,0.0176308,298,1
5000.0,0.0254402,0.0282407,298,1
10000.0,0.0497278,0.0392289,298,1
20000.0,0.0983248,0.0493585,298,1
50000.0,0.2418265,0.07402649999999998,298,1
100000.0,0.4485852,0.0969329,298,1
100.0,0.0002973,0.0025125,323,1
200.0,0.0005507,0.0033897,323,1
500.0,0.0013401,0.0052598,323,1
1000.0,0.002812,0.0077235,323,1
2000.0,0.0055633,0.0108981,323,1
5000.0,0.0138529,0.0169909,323,1
10000.0,0.0272744,0.0237966,323,1
20000.0,0.0547352,0.0293865,323,1
50000.0,0.1340312,0.0456482,323,1
100000.0,0.2623608,0.0654324,323,1
100.0,0.0006282,0.0044859,273,6
200.0,0.0011187,0.0058884,273,6
500.0,0.0026791,0.0090933,273,6
1000.0,0.005556,0.0132363,273,6
2000.0,0.0109424,0.0183572,273,6
5000.0,0.0280156,0.0295522,273,6
10000.0,0.0548598,0.0406112,273,6
20000.0,0.1073231,0.050948,273,6
50000.0,0.2637301,0.07792509999999998,273,6
100000.0,0.4829369,0.0984629,273,6
100.0,0.000223,0.002637,298,6
200.0,0.0005876,0.0043018,298,6
500.0,0.0015076,0.006816,298,6
1000.0,0.002833,0.0093627,298,6
2000.0,0.0054178,0.0131667,298,6
5000.0,0.0140267,0.0211051,298,6
10000.0,0.0286187,0.0298871,298,6
20000.0,0.0576205,0.0420422,298,6
50000.0,0.1399777,0.0572009,298,6
100000.0,0.2714567,0.0768809,298,6
100.0,0.0001602,0.0022809,323,6
200.0,0.000267,0.0029509,323,6
500.0,0.0008731,0.0051825,323,6
1000.0,0.0015924,0.0071296,323,6
2000.0,0.0032915,0.0101392,323,6
5000.0,0.0078959,0.0157226,323,6
10000.0,0.0165236,0.0230139,323,6
20000.0,0.0318662,0.0311362,323,6
50000.0,0.07829619999999998,0.0433847,323,6
100000.0,0.1546627,0.0578919,323,6
100.0,0.0008983,0.0053837,273,2
200.0,0.0018279,0.0076555,273,2
500.0,0.0047426,0.0121965,273,2
1000.0,0.0096359,0.0174666,273,2
2000.0,0.019366,0.0246106,273,2
5000.0,0.048126,0.038673,273,2
10000.0,0.0943989,0.0487373,273,2
20000.0,0.1852487,0.0660503,273,2
50000.0,0.4315037,0.0976791,273,2
100000.0,0.7652656,0.1244983,273,2
100.0,0.0004931,0.0039295,298,2
200.0,0.0010333,0.0056897,298,2
500.0,0.0024906,0.008928399999999998,298,2
1000.0,0.0046703,0.0121474,298,2
2000.0,0.0094412,0.0171924,298,2
5000.0,0.0239107,0.0272202,298,2
10000.0,0.0474664,0.0381842,298,2
20000.0,0.0926934,0.0460353,298,2
50000.0,0.2263709,0.0709209,298,2
100000.0,0.4244984,0.0999365,298,2
100.0,0.0002795,0.0029498,323,2
200.0,0.0005967,0.0043109,323,2
500.0,0.0012437,0.0062209,323,2
1000.0,0.0024843,0.0086837,323,2
2000.0,0.0052294,0.0128571,323,2
5000.0,0.0129839,0.020123,323,2
10000.0,0.0259365,0.0282189,323,2
20000.0,0.0523377,0.0408796,323,2
50000.0,0.1274178,0.0568228,323,2
100000.0,0.2428629,0.07505109999999998,323,2
100.0,0.0005549,0.0034019,273,8
200.0,0.0010553,0.0047034,273,8
500.0,0.0027974,0.0077089,273,8
1000.0,0.005243,0.0104587,273,8
2000.0,0.0111832,0.0152497,273,8
5000.0,0.0261898,0.0232963,273,8
10000.0,0.0528591,0.0298411,273,8
