Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003524,0.0036974,273,5
200.0,0.0007165,0.0052767,273,5
500.0,0.0016639,0.0080516,273,5
1000.0,0.0033122,0.0114441,273,5
2000.0,0.0067927,0.016527,273,5
5000.0,0.0169328,0.0255307,273,5
10000.0,0.033897,0.0369182,273,5
20000.0,0.0674964,0.0502054,273,5
50000.0,0.166486,0.0682812,273,5
100000.0,0.3262288,0.0984221,273,5
100.0,0.0002076,0.0028434,298,5
200.0,0.0004855,0.0043326,298,5
500.0,0.0011242,0.0066546,298,5
1000.0,0.0022708,0.0093501,298,5
2000.0,0.0046042,0.0132288,298,5
5000.0,0.0110132,0.0209365,298,5
10000.0,0.0226998,0.0294553,298,5
20000.0,0.044964,0.0418264,298,5
50000.0,0.1118479,0.0655545,298,5
100000.0,0.2243381,0.08315599999999998,298,5
100.0,0.0001683,0.0026209,323,5
200.0,0.0003054,0.0034442,323,5
500.0,0.0007634,0.0054418,323,5
1000.0,0.0017,0.008112599999999998,323,5
2000.0,0.0033239,0.0113398,323,5
5000.0,0.0078537,0.0176987,323,5
10000.0,0.0167214,0.02555,323,5
20000.0,0.0328282,0.036223,323,5
50000.0,0.0815947,0.0561845,323,5
100000.0,0.1603549,0.0792538,323,5
100.0,0.0003484,0.003677,273,1
200.0,0.0008026,0.0056301,273,1
500.0,0.0019899,0.008670199999999998,273,1
1000.0,0.0038407,0.0121227,273,1
2000.0,0.007904599999999998,0.0173919,273,1
5000.0,0.0193876,0.0275724,273,1
10000.0,0.0388809,0.0389283,273,1
20000.0,0.0770845,0.0547658,273,1
50000.0,0.191664,0.07593619999999998,273,1
100000.0,0.3717315,0.102701,273,1
100.0,0.0002975,0.0034001,298,1
200.0,0.0005912,0.0048383,298,1
500.0,0.0012724,0.007052,298,1
1000.0,0.0026349,0.010162,298,1
2000.0,0.0048469,0.0137349,298,1
5000.0,0.0126693,0.0221224,298,1
10000.0,0.0257066,0.0315227,298,1
20000.0,0.052576,0.0451973,298,1
50000.0,0.1285228,0.0695819,298,1
100000.0,0.2547873,0.0889224,298,1
100.0,0.0001801,0.0027065,323,1
200.0,0.0003563,0.0037587,323,1
500.0,0.0010571,0.0064178,323,1
1000.0,0.0018724,0.0085541,323,1
2000.0,0.0038642,0.0123905,323,1
5000.0,0.0094981,0.0194161,323,1
10000.0,0.0188787,0.0270535,323,1
20000.0,0.0367276,0.0382854,323,1
50000.0,0.0923989,0.0594747,323,1
100000.0,0.1839904,0.0724617,323,1
100.0,0.0002427,0.0030732,273,6
200.0,0.0006342,0.0049735,273,6
