Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0170096,0.0219476,273,5
200.0,0.0345343,0.0271228,273,5
500.0,0.0825324,0.0406064,273,5
1000.0,0.1660204,0.0546821,273,5
2000.0,0.3274556,0.0778593,273,5
5000.0,0.7406218,0.1135211,273,5
10000.0,1.2618029,0.1314747,273,5
20000.0,1.8426109,0.1284936,273,5
50000.0,2.5102619,0.1038724,273,5
100000.0,2.8632006,0.0979123,273,5
1000000.0,3.5741451,0.0660306,273,5
100.0,0.0058051,0.0130634,298,5
200.0,0.0114807,0.0179502,298,5
500.0,0.0284961,0.024463,298,5
1000.0,0.0570699,0.0331496,298,5
2000.0,0.1154896,0.0485352,298,5
5000.0,0.2653468,0.0719376,298,5
10000.0,0.5217815,0.0929058,298,5
20000.0,0.8538289999999998,0.1257811,298,5
50000.0,1.6381643,0.1294082,298,5
100000.0,2.1603267,0.1195986,298,5
1000000.0,3.2367728,0.08491219999999998,298,5
100.0,0.0024099,0.0067953,323,5
200.0,0.0048448,0.0096079,323,5
500.0,0.0119249,0.0152806,323,5
1000.0,0.023374,0.0180584,323,5
2000.0,0.0471778,0.0253281,323,5
5000.0,0.1169104,0.0403629,323,5
10000.0,0.2258155,0.0546359,323,5
20000.0,0.411651,0.0701114,323,5
50000.0,0.8894333,0.092581,323,5
100000.0,1.4091057,0.1059737,323,5
1000000.0,2.856796,0.0806375,323,5
100.0,0.0166927,0.0187876,273,1
200.0,0.0336709,0.0252603,273,1
500.0,0.0826965,0.0410356,273,1
1000.0,0.1621724,0.0527093,273,1
2000.0,0.3198105,0.0739144,273,1
5000.0,0.6949382,0.1074612,273,1
10000.0,1.2089898,0.1288008,273,1
20000.0,1.8205605,0.1284365,273,1
50000.0,2.4667352,0.1135271,273,1
100000.0,2.8363536,0.091014,273,1
1000000.0,3.5272002,0.0671398,273,1
100.0,0.0058224,0.0131254,298,1
200.0,0.0111757,0.017972,298,1
500.0,0.0278888,0.0238264,298,1
1000.0,0.0550437,0.0349496,298,1
2000.0,0.1134202,0.0466247,298,1
5000.0,0.2724468,0.0696911,298,1
10000.0,0.5064566,0.0918442,298,1
20000.0,0.8688205,0.1084642,298,1
50000.0,1.5883331,0.1300008,298,1
100000.0,2.1302139,0.1151864,298,1
1000000.0,3.1840268,0.07506949999999998,298,1
100.0,0.0022507,0.006595,323,1
200.0,0.0049906,0.0099265,323,1
500.0,0.0115968,0.0148711,323,1
1000.0,0.0238307,0.0180232,323,1
2000.0,0.0470454,0.0261634,323,1
5000.0,0.1140965,0.0388486,323,1
10000.0,0.2237896,0.0543474,323,1
20000.0,0.4050486,0.0709964,323,1
50000.0,0.8894756,0.09301640000000001,323,1
100000.0,1.3914953,0.1005002,323,1
1000000.0,2.8365819,0.07579579999999998,323,1
100.0,0.011734,0.018327,273,6
200.0,0.0243372,0.0263682,273,6
