Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000472,0.0039882,273,5
200.0,0.000924,0.0055642,273,5
500.0,0.00229,0.0087528,273,5
1000.0,0.0044537,0.012114,273,5
2000.0,0.0090669,0.0172247,273,5
5000.0,0.0230495,0.0278703,273,5
10000.0,0.0449756,0.0389881,273,5
20000.0,0.0912408,0.0553991,273,5
50000.0,0.2253233,0.07931159999999998,273,5
100000.0,0.4390605,0.1037192,273,5
100.0,0.0003423,0.0033557,298,5
200.0,0.0006282,0.0045502,298,5
500.0,0.0015355,0.0070713,298,5
1000.0,0.0030278,0.0100592,298,5
2000.0,0.0059427,0.0140237,298,5
5000.0,0.014634,0.0221125,298,5
10000.0,0.0300159,0.0316203,298,5
20000.0,0.057745,0.0440285,298,5
50000.0,0.1465662,0.0601375,298,5
100000.0,0.2856841,0.0834593,298,5
100.0,0.0001728,0.0023905,323,5
200.0,0.0004553,0.0038635,323,5
500.0,0.0009805,0.0057787,323,5
1000.0,0.0021105,0.0083203,323,5
2000.0,0.003995,0.0114727,323,5
5000.0,0.0101504,0.0184254,323,5
10000.0,0.0202842,0.0256165,323,5
20000.0,0.0400001,0.0362824,323,5
50000.0,0.1005104,0.0581868,323,5
100000.0,0.200951,0.07274709999999998,323,5
100.0,0.0006016,0.0044804,273,1
200.0,0.0010868,0.0060405,273,1
500.0,0.0025426,0.0091414,273,1
1000.0,0.0052048,0.0131222,273,1
2000.0,0.0103199,0.0185735,273,1
5000.0,0.0264529,0.0297135,273,1
10000.0,0.052487,0.0418928,273,1
20000.0,0.1053895,0.0592644,273,1
50000.0,0.2573833,0.0794301,273,1
100000.0,0.5026485,0.1097147,273,1
100.0,0.000339,0.0033396,298,1
200.0,0.0006617,0.0046428,298,1
500.0,0.0016253,0.007320199999999998,298,1
1000.0,0.0034466,0.0105075,298,1
2000.0,0.0068667,0.015038,298,1
5000.0,0.0165584,0.0233839,298,1
10000.0,0.0327246,0.0326524,298,1
20000.0,0.066576,0.0469575,298,1
50000.0,0.1641682,0.0647559,298,1
100000.0,0.3332322,0.0920064,298,1
100.0,0.0001894,0.0025021,323,1
200.0,0.0005052,0.0041737,323,1
500.0,0.0011334,0.0061409,323,1
1000.0,0.0023498,0.008824999999999998,323,1
2000.0,0.0045866,0.0124606,323,1
5000.0,0.0115355,0.0194048,323,1
10000.0,0.0229465,0.0277469,323,1
20000.0,0.0450938,0.0392084,323,1
50000.0,0.1142736,0.0614145,323,1
100000.0,0.2218368,0.07756499999999998,323,1
100.0,0.0004321,0.0037648,273,6
200.0,0.0009444,0.0056411,273,6
500.0,0.0021438,0.0084305,273,6
1000.0,0.0041579,0.0115828,273,6
2000.0,0.0081729,0.0167121,273,6
5000.0,0.0214442,0.0266248,273,6
10000.0,0.0418048,0.0371556,273,6
20000.0,0.08433749999999998,0.053691,273,6
50000.0,0.2096058,0.0743792,273,6
100000.0,0.4038356,0.0987953,273,6
100.0,0.0003224,0.0033246,298,6
200.0,0.0005916,0.0044446,298,6
500.0,0.0014425,0.0069968,298,6
1000.0,0.0028484,0.0096647,298,6
2000.0,0.0055173,0.0135434,298,6
5000.0,0.0138463,0.0216636,298,6
10000.0,0.02746,0.0300711,298,6
20000.0,0.0549366,0.0428457,298,6
50000.0,0.1350464,0.0665527,298,6
100000.0,0.271409,0.0848243,298,6
100.0,0.0002061,0.0026509,323,6
200.0,0.0003955,0.0036648,323,6
500.0,0.0009871,0.0057584,323,6
1000.0,0.0020208,0.0082158,323,6
2000.0,0.0038986,0.0114818,323,6
5000.0,0.009509,0.0176825,323,6
10000.0,0.0192207,0.0253049,323,6
20000.0,0.0381222,0.035846,323,6
50000.0,0.0956712,0.0566342,323,6
100000.0,0.1852269,0.0690653,323,6
100.0,0.0004653,0.003905,273,2
200.0,0.0010104,0.0057255,273,2
500.0,0.00229,0.0087402,273,2
1000.0,0.004806,0.012842,273,2
2000.0,0.0095721,0.0179001,273,2
5000.0,0.0240001,0.0281917,273,2
10000.0,0.0487114,0.0400415,273,2
20000.0,0.09613650000000001,0.0564056,273,2
50000.0,0.2417712,0.0814575,273,2
100000.0,0.470336,0.1111171,273,2
100.0,0.0003257,0.0032741,298,2
200.0,0.0005983,0.0044438,298,2
500.0,0.0015355,0.0072105,298,2
1000.0,0.0031191,0.0102574,298,2
2000.0,0.006418,0.0144879,298,2
5000.0,0.0156876,0.0228249,298,2
10000.0,0.0310794,0.0320053,298,2
20000.0,0.061637,0.0453301,298,2
50000.0,0.153948,0.0626334,298,2
100000.0,0.3076843,0.08908199999999998,298,2
100.0,0.0001994,0.0025668,323,2
200.0,0.0003988,0.003619,323,2
500.0,0.0010469,0.0058996,323,2
1000.0,0.0022169,0.0086063,323,2
2000.0,0.004457,0.0122893,323,2
5000.0,0.0105459,0.0185536,323,2
10000.0,0.0215472,0.0265561,323,2
20000.0,0.0436993,0.0376542,323,2
50000.0,0.1078756,0.0602812,323,2
100000.0,0.2122246,0.07500519999999998,323,2
100.0,0.0004155,0.0037813,273,8
200.0,0.0009273,0.0055934,273,8
500.0,0.0020673,0.0082579,273,8
1000.0,0.0040283,0.0117184,273,8
2000.0,0.007724199999999999,0.0161664,273,8
