Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0005611,0.0047946,273,5
200.0,0.0014129,0.007506299999999999,273,5
500.0,0.003068,0.0111159,273,5
1000.0,0.0065558,0.016409,273,5
2000.0,0.0127605,0.0228851,273,5
5000.0,0.0319072,0.0362748,273,5
10000.0,0.0615135,0.0501907,273,5
20000.0,0.1248839,0.0701812,273,5
50000.0,0.311919,0.0958872,273,5
100000.0,0.5873641,0.1288333,273,5
100.0,0.000327,0.0036184,298,5
200.0,0.0007387,0.0054707,298,5
500.0,0.001857,0.008590399999999998,298,5
1000.0,0.0037885,0.0123401,298,5
2000.0,0.0079324,0.0177478,298,5
5000.0,0.0190458,0.0278222,298,5
10000.0,0.0370421,0.0391805,298,5
20000.0,0.0740398,0.0547283,298,5
50000.0,0.1821084,0.07642789999999998,298,5
100000.0,0.3556461,0.1017579,298,5
100.0,0.0002153,0.0024275,323,5
200.0,0.0004927,0.0036678,323,5
500.0,0.001246,0.0057944,323,5
1000.0,0.002379,0.0079647,323,5
2000.0,0.0047958,0.0113494,323,5
5000.0,0.0118925,0.0179653,323,5
10000.0,0.0241242,0.0254981,323,5
20000.0,0.0481649,0.0362295,323,5
50000.0,0.1169609,0.0475235,323,5
100000.0,0.2322563,0.0678197,323,5
100.0,0.0006863,0.0053113,273,1
200.0,0.001312,0.0073603,273,1
500.0,0.003286,0.011712,273,1
1000.0,0.0068459,0.0166561,273,1
2000.0,0.0135517,0.0235319,273,1
5000.0,0.0341275,0.0371543,273,1
10000.0,0.0698617,0.0530937,273,1
20000.0,0.13468,0.061978,273,1
50000.0,0.3281457,0.0970071,273,1
100000.0,0.6248268,0.1305984,273,1
100.0,0.0003633,0.0038124,298,1
200.0,0.0007468,0.0054696,298,1
500.0,0.001975,0.0088748,298,1
1000.0,0.003835,0.0125321,298,1
2000.0,0.0081665,0.0182676,298,1
5000.0,0.0199784,0.0279499,298,1
10000.0,0.0395409,0.0398009,298,1
20000.0,0.07878309999999998,0.0561725,298,1
50000.0,0.1938979,0.0766836,298,1
100000.0,0.3781112,0.1096299,298,1
100.0,0.0002557,0.0026106,323,1
200.0,0.0004763,0.003569,323,1
500.0,0.0013153,0.0059627,323,1
1000.0,0.0025647,0.0083653,323,1
2000.0,0.0051564,0.0119537,323,1
5000.0,0.0126972,0.0185598,323,1
10000.0,0.0251199,0.0260113,323,1
20000.0,0.0503395,0.0366712,323,1
50000.0,0.1263303,0.052087,323,1
100000.0,0.2439923,0.07012,323,1
100.0,0.0006338,0.0051465,273,6
200.0,0.0011153,0.0067144,273,6
500.0,0.0032981,0.0115474,273,6
1000.0,0.0062733,0.0159469,273,6
2000.0,0.0127968,0.0224294,273,6
5000.0,0.0313663,0.0354662,273,6
10000.0,0.0638266,0.0508742,273,6
20000.0,0.1284686,0.07215149999999998,273,6
50000.0,0.3118908,0.0948454,273,6
100000.0,0.5950812,0.1340493,273,6
100.0,0.0003552,0.0037702,298,6
200.0,0.0007347,0.0054263,298,6
500.0,0.0019215,0.008801299999999998,298,6
1000.0,0.0038189,0.0123537,298,6
2000.0,0.0071331,0.0170638,298,6
5000.0,0.0188319,0.0278419,298,6
10000.0,0.0374296,0.0383118,298,6
20000.0,0.07582809999999998,0.0547943,298,6
50000.0,0.1844919,0.0749417,298,6
100000.0,0.3589644,0.1025874,298,6
100.0,0.0002301,0.0030922,323,6
200.0,0.0004481,0.0042294,323,6
500.0,0.0011101,0.0067482,323,6
1000.0,0.0027007,0.0105442,323,6
2000.0,0.0047433,0.013849,323,6
5000.0,0.0119531,0.0219415,323,6
10000.0,0.0240515,0.0311602,323,6
20000.0,0.0483695,0.0440019,323,6
50000.0,0.1221751,0.0694079,323,6
100000.0,0.2369952,0.0872595,323,6
100.0,0.0006782,0.0052195,273,2
200.0,0.0015098,0.007786099999999998,273,2
500.0,0.0036412,0.0121149,273,2
1000.0,0.0070806,0.0169948,273,2
2000.0,0.0138545,0.0234837,273,2
5000.0,0.0342769,0.0370232,273,2
10000.0,0.0695024,0.0528079,273,2
20000.0,0.1381691,0.0638572,273,2
50000.0,0.337989,0.09946,273,2
100000.0,0.6512145,0.1375878,273,2
100.0,0.0004239,0.0041148,298,2
200.0,0.000771,0.0055549,298,2
500.0,0.0020992,0.0091429,298,2
1000.0,0.0042629,0.0131832,298,2
2000.0,0.0080697,0.0179783,298,2
5000.0,0.0203255,0.0288229,298,2
10000.0,0.040837,0.0405209,298,2
20000.0,0.0795743,0.0561741,298,2
50000.0,0.200058,0.077807,298,2
