Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0192251,0.0238681,273,5
200.0,0.038757,0.0297128,273,5
500.0,0.0961078,0.0461247,273,5
1000.0,0.1912387,0.0617974,273,5
2000.0,0.3598183,0.09006889999999998,273,5
5000.0,0.785263,0.110495,273,5
10000.0,1.2443427,0.1102235,273,5
20000.0,1.6344769,0.0994889,273,5
50000.0,1.9310509,0.0713909,273,5
100000.0,2.0393685,0.0517135,273,5
1000000.0,2.2424733,0.0389927,273,5
100.0,0.0062813,0.0137849,298,5
200.0,0.0132268,0.0197487,298,5
500.0,0.0316597,0.0259496,298,5
1000.0,0.0617766,0.0388429,298,5
2000.0,0.1270139,0.053265,298,5
5000.0,0.2988488,0.07762059999999998,298,5
10000.0,0.5600932,0.0923204,298,5
20000.0,0.9439756,0.1151084,298,5
50000.0,1.5025003,0.1106657,298,5
100000.0,1.7857177,0.08540799999999998,298,5
1000000.0,2.1437217,0.0373729,298,5
100.0,0.0025048,0.0085819,323,5
200.0,0.0046909,0.0119614,323,5
500.0,0.0123094,0.0188244,323,5
1000.0,0.0245742,0.0270374,323,5
2000.0,0.0494731,0.0335826,323,5
5000.0,0.1178049,0.0493812,323,5
10000.0,0.2382546,0.0699539,323,5
20000.0,0.4332602,0.0863965,323,5
50000.0,0.8784467999999999,0.1123296,323,5
100000.0,1.3268619,0.1153913,323,5
1000000.0,2.0551865,0.0527576,323,5
100.0,0.0080713,0.0152437,273,1
200.0,0.0172833,0.0224336,273,1
500.0,0.0417771,0.031083,273,1
1000.0,0.0847782,0.0428095,273,1
2000.0,0.1610682,0.0575786,273,1
5000.0,0.4055985,0.08878959999999998,273,1
10000.0,0.6918488,0.111121,273,1
20000.0,1.1415319,0.1141408,273,1
50000.0,1.6524378,0.1000407,273,1
100000.0,1.8985413,0.07349,273,1
1000000.0,2.1720815,0.0376141,273,1
100.0,0.0031332,0.0096294,298,1
200.0,0.006043,0.0133704,298,1
500.0,0.014984,0.0213733,298,1
1000.0,0.0295004,0.0248108,298,1
2000.0,0.059379,0.0359257,298,1
5000.0,0.140734,0.0550631,298,1
10000.0,0.2830131,0.07468149999999998,298,1
20000.0,0.5346106,0.0942747,298,1
50000.0,1.0275634,0.1128806,298,1
100000.0,1.4306786,0.1087004,298,1
1000000.0,2.085006,0.0462791,298,1
100.0,0.0012449,0.0060785,323,1
200.0,0.0024839,0.008562099999999998,323,1
500.0,0.0063766,0.0137604,323,1
1000.0,0.0124077,0.0192061,323,1
2000.0,0.0254409,0.0273997,323,1
5000.0,0.059519,0.0369853,323,1
10000.0,0.1195505,0.0514116,323,1
20000.0,0.2436842,0.07256709999999998,323,1
50000.0,0.5171549,0.0919321,323,1
100000.0,0.8733678999999999,0.1163489,323,1
1000000.0,1.9358919,0.0688659,323,1
100.0,0.0179415,0.0229798,273,6
200.0,0.0362552,0.0283025,273,6
500.0,0.0922509,0.0427159,273,6
1000.0,0.1754893,0.0577858,273,6
2000.0,0.3511118,0.0803278,273,6
5000.0,0.7253564999999998,0.1028685,273,6
10000.0,1.1463273,0.1156326,273,6
20000.0,1.5276104,0.1094263,273,6
50000.0,1.9500413,0.0838633,273,6
100000.0,2.1723528,0.0706238,273,6
1000000.0,2.5598294,0.0543828,273,6
100.0,0.0058435,0.0130676,298,6
200.0,0.0117286,0.0184847,298,6
500.0,0.0300931,0.0249486,298,6
1000.0,0.0579137,0.0361591,298,6
2000.0,0.1195264,0.0513835,298,6
5000.0,0.2794447,0.07383439999999998,298,6
10000.0,0.5100371,0.09623350000000001,298,6
20000.0,0.8530151999999999,0.1109456,298,6
50000.0,1.4212086,0.1131003,298,6
100000.0,1.7886542,0.0921226,298,6
1000000.0,2.3670999,0.0525638,298,6
100.0,0.0024095,0.0084427,323,6
200.0,0.0048547,0.011907,323,6
500.0,0.0116929,0.0187768,323,6
1000.0,0.0231625,0.0261497,323,6
2000.0,0.0464381,0.0322197,323,6
5000.0,0.1160954,0.048322,323,6
10000.0,0.223877,0.066891,323,6
20000.0,0.4172645,0.08638949999999998,323,6
50000.0,0.8296107,0.1101124,323,6
100000.0,1.2580773,0.1128636,323,6
1000000.0,2.1661934,0.0674508,323,6
100.0,0.007836,0.015311,273,2
200.0,0.0148619,0.0207459,273,2
500.0,0.0374525,0.02945,273,2
1000.0,0.0704644,0.0388024,273,2
2000.0,0.1448959,0.0524871,273,2
5000.0,0.3397296,0.0771743,273,2
10000.0,0.6167562,0.0987941,273,2
20000.0,1.0079231,0.1153968,273,2
50000.0,1.5493836,0.1078006,273,2
100000.0,1.8983346,0.0959075,273,2
1000000.0,2.4893807,0.066663,273,2
100.0,0.0026567,0.0088674,298,2
200.0,0.0051078,0.012247,298,2
500.0,0.0135633,0.0199795,298,2
1000.0,0.0268139,0.027983,298,2
2000.0,0.053056,0.0346514,298,2
5000.0,0.1270834,0.0507328,298,2
10000.0,0.2526126,0.0687728,298,2
20000.0,0.4493346,0.0891768,298,2
50000.0,0.898831,0.1143754,298,2
100000.0,1.3198449,0.1175244,298,2
1000000.0,2.2479909,0.062563,298,2
100.0,0.0011854,0.0059876,323,2
200.0,0.0022278,0.008296899999999998,323,2
500.0,0.0054414,0.0127867,323,2
1000.0,0.0112372,0.0184162,323,2
2000.0,0.0220099,0.0254273,323,2
5000.0,0.0541163,0.0343596,323,2
10000.0,0.1105663,0.0495585,323,2
20000.0,0.2129001,0.0637056,323,2
50000.0,0.470943,0.0930363,323,2
100000.0,0.7873519,0.1114232,323,2
1000000.0,1.9909954,0.08569599999999998,323,2
100.0,0.0102097,0.0174706,273,8
200.0,0.0200174,0.024331,273,8
500.0,0.0508848,0.0389118,273,8
1000.0,0.0984279,0.0484608,273,8
2000.0,0.1957955,0.0668718,273,8
5000.0,0.4653025,0.0950211,273,8
10000.0,0.8096531999999999,0.1150712,273,8
20000.0,1.2449905,0.122241,273,8
50000.0,1.7285029,0.0949026,273,8
100000.0,1.9381734,0.0694646,273,8
1000000.0,2.286752,0.0636625,273,8
100.0,0.0037527,0.0105604,298,8
200.0,0.007597699999999998,0.0152223,298,8
500.0,0.0185312,0.0232971,298,8
1000.0,0.036976,0.0331141,298,8
2000.0,0.07357669999999998,0.0410073,298,8
5000.0,0.1809992,0.0639203,298,8
10000.0,0.3425857,0.0879273,298,8
20000.0,0.625122,0.1071635,298,8
50000.0,1.1606483,0.1170174,298,8
100000.0,1.556133,0.1053934,298,8
1000000.0,2.1433039,0.0528481,298,8
100.0,0.0016738,0.0070883,323,8
200.0,0.0032642,0.0098864,323,8
500.0,0.007973,0.0153214,323,8
1000.0,0.0159222,0.0218254,323,8
2000.0,0.031061,0.0304731,323,8
5000.0,0.0791521,0.0479221,323,8
10000.0,0.152571,0.0670306,323,8
20000.0,0.288928,0.0890148,323,8
50000.0,0.6391173,0.1210292,323,8
100000.0,1.0221517,0.1325048,323,8
1000000.0,1.9918978,0.07949399999999998,323,8
100.0,0.0041429,0.011134,273,4
200.0,0.0083423,0.0156764,273,4
500.0,0.021173,0.0250379,273,4
1000.0,0.0418962,0.035095,273,4
2000.0,0.0824909,0.0429377,273,4
5000.0,0.2000307,0.0662868,273,4
10000.0,0.3856746,0.0897324,273,4
20000.0,0.6787559,0.1094111,273,4
50000.0,1.2441482,0.1207934,273,4
100000.0,1.6297039,0.1028839,273,4
1000000.0,2.1830891,0.0509568,273,4
100.0,0.0016619,0.007003,298,4
200.0,0.0033417,0.0099768,298,4
500.0,0.008562699999999998,0.0158509,298,4
1000.0,0.0165893,0.022394,298,4
2000.0,0.0334712,0.0310729,298,4
5000.0,0.0823504,0.0423254,298,4
10000.0,0.1658782,0.0595476,298,4
20000.0,0.3122377,0.0810187,298,4
50000.0,0.667799,0.1055416,298,4
100000.0,1.0747046,0.1209131,298,4
1000000.0,2.0216727,0.0682387,298,4
100.0,0.0008339,0.0049494,323,4
200.0,0.0015011,0.0067035,323,4
500.0,0.0037587,0.0105751,323,4
1000.0,0.007689999999999998,0.0149313,323,4
