Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000679,0.003742,273,5
200.0,0.0013396,0.0051811,273,5
500.0,0.0032668,0.0080105,273,5
1000.0,0.0066637,0.0114482,273,5
2000.0,0.0125508,0.0161099,273,5
5000.0,0.0315636,0.0253649,273,5
10000.0,0.0622419,0.0316328,273,5
20000.0,0.1216275,0.0419372,273,5
50000.0,0.2775236,0.0567678,273,5
100000.0,0.4755291,0.07460279999999998,273,5
100.0,0.0003415,0.0026284,298,5
200.0,0.0006891,0.0037677,298,5
500.0,0.0016413,0.0058008,298,5
1000.0,0.0033359,0.0081408,298,5
2000.0,0.00656,0.0115634,298,5
5000.0,0.0169377,0.0183473,298,5
10000.0,0.0327106,0.0256438,298,5
20000.0,0.0652282,0.0317841,298,5
50000.0,0.1580068,0.0470847,298,5
100000.0,0.2838971,0.0611449,298,5
100.0,0.0001668,0.0018337,323,5
200.0,0.0004228,0.0029295,323,5
500.0,0.0010373,0.0045466,323,5
1000.0,0.001981,0.0063168,323,5
2000.0,0.003712,0.0087497,323,5
5000.0,0.0096995,0.0140927,323,5
10000.0,0.0192831,0.0194392,323,5
20000.0,0.0374065,0.0271851,323,5
50000.0,0.0912008,0.0352817,323,5
100000.0,0.1780486,0.0523009,323,5
100.0,0.0006444,0.0036305,273,1
200.0,0.0012034,0.0049585,273,1
500.0,0.0031875,0.0080037,273,1
1000.0,0.0062449,0.0112751,273,1
2000.0,0.012502,0.0159754,273,1
5000.0,0.0297244,0.0244701,273,1
10000.0,0.0594894,0.0307941,273,1
20000.0,0.1152282,0.0406269,273,1
50000.0,0.2703064,0.0574023,273,1
100000.0,0.4792569,0.0754066,273,1
100.0,0.0003131,0.0025032,298,1
200.0,0.000616,0.0035199,298,1
500.0,0.0015023,0.0055835,298,1
1000.0,0.003031,0.0078224,298,1
2000.0,0.0062978,0.011275,298,1
5000.0,0.015529,0.017789,298,1
10000.0,0.0314543,0.0245442,298,1
20000.0,0.0597557,0.0304263,298,1
50000.0,0.1451065,0.0479614,298,1
100000.0,0.2813595,0.0606741,298,1
100.0,0.000185,0.0019727,323,1
200.0,0.000374,0.002777,323,1
500.0,0.0009641,0.0044712,323,1
1000.0,0.0018275,0.0060856,323,1
2000.0,0.0038441,0.009026,323,1
5000.0,0.009284,0.0137443,323,1
10000.0,0.0181839,0.0190522,323,1
20000.0,0.0366097,0.0274838,323,1
50000.0,0.0879384,0.0355507,323,1
100000.0,0.1675665,0.0489809,323,1
100.0,0.000559,0.003386,273,6
200.0,0.0012726,0.0051219,273,6
500.0,0.0027606,0.0074956,273,6
1000.0,0.0057591,0.0107191,273,6
2000.0,0.011386,0.015196,273,6
5000.0,0.0280005,0.0237607,273,6
10000.0,0.0551269,0.0293157,273,6
20000.0,0.1092842,0.0398609,273,6
50000.0,0.248187,0.0557314,273,6
100000.0,0.4308287,0.0709852,273,6
100.0,0.0003517,0.0026661,298,6
200.0,0.0005631,0.0033853,298,6
500.0,0.0015145,0.0055281,298,6
1000.0,0.0029964,0.007854099999999998,298,6
2000.0,0.0061168,0.0111411,298,6
5000.0,0.014728,0.0170856,298,6
10000.0,0.0295292,0.0243989,298,6
20000.0,0.0583998,0.0291246,298,6
50000.0,0.1404092,0.0441759,298,6
100000.0,0.2558265,0.0583928,298,6
100.0,0.000185,0.0019304,323,6
200.0,0.0003131,0.0025197,323,6
500.0,0.0008172,0.0040649,323,6
1000.0,0.0017604,0.0059788,323,6
2000.0,0.0034741,0.0084135,323,6
5000.0,0.0087941,0.0133219,323,6
10000.0,0.0173036,0.0185454,323,6
20000.0,0.0339799,0.0259002,323,6
50000.0,0.0831254,0.0358331,323,6
100000.0,0.1582475,0.0479936,323,6
100.0,0.0006058,0.0035158,273,2
200.0,0.0013071,0.0050767,273,2
500.0,0.002972,0.0077095,273,2
1000.0,0.0061778,0.0111556,273,2
2000.0,0.0120325,0.0156616,273,2
5000.0,0.0313141,0.0218129,273,2
10000.0,0.0605137,0.029992,273,2
20000.0,0.1176045,0.039579,273,2
50000.0,0.2700898,0.0600494,273,2
100000.0,0.4935178,0.07660559999999998,273,2
100.0,0.0003151,0.0025439,298,2
200.0,0.0005895,0.0034474,298,2
500.0,0.0015592,0.0056489,298,2
1000.0,0.0030879,0.008004,298,2
2000.0,0.0062591,0.011393,298,2
5000.0,0.0153541,0.0175818,298,2
10000.0,0.0311657,0.0208757,298,2
20000.0,0.0617032,0.0316081,298,2
50000.0,0.1461479,0.0449425,298,2
100000.0,0.2773991,0.0619004,298,2
100.0,0.000185,0.0019304,323,2
200.0,0.0003497,0.0026895,323,2
500.0,0.0009335,0.0043322,323,2
1000.0,0.0018194,0.0061622,323,2
2000.0,0.0038218,0.0087591,323,2
5000.0,0.0087697,0.0133534,323,2
10000.0,0.0172513,0.0185605,323,2
20000.0,0.035209,0.0265393,323,2
50000.0,0.08474529999999998,0.034599,323,2
100000.0,0.1651937,0.0485479,323,2
100.0,0.0003639,0.0026953,273,8
200.0,0.000805,0.0040876,273,8
500.0,0.0019922,0.0064347,273,8
1000.0,0.0040759,0.0090113,273,8
2000.0,0.0080867,0.0127074,273,8
5000.0,0.0200419,0.0202072,273,8
10000.0,0.0401814,0.0283381,273,8
20000.0,0.07669349999999998,0.0343774,273,8
50000.0,0.1835565,0.0498744,273,8
100000.0,0.3252199,0.0644709,273,8
100.0,0.0002439,0.0022135,298,8
200.0,0.0004716,0.0030602,298,8
500.0,0.0011181,0.0047837,298,8
1000.0,0.0023276,0.0068874,298,8
2000.0,0.004456,0.0094817,298,8
5000.0,0.0111014,0.0148562,298,8
10000.0,0.0221468,0.0215383,298,8
20000.0,0.042937,0.0292601,298,8
50000.0,0.1058324,0.039921,298,8
100000.0,0.1989025,0.0534628,298,8
100.0,0.0001281,0.0016084,323,8
200.0,0.0002195,0.0021594,323,8
500.0,0.0006952,0.0037501,323,8
1000.0,0.0013173,0.0051748,323,8
2000.0,0.0025939,0.0072649,323,8
5000.0,0.0068263,0.0119028,323,8
10000.0,0.0133091,0.0162128,323,8
20000.0,0.0262105,0.023185,323,8
50000.0,0.0650188,0.0359777,323,8
100000.0,0.125744,0.0494959,323,8
100.0,0.0003232,0.0025591,273,4
200.0,0.0006505,0.0036237,273,4
500.0,0.001682,0.0058318,273,4
1000.0,0.0032017,0.0080418,273,4
2000.0,0.0065214,0.0114687,273,4
5000.0,0.0163767,0.0182415,273,4
10000.0,0.0321272,0.025544,273,4
20000.0,0.0626586,0.0304309,273,4
50000.0,0.1529458,0.0477013,273,4
100000.0,0.28127,0.0622863,273,4
100.0,0.0001809,0.0019308,298,4
200.0,0.0003761,0.0027543,298,4
500.0,0.0009615,0.0044007,298,4
1000.0,0.0018702,0.0061638,298,4
2000.0,0.0038685,0.0089002,298,4
5000.0,0.0095287,0.0138313,298,4
10000.0,0.018627,0.0193142,298,4
20000.0,0.0372785,0.0272825,298,4
50000.0,0.0891691,0.0377438,298,4
100000.0,0.171463,0.0501189,298,4
100.0,0.0001525,0.0017539,323,4
200.0,0.0002054,0.0020331,323,4
500.0,0.0005692,0.0034388,323,4
1000.0,0.0011892,0.0049243,323,4
2000.0,0.0022138,0.0066942,323,4
5000.0,0.0057762,0.0109028,323,4
10000.0,0.0116276,0.0154762,323,4
20000.0,0.0224915,0.0213892,323,4
50000.0,0.0572553,0.0337884,323,4
100000.0,0.1096724,0.0457621,323,4
100.0,0.0004655,0.0030544,273,7
200.0,0.0008985,0.0042567,273,7
500.0,0.0024537,0.0070693,273,7
1000.0,0.0044906,0.0095241,273,7
2000.0,0.0091316,0.0136341,273,7
5000.0,0.0228167,0.0213655,273,7
10000.0,0.0459303,0.0306369,273,7
20000.0,0.090033,0.0377432,273,7
50000.0,0.2081442,0.0531048,273,7
100000.0,0.3710308,0.0643876,273,7
100.0,0.0002622,0.0022939,298,7
200.0,0.0004919,0.0031633,298,7
500.0,0.0012346,0.0050226,298,7
1000.0,0.0023886,0.0068845,298,7
2000.0,0.0048057,0.0098738,298,7
5000.0,0.0125468,0.0161821,298,7
10000.0,0.0247358,0.0219454,298,7
20000.0,0.0499736,0.0279442,298,7
50000.0,0.1191665,0.0415185,298,7
100000.0,0.219719,0.0548306,298,7
100.0,0.0001546,0.0017659,323,7
200.0,0.0002378,0.002242,323,7
