Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0640775,0.0656518,273,5
200.0,0.1281132,0.08169859999999998,273,5
500.0,0.3235401,0.1246627,273,5
1000.0,0.6422831,0.1748215,273,5
2000.0,1.2058698,0.2146954,273,5
5000.0,2.4442414,0.290295,273,5
10000.0,3.5711417,0.2541094,273,5
20000.0,4.4117065,0.2375596,273,5
50000.0,5.3239181,0.1855125,273,5
100000.0,5.815436,0.147242,273,5
1000000.0,6.724325,0.1130219,273,5
100.0,0.0230907,0.0399625,298,5
200.0,0.0454281,0.0557408,298,5
500.0,0.1142033,0.08911579999999998,298,5
1000.0,0.2256843,0.1110326,298,5
2000.0,0.4503546,0.1514634,298,5
5000.0,1.0620485,0.2107955,298,5
10000.0,1.8116579,0.2568953,298,5
20000.0,2.8420476,0.2708128,298,5
50000.0,4.0822258,0.2461968,298,5
100000.0,4.8231298,0.2020315,298,5
1000000.0,6.3109272,0.1562003,298,5
100.0,0.009278,0.0206673,323,5
200.0,0.0187411,0.0292712,323,5
500.0,0.0474406,0.0471933,323,5
1000.0,0.0938071,0.0659487,323,5
2000.0,0.1880355,0.08180659999999998,323,5
5000.0,0.4529052,0.1240292,323,5
10000.0,0.8769647,0.1551571,323,5
20000.0,1.4900273,0.1995998,323,5
50000.0,2.7430868,0.2230491,323,5
100000.0,3.6796921,0.2048019,323,5
1000000.0,5.7803243,0.140196,323,5
100.0,0.1336619,0.0844237,273,1
200.0,0.2639557,0.1156975,273,1
500.0,0.65447,0.1840311,273,1
1000.0,1.2647435,0.2347786,273,1
2000.0,2.2683096,0.2778617,273,1
5000.0,3.7665325,0.284409,273,1
10000.0,4.7615736,0.2244685,273,1
20000.0,5.4424406,0.2117914,273,1
50000.0,6.1263147,0.1841709,273,1
100000.0,6.4372588,0.1252631,273,1
1000000.0,7.076383,0.116721,273,1
100.0,0.0432785,0.0544615,298,1
200.0,0.08732779999999998,0.0779956,298,1
500.0,0.2227467,0.1089299,298,1
1000.0,0.4322293,0.1441523,298,1
2000.0,0.8538404,0.2083547,298,1
5000.0,1.8487125,0.2653883,298,1
10000.0,2.9229231,0.2879502,298,1
20000.0,3.9686483,0.2540816,298,1
50000.0,5.0420279,0.2132473,298,1
100000.0,5.6963646,0.1929751,298,1
1000000.0,6.7592077,0.111577,298,1
100.0,0.0172596,0.0285552,323,1
200.0,0.0341811,0.0390878,323,1
500.0,0.0859505,0.062645,323,1
1000.0,0.1709704,0.0784382,323,1
2000.0,0.3365657,0.1058517,323,1
5000.0,0.8003002,0.1581695,323,1
10000.0,1.4581788,0.1961114,323,1
20000.0,2.4218949,0.2306863,323,1
50000.0,3.7477631,0.2206541,323,1
100000.0,4.6506855,0.1825866,323,1
1000000.0,6.3400088,0.1204994,323,1
100.0,0.0364242,0.0499236,273,6
200.0,0.0726401,0.0706055,273,6
500.0,0.1836697,0.0995142,273,6
1000.0,0.3668144,0.1367708,273,6
2000.0,0.7190952,0.189572,273,6
5000.0,1.619735,0.2611074,273,6
10000.0,2.7518327,0.2925346,273,6
20000.0,3.8553156,0.2658313,273,6
50000.0,4.9730197,0.2055859,273,6
100000.0,5.5895951,0.1779102,273,6
1000000.0,6.7169081,0.102005,273,6
100.0,0.0138891,0.0308545,298,6
200.0,0.0280977,0.044418,298,6
500.0,0.0689037,0.0696135,298,6
1000.0,0.1403079,0.0981712,298,6
2000.0,0.2757754,0.1206938,298,6
5000.0,0.6625158,0.1874801,298,6
10000.0,1.2286725,0.2199198,298,6
20000.0,2.1278851,0.2806305,298,6
50000.0,3.5369143,0.265424,298,6
100000.0,4.4700158,0.236263,298,6
1000000.0,6.2610158,0.1427423,298,6
100.0,0.0059723,0.0205075,323,6
200.0,0.0132502,0.0305557,323,6
500.0,0.0304936,0.0462474,323,6
1000.0,0.0628797,0.0660068,323,6
2000.0,0.1219465,0.0912057,323,6
5000.0,0.3024687,0.128637,323,6
10000.0,0.5905792,0.1727588,323,6
20000.0,1.1256584,0.2222396,323,6
