Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,2.6669364,0.0859849,273,5
200.0,2.9289483,0.0709725,273,5
500.0,3.1156935,0.0706469,273,5
1000.0,3.2557906,0.069192,273,5
2000.0,3.4077641,0.0747749,273,5
5000.0,3.5767189,0.0635593,273,5
10000.0,3.7038484,0.0525786,273,5
20000.0,3.7689231,0.0645908,273,5
50000.0,3.9112422,0.0693489,273,5
100000.0,3.9496091,0.0471177,273,5
1000000.0,4.2759941,0.0440222,273,5
100.0,1.5743368,0.1426719,298,5
200.0,2.1309521,0.108333,298,5
500.0,2.5628393,0.0939144,298,5
1000.0,2.8206729,0.0738197,298,5
2000.0,3.0223664,0.0716368,298,5
5000.0,3.2262095,0.0661828,298,5
10000.0,3.413318,0.0728879,298,5
20000.0,3.5537416,0.069947,298,5
50000.0,3.7211681,0.063852,298,5
100000.0,3.7993428,0.0567552,298,5
1000000.0,4.0995998,0.0484105,298,5
100.0,0.6019253,0.099047,323,5
200.0,0.9642998,0.1195004,323,5
500.0,1.5677958,0.119865,323,5
1000.0,2.0649603,0.1194264,323,5
2000.0,2.417554,0.0966271,323,5
5000.0,2.8368113,0.07698299999999998,323,5
10000.0,3.0338778,0.0719705,323,5
20000.0,3.2095831,0.0744337,323,5
50000.0,3.4066082,0.0873826,323,5
100000.0,3.5820191,0.0609839,323,5
1000000.0,3.937961,0.0598109,323,5
100.0,2.7282673,0.0979056,273,1
200.0,2.949737,0.0800314,273,1
500.0,3.1640678,0.0672279,273,1
1000.0,3.3558238,0.0673074,273,1
2000.0,3.4895036,0.0715938,273,1
5000.0,3.6677871,0.0620153,273,1
10000.0,3.8058679,0.0451445,273,1
20000.0,3.8565455,0.0446712,273,1
50000.0,3.9710439,0.0447676,273,1
100000.0,4.0870039,0.0572494,273,1
1000000.0,4.3426898,0.0359837,273,1
100.0,1.5673339,0.130662,298,1
200.0,2.0733322,0.1239981,298,1
500.0,2.5998942,0.1041867,298,1
1000.0,2.8783225,0.0838015,298,1
2000.0,3.0852878,0.07237309999999998,298,1
5000.0,3.2922624,0.07573309999999998,298,1
10000.0,3.4749144,0.07632999999999998,298,1
20000.0,3.5871125,0.0671754,298,1
50000.0,3.7983373,0.0665952,298,1
100000.0,3.8847163,0.0509368,298,1
1000000.0,4.1755557,0.0477103,298,1
100.0,0.57692,0.1000518,323,1
200.0,0.9364182,0.1011328,323,1
500.0,1.5885708,0.1335012,323,1
1000.0,2.0541978,0.1070817,323,1
2000.0,2.4541479,0.1120773,323,1
5000.0,2.8380903,0.0869568,323,1
10000.0,3.1011072,0.07890479999999998,323,1
20000.0,3.2634145,0.08033179999999998,323,1
50000.0,3.5527966,0.0652606,323,1
100000.0,3.6560173,0.0578676,323,1
1000000.0,3.9910608,0.0511101,323,1
100.0,2.3317358,0.1037524,273,6
200.0,2.6368054,0.0901786,273,6
500.0,2.9557266,0.0857046,273,6
1000.0,3.1551746,0.07863449999999998,273,6
2000.0,3.2889228,0.07236289999999998,273,6
5000.0,3.5132129,0.0691461,273,6
10000.0,3.6507306,0.0610444,273,6
20000.0,3.7319783,0.0572169,273,6
50000.0,3.8361905,0.0577104,273,6
100000.0,3.9126017,0.0555256,273,6
1000000.0,4.1151562,0.0329079,273,6
100.0,1.1995734,0.1209636,298,6
200.0,1.6504802,0.1216473,298,6
500.0,2.2203093,0.1005732,298,6
1000.0,2.5028256,0.08914619999999998,298,6
2000.0,2.8190848,0.0912801,298,6
5000.0,3.1146237,0.0670456,298,6
10000.0,3.2728352,0.07546379999999998,298,6
20000.0,3.3994726,0.0692213,298,6
50000.0,3.6139562,0.0580621,298,6
100000.0,3.7376225,0.0504048,298,6
1000000.0,4.0438721,0.0305654,298,6
100.0,0.4450263,0.0898652,323,6
200.0,0.7493233,0.0955802,323,6
500.0,1.3007179,0.1180059,323,6
1000.0,1.7339836,0.1136659,323,6
2000.0,2.1145727,0.09918080000000001,323,6
5000.0,2.5707463,0.0987131,323,6
10000.0,2.831305,0.0831991,323,6
20000.0,3.0596663,0.0945416,323,6
50000.0,3.2938908,0.0695593,323,6
100000.0,3.4525652,0.0787791,323,6
1000000.0,3.8904638,0.0518848,323,6
100.0,2.3991514,0.1142559,273,2
200.0,2.6705548,0.0919879,273,2
500.0,2.9852628,0.0788485,273,2
1000.0,3.1738726,0.07623249999999998,273,2
2000.0,3.354051,0.0590086,273,2
5000.0,3.5522351,0.0658836,273,2
10000.0,3.6512005,0.0668751,273,2
20000.0,3.7718395,0.0530217,273,2
50000.0,3.8841773,0.0384254,273,2
100000.0,3.9904831,0.0338151,273,2
1000000.0,4.1339163,0.0538211,273,2
100.0,1.2812989,0.1229899,298,2
200.0,1.7119964,0.1195329,298,2
500.0,2.2321473,0.1059286,298,2
1000.0,2.574737,0.1049752,298,2
2000.0,2.8213982,0.0818874,298,2
5000.0,3.122318,0.0825935,298,2
10000.0,3.3199443,0.0715625,298,2
20000.0,3.4797329,0.0760604,298,2
50000.0,3.6751453,0.0593769,298,2
100000.0,3.7613154,0.0529876,298,2
1000000.0,4.088906,0.0478014,298,2
100.0,0.4871454,0.0952179,323,2
200.0,0.7764121,0.1037691,323,2
500.0,1.3514543,0.1236899,323,2
1000.0,1.7573981,0.1140153,323,2
2000.0,2.1718406,0.099749,323,2
5000.0,2.5747997,0.090318,323,2
10000.0,2.7855265,0.082403,323,2
20000.0,3.085373,0.0720494,323,2
50000.0,3.3093297,0.0669672,323,2
100000.0,3.4914187,0.0699058,323,2
1000000.0,3.8876077,0.0725659,323,2
100.0,0.5959006,0.1026418,273,8
200.0,0.9699513,0.1157936,273,8
500.0,1.539879,0.1200452,273,8
1000.0,1.924725,0.1081868,273,8
2000.0,2.2172697,0.0855779,273,8
5000.0,2.5313024,0.0739883,273,8
10000.0,2.6702253,0.0691019,273,8
20000.0,2.8408519,0.0578027,273,8
50000.0,2.9959275,0.0584013,273,8
100000.0,3.1402278,0.0498992,273,8
1000000.0,3.5172414,0.0751908,273,8
100.0,0.1875368,0.0641148,298,8
200.0,0.3580641,0.0882464,298,8
500.0,0.701176,0.1092103,298,8
1000.0,1.113809,0.119608,298,8
2000.0,1.5184632,0.1167542,298,8
5000.0,1.9912956,0.0961599,298,8
10000.0,2.2767482,0.0889912,298,8
20000.0,2.5037013,0.076267,298,8
50000.0,2.6949109,0.06868,298,8
100000.0,2.8484428,0.0725872,298,8
1000000.0,3.2751799,0.0487729,298,8
100.0,0.0630949,0.0438215,323,8
200.0,0.1215412,0.0607189,323,8
500.0,0.2856688,0.08730209999999998,323,8
1000.0,0.5151912,0.1069284,323,8
2000.0,0.8154660999999999,0.1254573,323,8
5000.0,1.3747243,0.1292381,323,8
10000.0,1.7383442,0.1274953,323,8
20000.0,2.0564525,0.1135986,323,8
50000.0,2.3917222,0.098671,323,8
100000.0,2.5794319,0.0917811,323,8
1000000.0,3.0448894,0.08885669999999998,323,8
100.0,0.6317312,0.1072457,273,4
200.0,1.0215135,0.1220685,273,4
500.0,1.6161684,0.1152293,273,4
1000.0,1.9797649,0.0983997,273,4
2000.0,2.2757011,0.0906891,273,4
5000.0,2.5518531,0.07324,273,4
10000.0,2.7313903,0.0633963,273,4
20000.0,2.8574868,0.0674191,273,4
50000.0,3.062378,0.0588992,273,4
100000.0,3.1674187,0.0576281,273,4
1000000.0,3.4978778,0.0492985,273,4
100.0,0.199374,0.0666819,298,4
200.0,0.3769724,0.0917314,298,4
500.0,0.7670511,0.1117437,298,4
1000.0,1.1692552,0.121507,298,4
2000.0,1.6077318,0.1211109,298,4
5000.0,2.0630233,0.0982748,298,4
10000.0,2.3194693,0.083555,298,4
20000.0,2.5107331,0.0728337,298,4
50000.0,2.7448333,0.0701246,298,4
100000.0,2.8792824,0.0654552,298,4
1000000.0,3.3491232,0.0700957,298,4
100.0,0.0675023,0.0461033,323,4
200.0,0.1297609,0.0608958,323,4
500.0,0.3023274,0.0903439,323,4
1000.0,0.5461621,0.1121765,323,4
2000.0,0.8668361,0.1342859,323,4
5000.0,1.426478,0.1337089,323,4
10000.0,1.8085913,0.1248444,323,4
20000.0,2.1179371,0.1093197,323,4
50000.0,2.4232586,0.0993709,323,4
100000.0,2.6169852,0.08784069999999998,323,4
1000000.0,3.0945835,0.0723795,323,4
100.0,2.9783916,0.0399487,273,7
200.0,3.0211786,0.0382469,273,7
500.0,3.0810042,0.0464503,273,7
1000.0,3.15483,0.0543653,273,7
2000.0,3.2916704,0.0710123,273,7
5000.0,3.5099627,0.0681784,273,7
10000.0,3.6443747,0.0635271,273,7
20000.0,3.8428257,0.0812707,273,7
50000.0,4.089924,0.0577492,273,7
100000.0,4.2034986,0.0541886,273,7
1000000.0,4.4291152,0.0331293,273,7
100.0,2.5486539,0.1105735,298,7
200.0,2.7723657,0.0686481,298,7
500.0,2.928779,0.0483589,298,7
1000.0,3.0091163,0.0392568,298,7
2000.0,3.0714991,0.0464447,298,7
5000.0,3.1820529,0.0595156,298,7
10000.0,3.3351987,0.0716516,298,7
20000.0,3.4919596,0.0732985,298,7
50000.0,3.7277602,0.07614219999999998,298,7
100000.0,3.8736114,0.0649722,298,7
1000000.0,4.2464831,0.0771101,298,7
100.0,1.4528482,0.1370783,323,7
200.0,1.9225862,0.1509225,323,7
500.0,2.4468755,0.1049497,323,7
1000.0,2.704491,0.07901819999999998,323,7
2000.0,2.888803,0.0599571,323,7
5000.0,3.0085515,0.0480657,323,7
10000.0,3.0862689,0.0519623,323,7
20000.0,3.2090568,0.0605281,323,7
50000.0,3.3902753,0.0789417,323,7
100000.0,3.5916359,0.0660772,323,7
1000000.0,4.0725374,0.0533255,323,7
100.0,2.995659,0.0458227,273,3
200.0,3.0577036,0.0482667,273,3
500.0,3.1642996,0.0477133,273,3
1000.0,3.2793565,0.0635638,273,3
2000.0,3.4650155,0.0691789,273,3
5000.0,3.7021653,0.0651317,273,3
10000.0,3.8496289,0.0789691,273,3
20000.0,3.9687311,0.0545608,273,3
50000.0,4.1810348,0.0703629,273,3
100000.0,4.2589063,0.0475245,273,3
1000000.0,4.4514111,0.0490972,273,3
100.0,2.5868155,0.0842552,298,3
200.0,2.7657713,0.0725943,298,3
500.0,2.9490831,0.058494,298,3
1000.0,3.0487219,0.0560983,298,3
2000.0,3.1169142,0.0557014,298,3
5000.0,3.3163513,0.0562952,298,3
10000.0,3.4365142,0.08244129999999998,298,3
20000.0,3.6559493,0.0830134,298,3
50000.0,3.8664287,0.0684408,298,3
100000.0,4.0018654,0.062208,298,3
1000000.0,4.3476828,0.0467291,298,3
100.0,1.4394996,0.145132,323,3
200.0,1.9732563,0.1259751,323,3
500.0,2.500152,0.1100834,323,3
1000.0,2.7130654,0.08067789999999998,323,3
2000.0,2.8918738,0.0669897,323,3
5000.0,3.0638693,0.0576316,323,3
10000.0,3.1916589,0.07219299999999998,323,3
20000.0,3.3278596,0.0677996,323,3
50000.0,3.56956,0.07944859999999998,323,3
100000.0,3.7361676,0.07319359999999998,323,3
1000000.0,4.1928837,0.0642386,323,3
