Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0493643,0.0663256,273,5
200.0,0.1009094,0.093544,273,5
500.0,0.2518176,0.1331381,273,5
1000.0,0.5045022,0.1800945,273,5
2000.0,1.0148141,0.2556331,273,5
5000.0,2.3122224,0.3652219,273,5
10000.0,4.0792148,0.4181656,273,5
20000.0,6.0953377,0.4176265,273,5
50000.0,8.2034,0.3325869,273,5
100000.0,9.4494506,0.2979664,273,5
1000000.0,11.6615103,0.2053421,273,5
100.0,0.018582,0.0411609,298,5
200.0,0.0363059,0.057161,298,5
500.0,0.0905235,0.0909581,298,5
1000.0,0.1871784,0.1097668,298,5
2000.0,0.3706387,0.1568459,298,5
5000.0,0.9068771000000002,0.2365456,298,5
10000.0,1.6653281,0.3017617,298,5
20000.0,3.0067368,0.3937106,298,5
50000.0,5.4790314,0.432023,298,5
100000.0,7.1925321,0.3899281,298,5
1000000.0,10.4884613,0.2260734,298,5
100.0,0.0078654,0.0267028,323,5
200.0,0.0159274,0.0378197,323,5
500.0,0.0401224,0.0600367,323,5
1000.0,0.07737579999999998,0.0833035,323,5
2000.0,0.1551359,0.1166751,323,5
5000.0,0.3918126,0.1617037,323,5
10000.0,0.7513682,0.2188178,323,5
20000.0,1.4432634,0.2868355,323,5
50000.0,3.041056,0.3933324,323,5
100000.0,4.8037288,0.4210877,323,5
1000000.0,9.3002374,0.2838638,323,5
100.0,0.0636024,0.0760842,273,1
200.0,0.1238263,0.08930639999999998,273,1
500.0,0.3126403,0.1402987,273,1
1000.0,0.62799,0.1974436,273,1
2000.0,1.248853,0.2860597,273,1
5000.0,2.8666684,0.4108624,273,1
10000.0,4.9404373,0.4360245,273,1
20000.0,6.9545903,0.3791751,273,1
50000.0,8.8844238,0.3304294,273,1
100000.0,9.9964396,0.2445521,273,1
1000000.0,12.018546,0.2170484,273,1
100.0,0.0214421,0.0438914,298,1
200.0,0.0444931,0.0625525,298,1
500.0,0.1133421,0.0998662,298,1
1000.0,0.2235112,0.1196834,298,1
2000.0,0.466221,0.1745819,298,1
5000.0,1.0785715,0.2653485,298,1
10000.0,2.0048461,0.3337505,298,1
20000.0,3.6079231,0.4276913,298,1
50000.0,6.258255,0.4026333,298,1
100000.0,7.8696783,0.3805245,298,1
1000000.0,11.0302657,0.2627709,298,1
100.0,0.0097602,0.0297883,323,1
200.0,0.0197797,0.042314,323,1
500.0,0.0469242,0.0641776,323,1
1000.0,0.0972806,0.0939371,323,1
2000.0,0.1896453,0.113317,323,1
5000.0,0.4737736,0.1747146,323,1
10000.0,0.9260407,0.2504425,323,1
20000.0,1.6954551,0.3209754,323,1
50000.0,3.6474863,0.3971399,323,1
100000.0,5.5595717,0.4024811,323,1
1000000.0,9.902086700000002,0.2601537,323,1
100.0,0.0248743,0.0469262,273,6
200.0,0.0490425,0.0675763,273,6
500.0,0.124586,0.1052836,273,6
1000.0,0.2388397,0.1465154,273,6
2000.0,0.4920964,0.1860685,273,6
5000.0,1.2387749,0.2921206,273,6
10000.0,2.4120102,0.3960341,273,6
20000.0,4.3530202,0.4427672,273,6
50000.0,7.0050339,0.3858996,273,6
100000.0,8.4393525,0.3391167,273,6
1000000.0,11.1108191,0.2072689,273,6
100.0,0.010368,0.0302763,298,6
200.0,0.0202903,0.0426317,298,6
500.0,0.0494,0.0667194,298,6
1000.0,0.1006737,0.0943831,298,6
2000.0,0.1985654,0.1337438,298,6
5000.0,0.4936626,0.1874063,298,6
10000.0,1.0162429,0.2616255,298,6
20000.0,1.8925693,0.3375314,298,6
50000.0,4.0542549,0.4204787,298,6
100000.0,6.0576176,0.4095836,298,6
1000000.0,9.951158800000002,0.2704514,298,6
100.0,0.0050678,0.02128,323,6
200.0,0.0089826,0.0284052,323,6
500.0,0.0233817,0.0450073,323,6
1000.0,0.0467633,0.0644934,323,6
2000.0,0.0941523,0.0910859,323,6
5000.0,0.2382498,0.1470387,323,6
10000.0,0.4666679,0.1834189,323,6
20000.0,0.9153527,0.2483458,323,6
50000.0,2.0851802,0.3622825,323,6
100000.0,3.6697398,0.4251038,323,6
1000000.0,8.6939272,0.2973424,323,6
100.0,0.0304516,0.0527281,273,2
200.0,0.0604116,0.07275829999999998,273,2
500.0,0.1566779,0.1186962,273,2
1000.0,0.312542,0.1442693,273,2
2000.0,0.6282213,0.2074363,273,2
5000.0,1.6103769,0.318913,273,2
10000.0,3.0398935,0.4558555,273,2
20000.0,5.2388429,0.4644865,273,2
50000.0,7.798989299999999,0.3666544,273,2
100000.0,9.096001,0.3033344,273,2
1000000.0,11.5340332,0.2021169,273,2
100.0,0.012108,0.0330494,298,2
200.0,0.0246419,0.046399,298,2
500.0,0.061502,0.07321579999999998,298,2
1000.0,0.1215739,0.1043658,298,2
2000.0,0.2473844,0.1488881,298,2
5000.0,0.6254952,0.2022401,298,2
10000.0,1.2463337,0.2859342,298,2
20000.0,2.3367335,0.377927,298,2
50000.0,4.85019,0.4444128,298,2
100000.0,6.7523413,0.4027188,298,2
1000000.0,10.540785,0.2447442,298,2
100.0,0.005756,0.0232477,323,2
200.0,0.011092,0.0313082,323,2
500.0,0.028369,0.0499932,323,2
1000.0,0.0571135,0.070552,323,2
2000.0,0.1162737,0.1016869,323,2
5000.0,0.2823586,0.1574344,323,2
10000.0,0.5613744,0.2043147,323,2
20000.0,1.1194294,0.2623786,323,2
50000.0,2.5415538,0.3794549,323,2
100000.0,4.3200271,0.4426367,323,2
1000000.0,9.2511002,0.3019651,323,2
