Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0043495,0.0152134,273,5
200.0,0.0087798,0.0218992,273,5
500.0,0.0222106,0.0343996,273,5
1000.0,0.0457131,0.0500673,273,5
2000.0,0.0921368,0.0595634,273,5
5000.0,0.2365218,0.1005487,273,5
10000.0,0.4969821,0.1483808,273,5
20000.0,1.1196806,0.2257126,273,5
50000.0,2.9230635,0.2973222,273,5
100000.0,4.2439219,0.2212563,273,5
1000000.0,6.1376499,0.1605664,273,5
100.0,0.0021748,0.0108423,298,5
200.0,0.0040427,0.0146693,298,5
500.0,0.0097972,0.0228813,298,5
1000.0,0.0202242,0.0329535,298,5
2000.0,0.04033,0.0464039,298,5
5000.0,0.1019448,0.07558049999999998,298,5
10000.0,0.2095633,0.0973318,298,5
20000.0,0.4441715,0.1347414,298,5
50000.0,1.1470275,0.2135339,298,5
100000.0,2.3547406,0.2964553,298,5
1000000.0,5.4236099,0.163526,298,5
100.0,0.0010766,0.0048388,323,5
200.0,0.0021425,0.0068023,323,5
500.0,0.0052776,0.0107019,323,5
1000.0,0.0107037,0.0151155,323,5
2000.0,0.0207184,0.0211387,323,5
5000.0,0.05219,0.0286023,323,5
10000.0,0.1061457,0.0413468,323,5
20000.0,0.2120912,0.0592796,323,5
50000.0,0.5247589,0.092558,323,5
100000.0,1.1310134,0.136306,323,5
1000000.0,4.6070671,0.1198335,323,5
100.0,0.0048986,0.0161957,273,1
200.0,0.0101202,0.0231695,273,1
500.0,0.0256773,0.0377381,273,1
1000.0,0.0517475,0.0534148,273,1
2000.0,0.103129,0.0642757,273,1
5000.0,0.2667304,0.1062245,273,1
10000.0,0.5769227,0.1623809,273,1
20000.0,1.2258718,0.2250245,273,1
50000.0,3.2010205,0.2883138,273,1
100000.0,4.484294,0.2237489,273,1
1000000.0,6.3659451,0.1327071,273,1
100.0,0.0022986,0.0110945,298,1
200.0,0.0043441,0.0154512,298,1
500.0,0.0112563,0.0248208,298,1
1000.0,0.0221298,0.0347239,298,1
2000.0,0.0457077,0.050719,298,1
5000.0,0.1122341,0.0675768,298,1
10000.0,0.2344923,0.1014508,298,1
20000.0,0.483659,0.1473365,298,1
50000.0,1.2839089,0.226363,298,1
100000.0,2.5241927,0.3022433,298,1
1000000.0,5.549302,0.1603399,298,1
100.0,0.0011369,0.0049201,323,1
200.0,0.0023363,0.0070344,323,1
500.0,0.0056372,0.0109891,323,1
1000.0,0.0111903,0.0154555,323,1
2000.0,0.0227166,0.0222083,323,1
5000.0,0.0577626,0.0311956,323,1
10000.0,0.1142636,0.0436451,323,1
20000.0,0.2390152,0.0622098,323,1
50000.0,0.5838836,0.1012971,323,1
100000.0,1.2325905,0.1431649,323,1
1000000.0,4.7481208,0.1166459,323,1
100.0,0.0035205,0.0138841,273,6
200.0,0.006352,0.01856,273,6
500.0,0.0165261,0.0295703,273,6
1000.0,0.0329767,0.0420543,273,6
2000.0,0.0657489,0.0595112,273,6
5000.0,0.1702561,0.0861023,273,6
10000.0,0.351682,0.124289,273,6
20000.0,0.7850239,0.1877041,273,6
50000.0,2.2965935,0.3235175,273,6
100000.0,3.8768109,0.2632184,273,6
1000000.0,6.116538,0.13792,273,6
100.0,0.0017011,0.0095391,298,6
200.0,0.0033429,0.0135161,298,6
500.0,0.007821599999999998,0.0206382,298,6
1000.0,0.0160631,0.0297367,298,6
2000.0,0.0316417,0.0419636,298,6
5000.0,0.0795242,0.0661546,298,6
10000.0,0.1604319,0.0804165,298,6
20000.0,0.3332557,0.1162129,298,6
50000.0,0.8852379,0.2056042,298,6
100000.0,1.8875768,0.2831614,298,6
1000000.0,5.3145663,0.1855705,298,6
100.0,0.0008989999999999998,0.007023,323,6
200.0,0.0017603,0.009604,323,6
500.0,0.0043495,0.0153083,323,6
1000.0,0.0080208,0.021056,323,6
2000.0,0.0172312,0.0302621,323,6
5000.0,0.0433607,0.048336,323,6
10000.0,0.0865115,0.0684208,323,6
20000.0,0.1719033,0.083236,323,6
50000.0,0.4433074,0.1408293,323,6
100000.0,0.9211987,0.1977291,323,6
1000000.0,4.4330714,0.2050695,323,6
100.0,0.0036982,0.0143215,273,2
200.0,0.0069173,0.0193333,273,2
500.0,0.0184586,0.0316239,273,2
1000.0,0.0360182,0.0443445,273,2
2000.0,0.0720095,0.0638448,273,2
5000.0,0.1873635,0.08990589999999998,273,2
10000.0,0.4036152,0.1390897,273,2
20000.0,0.866525,0.1912843,273,2
50000.0,2.4868095,0.3196772,273,2
100000.0,4.1649634,0.2464792,273,2
1000000.0,6.2112795,0.140303,273,2
100.0,0.0014911,0.0089645,298,2
200.0,0.0034506,0.0137022,298,2
