Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0019166,0.0125893,273,5
200.0,0.0033767,0.0165695,273,5
500.0,0.0085798,0.0263933,273,5
1000.0,0.0174436,0.0375777,273,5
2000.0,0.0338564,0.0532105,273,5
5000.0,0.0874211,0.0845375,273,5
10000.0,0.1767497,0.1048753,273,5
20000.0,0.3413156,0.1494552,273,5
50000.0,0.889333,0.2333789,273,5
100000.0,1.7960285,0.3426909,273,5
1000000.0,23.6971765,0.6483295,273,5
100.0,0.0009253000000000002,0.008693299999999998,298,5
200.0,0.0018769,0.0122535,298,5
500.0,0.0047079,0.0196554,298,5
1000.0,0.0095132,0.0276296,298,5
2000.0,0.019481,0.0396825,298,5
5000.0,0.0485808,0.062142,298,5
10000.0,0.0983954,0.08910229999999998,298,5
20000.0,0.1954352,0.1264413,298,5
50000.0,0.4969365,0.1791526,298,5
100000.0,1.0226156,0.2622944,298,5
1000000.0,13.3788603,0.9692868,298,5
100.0,0.0005763,0.0068153,323,5
200.0,0.0012663,0.0103175,323,5
500.0,0.0028329,0.0151601,323,5
1000.0,0.0062583,0.0225468,323,5
2000.0,0.013101,0.0323617,323,5
5000.0,0.0303336,0.0496835,323,5
10000.0,0.0632809,0.0715237,323,5
20000.0,0.1226087,0.0995094,323,5
50000.0,0.3103408,0.1403818,323,5
100000.0,0.619602,0.1947314,323,5
1000000.0,6.9514261,0.6854234,323,5
100.0,0.0014367,0.0107645,273,1
200.0,0.0030358,0.0157817,273,1
500.0,0.007654399999999999,0.0247015,273,1
1000.0,0.0151465,0.0352865,273,1
2000.0,0.0304634,0.0498293,273,1
5000.0,0.0763818,0.0784012,273,1
10000.0,0.1499876,0.1115395,273,1
20000.0,0.3142614,0.143156,273,1
50000.0,0.7920072999999999,0.2215666,273,1
100000.0,1.6333751,0.3230224,273,1
1000000.0,24.5853104,0.6344778,273,1
100.0,0.0007387,0.0077079,298,1
200.0,0.0016234,0.0114793,298,1
500.0,0.0044806,0.0189935,298,1
1000.0,0.0088152,0.0266268,298,1
2000.0,0.0178251,0.0379491,298,1
5000.0,0.0443599,0.0596724,298,1
10000.0,0.090327,0.0854293,298,1
