Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1926942,0.0653041,273,5
200.0,0.3495345,0.0953082,273,5
500.0,0.7219508999999998,0.1220437,273,5
1000.0,1.1802457,0.1276216,273,5
2000.0,1.7033151,0.1367906,273,5
5000.0,2.3105508,0.1155253,273,5
10000.0,2.6959956,0.1167833,273,5
20000.0,3.0056824,0.1137781,273,5
50000.0,3.5442889,0.1166807,273,5
100000.0,3.911489,0.1059389,273,5
1000000.0,4.7486441,0.1020641,273,5
100.0,0.0413657,0.033641,298,5
200.0,0.0849918,0.0484119,298,5
500.0,0.2032772,0.0757443,298,5
1000.0,0.3629808,0.0929315,298,5
2000.0,0.6590751,0.1304669,298,5
5000.0,1.2627873,0.1276654,298,5
10000.0,1.7863172,0.1155991,298,5
20000.0,2.2617929,0.1264027,298,5
50000.0,2.7699037,0.1233704,298,5
100000.0,3.179612,0.1254907,298,5
1000000.0,4.2254356,0.09049,298,5
100.0,0.0123789,0.0192892,323,5
200.0,0.024847,0.0262959,323,5
500.0,0.0604819,0.0408032,323,5
1000.0,0.1291623,0.0554101,323,5
2000.0,0.2321707,0.0765489,323,5
5000.0,0.5059695,0.09807320000000001,323,5
10000.0,0.8738745999999998,0.1353768,323,5
20000.0,1.4008162,0.1424649,323,5
50000.0,2.0229353,0.1423545,323,5
100000.0,2.4991968,0.139213,323,5
1000000.0,3.7347378,0.1262509,323,5
100.0,0.1258403,0.0579935,273,1
200.0,0.2720185,0.0822389,273,1
500.0,0.5716919,0.139063,273,1
1000.0,0.9429367,0.1203363,273,1
2000.0,1.531329,0.1446844,273,1
5000.0,2.1198837,0.1389985,273,1
10000.0,2.559937,0.1334052,273,1
20000.0,2.9314336,0.1345377,273,1
50000.0,3.5222245,0.1452262,273,1
100000.0,3.9708767,0.1242218,273,1
1000000.0,4.847194,0.0799316,273,1
100.0,0.0321323,0.0302181,298,1
200.0,0.0605509,0.040446,298,1
500.0,0.1486763,0.0630393,298,1
1000.0,0.3005873,0.090175,298,1
2000.0,0.540648,0.1089634,298,1
5000.0,1.0591281,0.1312544,298,1
10000.0,1.6060359,0.1296361,298,1
20000.0,2.0862855,0.1427785,298,1
50000.0,2.7174666,0.1212012,298,1
100000.0,3.0889815,0.1275369,298,1
1000000.0,4.4045241,0.1136578,298,1
100.0,0.0094891,0.016844,323,1
200.0,0.0197169,0.0237285,323,1
500.0,0.048517,0.0360498,323,1
1000.0,0.0893551,0.0483773,323,1
2000.0,0.1843233,0.073147,323,1
5000.0,0.3975685,0.1023706,323,1
10000.0,0.7270556999999999,0.1254729,323,1
20000.0,1.1782757,0.1530265,323,1
50000.0,1.8671024,0.1512242,323,1
100000.0,2.3597333,0.1279006,323,1
1000000.0,3.7716098,0.1241179,323,1
100.0,0.3339835,0.0895167,273,6
200.0,0.6186429,0.1244281,273,6
500.0,1.1381064,0.1332192,273,6
1000.0,1.6628635,0.1340752,273,6
2000.0,2.0745517,0.1242016,273,6
5000.0,2.4746251,0.0968956,273,6
10000.0,2.7233015,0.09867890000000001,273,6
20000.0,2.9010419,0.1107399,273,6
