Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.3629756,0.1042935,273,5
200.0,0.6678263,0.1076739,273,5
500.0,1.2206958,0.1392375,273,5
1000.0,1.7149221,0.1219806,273,5
2000.0,2.1197272,0.1179024,273,5
5000.0,2.4254418,0.0917882,273,5
10000.0,2.6152768,0.08636829999999998,273,5
20000.0,2.7795736,0.0944836,273,5
50000.0,3.0666082,0.0949563,273,5
100000.0,3.3486699,0.106033,273,5
1000000.0,4.2567496,0.1092961,273,5
100.0,0.0798254,0.0485274,298,5
200.0,0.1649758,0.0698204,298,5
500.0,0.3973088,0.094827,298,5
1000.0,0.6965496,0.1152923,298,5
2000.0,1.0956065,0.1323219,298,5
5000.0,1.7204894,0.1329247,298,5
10000.0,2.1034341,0.1096312,298,5
20000.0,2.3982242,0.1050072,298,5
50000.0,2.6933148,0.088495,298,5
100000.0,2.9132422,0.0885581,298,5
1000000.0,3.7821684,0.1115612,298,5
100.0,0.0241246,0.0270833,323,5
200.0,0.042149,0.0347217,323,5
500.0,0.1158418,0.0570477,323,5
1000.0,0.2064105,0.0701526,323,5
2000.0,0.3956487,0.091947,323,5
5000.0,0.840431,0.1407388,323,5
10000.0,1.2485974,0.1352712,323,5
20000.0,1.7361228,0.1388006,323,5
50000.0,2.2464465,0.1148854,323,5
100000.0,2.5191398,0.0987223,323,5
1000000.0,3.3374403,0.1000354,323,5
100.0,0.303524,0.0836504,273,1
200.0,0.5186574,0.1103515,273,1
500.0,1.1218834,0.1499023,273,1
1000.0,1.5697415,0.1397053,273,1
2000.0,2.0042331,0.119768,273,1
5000.0,2.3936747,0.08880589999999998,273,1
10000.0,2.6053818,0.08399539999999998,273,1
20000.0,2.7665004,0.0892957,273,1
50000.0,3.0788079,0.1048073,273,1
100000.0,3.3939155,0.1205312,273,1
1000000.0,4.5634692,0.1285178,273,1
100.0,0.0674316,0.0427717,298,1
200.0,0.124231,0.0570351,298,1
500.0,0.3113264,0.08989179999999998,298,1
1000.0,0.6090527,0.1010298,298,1
