Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,9.8e-06,0.0004923,273,5
200.0,2.95e-05,0.0008524,273,5
500.0,2.95e-05,0.0008524,273,5
1000.0,9.85e-05,0.0015541,273,5
2000.0,0.0001527,0.0019327,273,5
5000.0,0.0005638,0.0037321,273,5
10000.0,0.001039,0.0050591,273,5
20000.0,0.0019328,0.0068738,273,5
50000.0,0.0052124,0.0113122,273,5
100000.0,0.0101737,0.0139079,273,5
100.0,9.8e-06,0.0004923,298,5
200.0,9.8e-06,0.0004923,298,5
500.0,3.2e-05,0.0008872,298,5
1000.0,3.94e-05,0.0009841,298,5
2000.0,0.000128,0.0017709,298,5
5000.0,0.0002832,0.0026252,298,5
10000.0,0.0005835,0.0037775,298,5
20000.0,0.0012582,0.0055978,298,5
50000.0,0.0027084,0.0081401,298,5
100000.0,0.0056679,0.0118648,298,5
100.0,4.1e-06,0.0001835,323,5
200.0,6.6e-06,0.000232,323,5
500.0,1.97e-05,0.0004016,323,5
1000.0,3.69e-05,0.0005493,323,5
2000.0,7.959999999999998e-05,0.0008044,323,5
5000.0,0.0001609,0.0011495,323,5
10000.0,0.0003701,0.0017539,323,5
20000.0,0.000687,0.0023573,323,5
50000.0,0.0017416,0.0037103,323,5
100000.0,0.0037023,0.0054007,323,5
100.0,2.5e-06,0.0002462,273,1
200.0,4.9e-06,0.0003482,273,1
500.0,2.71e-05,0.0008162,273,1
1000.0,5.17e-05,0.0011271,273,1
2000.0,5.91e-05,0.0012048,273,1
5000.0,0.0002339,0.0023884,273,1
10000.0,0.0004654,0.0034066,273,1
20000.0,0.0009036,0.0047714,273,1
50000.0,0.0021249,0.0072479,273,1
100000.0,0.0042522,0.0101541,273,1
100.0,0.0,0.0,298,1
200.0,2.5e-06,0.0002462,298,1
500.0,9.8e-06,0.0004923,298,1
1000.0,1.23e-05,0.0005504,298,1
2000.0,5.17e-05,0.0011271,298,1
5000.0,0.0001059,0.0016111,298,1
10000.0,0.0002905,0.002704,298,1
20000.0,0.0004949,0.0035592,298,1
50000.0,0.0013148,0.0056763,298,1
100000.0,0.0025139,0.0078433,298,1
100.0,7.999999999999999e-07,8.21e-05,323,1
200.0,0.0,0.0,323,1
500.0,1.15e-05,0.0003069,323,1
1000.0,1.48e-05,0.0003479,323,1
2000.0,3.61e-05,0.0005432,323,1
5000.0,9.77e-05,0.0008899999999999998,323,1
10000.0,0.0001609,0.0011495,323,1
20000.0,0.0003513,0.0016973,323,1
50000.0,0.0008526999999999999,0.0026506,323,1
100000.0,0.0017711,0.0038795,323,1
100.0,2.5e-06,0.0002462,273,6
200.0,2.71e-05,0.0008162,273,6
500.0,4.92e-05,0.0011,273,6
1000.0,0.0001256,0.0017539,273,6
2000.0,0.0002241,0.0023638,273,6
5000.0,0.0006599,0.0040519,273,6
10000.0,0.0012089,0.0054106,273,6
20000.0,0.0024893,0.0078743,273,6
50000.0,0.006025,0.0120678,273,6
100000.0,0.012434,0.0150006,273,6
100.0,2.5e-06,0.0002462,298,6
200.0,1.23e-05,0.0005504,298,6
500.0,2.71e-05,0.0008873,298,6
1000.0,5.42e-05,0.0011536,298,6
2000.0,0.0001576,0.0019941,298,6
5000.0,0.0003669,0.0030829,298,6
10000.0,0.0006352,0.0039498,298,6
20000.0,0.0013394,0.0056919,298,6
50000.0,0.0033486,0.0090702,298,6
100000.0,0.0063697,0.0125202,298,6
100.0,9.8e-06,0.0004923,323,6
200.0,1.23e-05,0.0005504,323,6
500.0,1.72e-05,0.0006512,323,6
1000.0,3.94e-05,0.0009841,323,6
2000.0,6.16e-05,0.0012296,323,6
5000.0,0.0002044,0.0022338,323,6
10000.0,0.0004407,0.0033198,323,6
20000.0,0.0007657,0.0043722,323,6
50000.0,0.0020165,0.0069898,323,6
100000.0,0.0039863,0.0099494,323,6
100.0,4.9e-06,0.0003482,273,2
200.0,2.22e-05,0.0007383,273,2
500.0,3.69e-05,0.0009529,273,2
1000.0,4.68e-05,0.0010722,273,2
2000.0,0.0001059,0.0016111,273,2
5000.0,0.0002759,0.0025917,273,2
10000.0,0.0004974,0.0034987,273,2
20000.0,0.0009923000000000002,0.0049044,273,2
50000.0,0.002573,0.008000399999999998,273,2
100000.0,0.0051533,0.0113339,273,2
100.0,2.5e-06,0.0002462,298,2
200.0,4.9e-06,0.0003482,298,2
500.0,7.4e-06,0.0004264,298,2
1000.0,3.69e-05,0.0009529,298,2
2000.0,8.619999999999998e-05,0.0014541,298,2
5000.0,0.0001674,0.0020235,298,2
10000.0,0.0003102,0.0027463,298,2
20000.0,0.0006328,0.0039732,298,2
50000.0,0.0016201,0.006242,298,2
100000.0,0.0030078,0.0085804,298,2
100.0,0.0,0.0,323,2
200.0,4.9e-06,0.0003482,323,2
500.0,1.23e-05,0.0005504,323,2
1000.0,9.8e-06,0.0004923,323,2
2000.0,3.94e-05,0.0009841,323,2
5000.0,9.6e-05,0.0015346,323,2
10000.0,0.0002019,0.0022476,323,2
20000.0,0.0003669,0.0030234,323,2
50000.0,0.0009849,0.0048997,323,2
100000.0,0.0020668,0.0071742,323,2
100.0,8.199999999999998e-06,0.0002594,273,8
200.0,1.72e-05,0.0003757,273,8
500.0,4.19e-05,0.0005846,273,8
1000.0,8.86e-05,0.0008482999999999999,273,8
2000.0,0.0001896,0.0012653,273,8
5000.0,0.000467,0.0019605,273,8
10000.0,0.0008782,0.0026816,273,8
20000.0,0.0018097,0.003801,273,8
50000.0,0.0046478,0.0053978,273,8
100000.0,0.0088655,0.0073353,273,8
100.0,9e-06,0.0002721,298,8
200.0,5.7e-06,0.0002171,298,8
500.0,3.04e-05,0.0004984,298,8
1000.0,5.33e-05,0.0006595,298,8
2000.0,0.0001108,0.0009471,298,8
5000.0,0.0002749,0.0014949,298,8
10000.0,0.0005072,0.0020433,298,8
20000.0,0.0010694,0.0029787,298,8
50000.0,0.0026116,0.0046655,298,8
100000.0,0.0055481,0.0059174,298,8
100.0,2.5e-06,0.0001421,323,8
200.0,4.9e-06,0.000201,323,8
500.0,1.31e-05,0.000328,323,8
1000.0,2.79e-05,0.0004777,323,8
2000.0,7.14e-05,0.0007622,323,8
5000.0,0.0001658,0.001172,323,8
10000.0,0.0003546,0.0016927,323,8
20000.0,0.0006853,0.0023549,323,8
50000.0,0.0016554,0.0036392,323,8
100000.0,0.0036325,0.0056057,323,8
100.0,2.5e-06,0.0001421,273,4
200.0,7.4e-06,0.0002461,273,4
500.0,1.07e-05,0.0002957,273,4
1000.0,2.79e-05,0.0004777,273,4
2000.0,8.129999999999998e-05,0.0008208,273,4
5000.0,0.0001797,0.0012068,273,4
10000.0,0.0003784,0.0017826,273,4
20000.0,0.0007707,0.0024932,273,4
50000.0,0.0020567,0.0041102,273,4
100000.0,0.0039617,0.0048308,273,4
100.0,0.0,0.0,298,4
200.0,2.5e-06,0.0001421,298,4
500.0,6.6e-06,0.000232,298,4
1000.0,3.2e-05,0.0005115,298,4
2000.0,4.35e-05,0.0005959,298,4
5000.0,0.0001124,0.0009819,298,4
10000.0,0.0002175,0.0013385,298,4
20000.0,0.0004777,0.0019802,298,4
50000.0,0.0012171,0.0031436,298,4
100000.0,0.0024314,0.0044813,298,4
100.0,2.5e-06,0.0001421,323,4
200.0,3.3e-06,0.0001641,323,4
500.0,5.7e-06,0.0002171,323,4
1000.0,1.48e-05,0.0003479,323,4
2000.0,2.79e-05,0.0004777,323,4
5000.0,9.19e-05,0.0008637,323,4
10000.0,0.0001486,0.0011185,323,4
20000.0,0.0002996,0.0015695,323,4
50000.0,0.0008388,0.0026309,323,4
100000.0,0.0015996,0.0036457,323,4
100.0,7.4e-06,0.0002461,273,7
200.0,1.97e-05,0.0004016,273,7
500.0,5.33e-05,0.0006595,273,7
1000.0,0.0001067,0.0009297000000000002,273,7
2000.0,0.0002019,0.0012819,273,7
5000.0,0.0004974,0.0020125,273,7
10000.0,0.0009988000000000002,0.0028818,273,7
20000.0,0.0020699,0.0041134,273,7
50000.0,0.0049671,0.0055781,273,7
100000.0,0.0097445,0.0077964,273,7
100.0,8.199999999999998e-06,0.0002594,298,7
200.0,1.15e-05,0.0003069,298,7
500.0,1.81e-05,0.0003845,298,7
1000.0,6.49e-05,0.0007268,298,7
2000.0,0.0001354,0.0010519,298,7
5000.0,0.0003102,0.0015824,298,7
10000.0,0.0006205,0.0022728,298,7
20000.0,0.0011531,0.003077,298,7
50000.0,0.0029218,0.004849,298,7
100000.0,0.0059946,0.006243,298,7
100.0,9e-06,0.0002721,323,7
200.0,9e-06,0.0002721,323,7
500.0,1.4e-05,0.0003381,323,7
1000.0,3.61e-05,0.0005432,323,7
2000.0,7.55e-05,0.0007921,323,7
5000.0,0.000183,0.0012229,323,7
10000.0,0.0003701,0.0017384,323,7
20000.0,0.0007037,0.0023899,323,7
50000.0,0.0018417,0.0039433,323,7
100000.0,0.0037688,0.0056035,323,7
100.0,4.1e-06,0.0001835,273,3
200.0,9e-06,0.0002721,273,3
500.0,2.3e-05,0.0004337,273,3
1000.0,4.27e-05,0.0005903,273,3
2000.0,8.949999999999998e-05,0.0008601,273,3
5000.0,0.0002479,0.0014236,273,3
10000.0,0.0003909,0.0018048,273,3
20000.0,0.0008953999999999999,0.0027146,273,3
50000.0,0.0021528,0.0041841,273,3
100000.0,0.0044853,0.0053699,273,3
100.0,1.6e-06,0.0001161,298,3
200.0,4.1e-06,0.0001835,298,3
500.0,1.23e-05,0.0003176,298,3
1000.0,2.46e-05,0.0004489,298,3
2000.0,6.07e-05,0.0007034,298,3
5000.0,0.0001346,0.0010424,298,3
10000.0,0.0002536,0.0014531,298,3
20000.0,0.0005269,0.0020808,298,3
50000.0,0.0012976,0.0032551,298,3
100000.0,0.0028214,0.0047888,298,3
100.0,2.5e-06,0.0001421,323,3
200.0,4.1e-06,0.0001835,323,3
500.0,9e-06,0.0002721,323,3
1000.0,2.54e-05,0.0004563,323,3
2000.0,3.61e-05,0.0005432,323,3
5000.0,8.86e-05,0.0008482999999999999,323,3
10000.0,0.0001707,0.0011827,323,3
20000.0,0.0003679,0.0017452,323,3
50000.0,0.0009177,0.0027629,323,3
100000.0,0.0017564,0.0037772,323,3
