Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0502399,0.0378427,273,5
200.0,0.098619,0.0567767,273,5
500.0,0.2462571,0.0847976,273,5
1000.0,0.4887587,0.1196847,273,5
2000.0,0.9472098000000002,0.1530246,273,5
5000.0,2.0603224,0.2176777,273,5
10000.0,3.3196111,0.2249492,273,5
20000.0,4.4812525,0.2030659,273,5
50000.0,5.7752198,0.1852955,273,5
100000.0,6.5287605,0.1604433,273,5
1000000.0,8.0463758,0.0970611,273,5
100.0,0.0168346,0.0259633,298,5
200.0,0.0333899,0.0360461,298,5
500.0,0.08384039999999998,0.0509049,298,5
1000.0,0.1679363,0.0698426,298,5
2000.0,0.3348926,0.1001497,298,5
5000.0,0.7815423999999999,0.1361301,298,5
10000.0,1.4376471,0.1806505,298,5
20000.0,2.4664182,0.2206145,298,5
50000.0,4.0797167,0.2093054,298,5
100000.0,5.0670586,0.1977663,298,5
1000000.0,7.3019643,0.1402578,298,5
100.0,0.0069817,0.0165928,323,5
200.0,0.0137249,0.0233139,323,5
500.0,0.0343083,0.0366456,323,5
1000.0,0.068048,0.0460508,323,5
2000.0,0.1325482,0.0614038,323,5
5000.0,0.3331229,0.0942192,323,5
10000.0,0.6387305,0.13114,323,5
20000.0,1.1387948,0.1742395,323,5
50000.0,2.359314,0.204363,323,5
100000.0,3.5153649,0.2279862,323,5
1000000.0,6.5165521,0.1529338,323,5
100.0,0.2030887,0.070659,273,1
200.0,0.4040636,0.1227683,273,1
500.0,0.9358851,0.1448317,273,1
1000.0,1.5663731,0.1714565,273,1
2000.0,2.5082436,0.1880746,273,1
5000.0,3.848206,0.2150766,273,1
10000.0,4.9893377,0.2053602,273,1
20000.0,5.9562583,0.1899646,273,1
50000.0,7.0748946,0.1556274,273,1
100000.0,7.8261409,0.1451095,273,1
1000000.0,9.4129978,0.0914975,273,1
100.0,0.0585495,0.0395738,298,1
200.0,0.1212738,0.0578775,298,1
500.0,0.2955746,0.0873676,298,1
1000.0,0.5610418,0.1083225,298,1
2000.0,0.9886774,0.155448,298,1
5000.0,1.9134989,0.1799375,298,1
10000.0,2.9434006,0.2100006,298,1
20000.0,4.0405618,0.2018558,298,1
50000.0,5.4240528,0.1953187,298,1
100000.0,6.3304805,0.1707485,298,1
1000000.0,8.6710949,0.1468655,298,1
100.0,0.020651,0.0249384,323,1
200.0,0.0400933,0.033386,323,1
500.0,0.1017122,0.0515644,323,1
1000.0,0.1988283,0.07430119999999998,323,1
2000.0,0.3694753,0.0982994,323,1
5000.0,0.8701647999999998,0.1432698,323,1
10000.0,1.453019,0.1571813,323,1
20000.0,2.3890907,0.2039826,323,1
50000.0,3.7993498,0.2091133,323,1
100000.0,4.825816,0.2008797,323,1
1000000.0,7.6867335,0.1547768,323,1
100.0,0.1595424,0.0653383,273,6
200.0,0.2953082,0.08959159999999998,273,6
500.0,0.7407939,0.1402623,273,6
1000.0,1.3000198,0.1724772,273,6
2000.0,2.1830813,0.1988222,273,6
5000.0,3.4820054,0.2023876,273,6
10000.0,4.4209393,0.1781426,273,6
20000.0,5.1902124,0.1736516,273,6
50000.0,6.052719,0.1531696,273,6
100000.0,6.5363222,0.1380378,273,6
1000000.0,7.8515622,0.1083006,273,6
100.0,0.0441209,0.0365854,298,6
200.0,0.0876732,0.0499689,298,6
500.0,0.2196582,0.077445,298,6
1000.0,0.4361192,0.1106611,298,6
2000.0,0.8103833,0.1402329,298,6
5000.0,1.6935513,0.1948064,298,6
10000.0,2.6696461,0.2092304,298,6
20000.0,3.6300884,0.1937422,298,6
50000.0,4.8353925,0.1673357,298,6
100000.0,5.5477603,0.1586767,298,6
1000000.0,7.2498362,0.1191433,298,6
100.0,0.0157089,0.0249882,323,6
200.0,0.0326384,0.0301823,323,6
500.0,0.08015079999999998,0.0488932,323,6
1000.0,0.1559439,0.0670685,323,6
2000.0,0.2944932,0.0908181,323,6
5000.0,0.6910247,0.1276237,323,6
10000.0,1.2711925,0.1701606,323,6
20000.0,2.1173442,0.1971873,323,6
50000.0,3.4238704,0.1995572,323,6
100000.0,4.3537937,0.1869638,323,6
1000000.0,6.5483315,0.1286736,323,6
100.0,1.328149,0.2071179,273,2
200.0,1.9953272,0.1659704,273,2
500.0,3.000971,0.1720061,273,2
