Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009716,0.0062476,273,5
200.0,0.0017063,0.0083152,273,5
500.0,0.0042076,0.012986,273,5
1000.0,0.008483499999999998,0.0183746,273,5
2000.0,0.0169268,0.0259902,273,5
5000.0,0.0433448,0.0412552,273,5
10000.0,0.0847527,0.0571923,273,5
20000.0,0.1653615,0.0715841,273,5
50000.0,0.4095314,0.1090855,273,5
100000.0,0.7348764,0.1385112,273,5
100.0,0.0004657,0.004299,298,5
200.0,0.0009435,0.006161,298,5
500.0,0.0023005,0.0095868,298,5
1000.0,0.0048781,0.0139044,298,5
2000.0,0.0091981,0.0190025,298,5
5000.0,0.0235153,0.0309761,298,5
10000.0,0.0466933,0.042755,298,5
20000.0,0.0936193,0.0610067,298,5
50000.0,0.2274197,0.08477959999999998,298,5
100000.0,0.4343755,0.110813,298,5
100.0,0.0002489,0.0031515,323,5
200.0,0.0005701,0.0048509,323,5
500.0,0.0014213,0.0075696,323,5
1000.0,0.0028546,0.0107165,323,5
2000.0,0.0058055,0.0151661,323,5
5000.0,0.0142127,0.0235645,323,5
10000.0,0.0282047,0.0333936,323,5
20000.0,0.0570718,0.0475666,323,5
50000.0,0.1367192,0.0629325,323,5
100000.0,0.2669424,0.0929234,323,5
100.0,0.0008591999999999999,0.0058653,273,1
200.0,0.0015987,0.0080333,273,1
500.0,0.003796,0.012284,273,1
1000.0,0.0074316,0.0171487,273,1
2000.0,0.0154453,0.0246681,273,1
5000.0,0.0384418,0.0398666,273,1
10000.0,0.07563259999999998,0.0546217,273,1
20000.0,0.1502494,0.0671225,273,1
50000.0,0.3577914,0.1061674,273,1
100000.0,0.686105,0.131411,273,1
100.0,0.0004697,0.0044641,298,1
200.0,0.0008712,0.0060129,298,1
500.0,0.0021359,0.0092578,298,1
1000.0,0.0043843,0.0132355,298,1
2000.0,0.0084072,0.0184227,298,1
5000.0,0.0213352,0.0294764,298,1
10000.0,0.0427426,0.0410075,298,1
20000.0,0.08567389999999998,0.0585758,298,1
50000.0,0.2050728,0.0802465,298,1
100000.0,0.4048299,0.1082131,298,1
100.0,0.0002449,0.0031262,323,1
200.0,0.0005219,0.0045831,323,1
500.0,0.0012131,0.006989,323,1
1000.0,0.002698,0.0103678,323,1
2000.0,0.0052073,0.0145247,323,1
5000.0,0.0132572,0.0232507,323,1
10000.0,0.0258238,0.0322117,323,1
20000.0,0.0514566,0.0454457,323,1
50000.0,0.1278578,0.0606973,323,1
100000.0,0.251422,0.0904765,323,1
100.0,0.0010118,0.0063943,273,6
200.0,0.0020677,0.0089639,273,6
500.0,0.0050347,0.014165,273,6
1000.0,0.010523,0.0207848,273,6
2000.0,0.0205723,0.0288751,273,6
5000.0,0.05229,0.0452198,273,6
10000.0,0.1014404,0.0548396,273,6
20000.0,0.2043238,0.07637239999999998,273,6
50000.0,0.4733156,0.1137529,273,6
100000.0,0.847798,0.1409717,273,6
100.0,0.0005902,0.0049635,298,6
200.0,0.0011442,0.006871,298,6
500.0,0.002694,0.0104231,298,6
1000.0,0.0053719,0.014757,298,6
2000.0,0.0113943,0.0215334,298,6
5000.0,0.0272571,0.0328583,298,6
10000.0,0.0555983,0.0468923,298,6
20000.0,0.1078401,0.0563518,298,6
50000.0,0.2638664,0.08878859999999998,298,6
100000.0,0.5013314,0.1117215,298,6
100.0,0.0003132,0.0035774,323,6
200.0,0.0006344,0.0050387,323,6
500.0,0.0015257,0.007863099999999998,323,6
1000.0,0.003244,0.0114879,323,6
2000.0,0.0064078,0.0159755,323,6
5000.0,0.0156902,0.0249917,323,6
10000.0,0.0325126,0.0355726,323,6
20000.0,0.0632306,0.0503031,323,6
50000.0,0.1605798,0.0711241,323,6
100000.0,0.3014664,0.0938597,323,6
100.0,0.0011362,0.0068016,273,2
200.0,0.0024491,0.0099225,273,2
500.0,0.0058245,0.0153849,273,2
