Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007592999999999999,0.006694,273,5
200.0,0.0013008,0.0087328,273,5
500.0,0.0035729,0.0146582,273,5
1000.0,0.0070457,0.0200795,273,5
2000.0,0.0143562,0.029088,273,5
5000.0,0.0356817,0.0461947,273,5
10000.0,0.0701037,0.0632072,273,5
20000.0,0.1358341,0.08762269999999998,273,5
50000.0,0.3304765,0.1175419,273,5
100000.0,0.6148705,0.155949,273,5
100.0,0.0004061,0.0048725,298,5
200.0,0.0007829,0.0067429,298,5
500.0,0.0021329,0.0111564,298,5
1000.0,0.0041321,0.015492,298,5
2000.0,0.0083212,0.0220706,298,5
5000.0,0.0205131,0.0348649,298,5
10000.0,0.0412676,0.048722,298,5
20000.0,0.0811278,0.0690148,298,5
50000.0,0.2030433,0.1070236,298,5
100000.0,0.3773362,0.1292555,298,5
100.0,0.0002605,0.0033809,323,5
200.0,0.0003664,0.0040535,323,5
500.0,0.0013376,0.0077955,323,5
1000.0,0.0027635,0.0110877,323,5
2000.0,0.0050547,0.0147734,323,5
5000.0,0.0133277,0.0241618,323,5
10000.0,0.0264787,0.0339447,323,5
20000.0,0.0532179,0.048163,323,5
50000.0,0.1279371,0.0739693,323,5
100000.0,0.2512036,0.092128,323,5
100.0,0.000618,0.0059997,273,1
200.0,0.0011184,0.008164299999999998,273,1
500.0,0.0028694,0.0128923,273,1
1000.0,0.0057449,0.0184335,273,1
2000.0,0.0120842,0.0266734,273,1
5000.0,0.0296719,0.0416621,273,1
10000.0,0.0593147,0.0578317,273,1
20000.0,0.11754,0.082374,273,1
50000.0,0.2808623,0.108932,273,1
100000.0,0.5354549,0.1513577,273,1
100.0,0.0003296,0.0043924,298,1
200.0,0.0007475,0.0066954,298,1
500.0,0.0018247,0.0103031,298,1
1000.0,0.0035081,0.0145433,298,1
2000.0,0.0068338,0.0198931,298,1
5000.0,0.0184353,0.032852,298,1
10000.0,0.036076,0.0458836,298,1
20000.0,0.0708689,0.0641124,298,1
50000.0,0.1723869,0.0995124,298,1
100000.0,0.3349349,0.1190664,298,1
100.0,0.0002119,0.0030512,323,1
200.0,0.000415,0.0042599,323,1
500.0,0.0011566,0.0071883,323,1
1000.0,0.0022823,0.0099917,323,1
2000.0,0.0047369,0.0144396,323,1
5000.0,0.0113941,0.0223399,323,1
10000.0,0.0229161,0.0317002,323,1
20000.0,0.0459956,0.044514,323,1
50000.0,0.1113449,0.0693767,323,1
100000.0,0.2192287,0.0849261,323,1
100.0,0.0006125,0.0060306,273,6
200.0,0.0014951,0.0094462,273,6
500.0,0.0034257,0.014226,273,6
1000.0,0.007239899999999999,0.0208995,273,6
2000.0,0.0133379,0.0278117,273,6
5000.0,0.0343043,0.0447401,273,6
10000.0,0.0671901,0.0622895,273,6
20000.0,0.1327027,0.0873595,273,6
50000.0,0.3157601,0.1135685,273,6
100000.0,0.5944515,0.1507297,273,6
100.0,0.0003296,0.0043924,298,6
200.0,0.0006534,0.0061669,298,6
500.0,0.0020543,0.0108984,298,6
1000.0,0.004185,0.0155782,298,6
2000.0,0.008064,0.0216295,298,6
5000.0,0.0197126,0.0336459,298,6
10000.0,0.0407143,0.0481243,298,6
20000.0,0.07814419999999998,0.0662517,298,6
50000.0,0.1918994,0.1050949,298,6
100000.0,0.3679299,0.1258282,298,6
100.0,0.0002237,0.0036215,323,6
200.0,0.0006004,0.0062003,323,6
500.0,0.0013832,0.008994,323,6
1000.0,0.0028253,0.0129355,323,6
2000.0,0.0050974,0.0173716,323,6
5000.0,0.0126375,0.0271658,323,6
10000.0,0.0262122,0.0390577,323,6
20000.0,0.0497921,0.054149,323,6
50000.0,0.1261455,0.08518059999999998,323,6
100000.0,0.2430478,0.1013355,323,6
100.0,0.0005592,0.0057701,273,2
200.0,0.001136,0.008140599999999998,273,2
500.0,0.0028842,0.0130027,273,2
1000.0,0.0058449,0.0186915,273,2
2000.0,0.0116309,0.0259772,273,2
5000.0,0.0290833,0.0408891,273,2
10000.0,0.0577134,0.0579931,273,2
20000.0,0.1119276,0.08009539999999998,273,2
50000.0,0.2734164,0.1066656,273,2
100000.0,0.5135526,0.152912,273,2
100.0,0.0003296,0.0043924,298,2
200.0,0.000671,0.0062487,298,2
500.0,0.0016961,0.010021,298,2
1000.0,0.0036435,0.0147351,298,2
2000.0,0.0069927,0.0203294,298,2
5000.0,0.0173641,0.0321737,298,2
10000.0,0.0351224,0.0454196,298,2
20000.0,0.0673549,0.0626223,298,2
50000.0,0.1690613,0.0982413,298,2
100000.0,0.3237516,0.1201757,298,2
100.0,0.0002708,0.004069,323,2
200.0,0.0004297,0.0050107,323,2
500.0,0.0010477,0.007827199999999998,323,2
1000.0,0.0022191,0.0113647,323,2
2000.0,0.0046147,0.0164447,323,2
5000.0,0.0115309,0.0260006,323,2
10000.0,0.0226969,0.0368018,323,2
20000.0,0.0444742,0.050715,323,2
50000.0,0.1111679,0.08068599999999998,323,2
100000.0,0.213578,0.1088135,323,2
100.0,0.0005344,0.004868,273,8
200.0,0.0012228,0.007404499999999999,273,8
500.0,0.0031962,0.0117761,273,8
1000.0,0.0063084,0.0164517,273,8
2000.0,0.0133211,0.0240561,273,8
5000.0,0.0325797,0.0377688,273,8
10000.0,0.0633141,0.0521683,273,8
20000.0,0.1252508,0.0721715,273,8
50000.0,0.3037108,0.1027062,273,8
100000.0,0.5706347,0.1348937,273,8
100.0,0.000362,0.0039812,298,8
200.0,0.0007504999999999999,0.0058083,298,8
500.0,0.002066,0.0096527,298,8
1000.0,0.0038848,0.013292,298,8
2000.0,0.0076505,0.0182482,298,8
5000.0,0.0191328,0.029048,298,8
10000.0,0.0383275,0.041385,298,8
20000.0,0.0743241,0.0566393,298,8
50000.0,0.1860489,0.08843479999999998,298,8
100000.0,0.3574938,0.1093813,298,8
100.0,0.0002251,0.0031446,323,8
200.0,0.0005386,0.0048863,323,8
500.0,0.0011964,0.0072224,323,8
1000.0,0.0025031,0.0103987,323,8
2000.0,0.00509,0.0150748,323,8
5000.0,0.0123255,0.0230257,323,8
10000.0,0.0249248,0.0331132,323,8
20000.0,0.0495979,0.0458958,323,8
50000.0,0.1226595,0.0733997,323,8
100000.0,0.2372667,0.0991632,323,8
100.0,0.0005607,0.0049433,273,4
200.0,0.0011484,0.0071096,273,4
500.0,0.0026797,0.0108688,273,4
1000.0,0.0058935,0.0162369,273,4
2000.0,0.0111336,0.0220816,273,4
5000.0,0.0272123,0.0345814,273,4
10000.0,0.0552001,0.0490537,273,4
20000.0,0.1083253,0.0688516,273,4
50000.0,0.2600151,0.0920718,273,4
100000.0,0.4974423,0.1214113,273,4
100.0,0.0004061,0.0042148,298,4
200.0,0.0007548999999999999,0.0057572,298,4
500.0,0.0017923,0.008998799999999998,298,4
1000.0,0.0033065,0.0120001,298,4
2000.0,0.0066042,0.0168808,298,4
5000.0,0.0164444,0.0266688,298,4
10000.0,0.0337142,0.0386539,298,4
20000.0,0.0661571,0.0535896,298,4
50000.0,0.1627219,0.08356769999999998,298,4
100000.0,0.3154668,0.1074859,298,4
100.0,0.0002605,0.0034381,323,4
200.0,0.0005651,0.0050404,323,4
500.0,0.0010639,0.0068275,323,4
1000.0,0.0022338,0.0099146,323,4
2000.0,0.0042689,0.0136602,323,4
5000.0,0.010777,0.021688,323,4
10000.0,0.0218213,0.030983,323,4
20000.0,0.0430555,0.0437087,323,4
50000.0,0.1066477,0.0684434,323,4
100000.0,0.2077949,0.0925776,323,4
100.0,0.0009182,0.0063002,273,7
200.0,0.0017756,0.008718399999999998,273,7
500.0,0.0043395,0.0138506,273,7
1000.0,0.008890999999999998,0.0197938,273,7
2000.0,0.0175348,0.0277253,273,7
5000.0,0.0435897,0.0439832,273,7
10000.0,0.0848926,0.0611588,273,7
20000.0,0.1707741,0.07382379999999998,273,7
50000.0,0.3982934,0.1106599,273,7
100000.0,0.7179835,0.1377306,273,7
100.0,0.0005783,0.0050582,298,7
200.0,0.0010463,0.0067441,298,7
500.0,0.0023971,0.0103674,298,7
1000.0,0.0050282,0.0150049,298,7
2000.0,0.010361,0.0214558,298,7
5000.0,0.0246148,0.0326033,298,7
10000.0,0.0490594,0.0459311,298,7
20000.0,0.0961454,0.063276,298,7
50000.0,0.2370592,0.0900839,298,7
100000.0,0.4506726,0.1168277,298,7
100.0,0.0003311,0.0038088,323,7
200.0,0.0006578,0.0054208,323,7
500.0,0.0016386,0.008553599999999998,323,7
1000.0,0.0031917,0.0117525,323,7
2000.0,0.0064541,0.0166487,323,7
5000.0,0.0152789,0.0262998,323,7
10000.0,0.0306417,0.0368169,323,7
20000.0,0.0604314,0.0515358,323,7
50000.0,0.1514029,0.0797912,323,7
100000.0,0.283276,0.0985562,323,7
100.0,0.0006798,0.0054717,273,3
200.0,0.0015098,0.0081676,273,3
500.0,0.0036111,0.0124636,273,3
1000.0,0.007239899999999999,0.0178834,273,3
2000.0,0.0142503,0.0253599,273,3
5000.0,0.0353963,0.039642,273,3
10000.0,0.0702185,0.0548724,273,3
20000.0,0.1380002,0.0772027,273,3
50000.0,0.3293596,0.1024229,273,3
100000.0,0.6227251,0.1395121,273,3
100.0,0.0003532,0.003982,298,3
200.0,0.0009403,0.0064044,298,3
500.0,0.0019611,0.0092864,298,3
1000.0,0.0040967,0.0136487,298,3
2000.0,0.0084275,0.0194471,298,3
5000.0,0.0210223,0.0304009,298,3
10000.0,0.0406098,0.0421145,298,3
20000.0,0.0810078,0.0593098,298,3
50000.0,0.1984757,0.0809068,298,3
100000.0,0.3800965,0.1089518,298,3
100.0,0.0003267,0.0037835,323,3
200.0,0.0005607,0.0049826,323,3
500.0,0.001395,0.0078477,323,3
1000.0,0.0026752,0.0108609,323,3
2000.0,0.0053461,0.0152693,323,3
5000.0,0.0128111,0.023789,323,3
10000.0,0.0256616,0.0336773,323,3
20000.0,0.052388,0.0475393,323,3
50000.0,0.129171,0.07417469999999998,323,3
100000.0,0.2502177,0.090398,323,3
