Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006772,0.0052593,273,5
200.0,0.0011151,0.0067055,273,5
500.0,0.0028872,0.010921,273,5
1000.0,0.0059042,0.0154839,273,5
2000.0,0.0115894,0.0213622,273,5
5000.0,0.0289615,0.0340801,273,5
10000.0,0.056901,0.0483021,273,5
20000.0,0.1114044,0.0671278,273,5
50000.0,0.2741242,0.0940327,273,5
100000.0,0.5371311,0.1263992,273,5
100.0,0.0004298,0.0041528,298,5
200.0,0.0007259,0.0054675,298,5
500.0,0.0018005,0.0084506,298,5
1000.0,0.0034729,0.0118024,298,5
2000.0,0.0068004,0.0167086,298,5
5000.0,0.017368,0.0263506,298,5
10000.0,0.0343263,0.0368799,298,5
20000.0,0.0704856,0.0541603,298,5
50000.0,0.1724154,0.0711655,298,5
100000.0,0.3332352,0.098127,298,5
100.0,0.0001622,0.0025595,323,5
200.0,0.0004704,0.0043798,323,5
500.0,0.0011314,0.0067272,323,5
1000.0,0.0021776,0.0094071,323,5
2000.0,0.0044565,0.0135601,323,5
5000.0,0.0114272,0.0214494,323,5
10000.0,0.0224814,0.0303953,323,5
20000.0,0.0451129,0.0423489,323,5
50000.0,0.1138953,0.0667023,323,5
100000.0,0.2253739,0.08338569999999998,323,5
100.0,0.0005718,0.0047811,273,1
200.0,0.0012409,0.007147,273,1
500.0,0.0028872,0.0107388,273,1
1000.0,0.0058555,0.0152349,273,1
2000.0,0.0114962,0.021577,273,1
5000.0,0.029225,0.0348335,273,1
10000.0,0.058442,0.0493447,273,1
20000.0,0.1169262,0.0686012,273,1
50000.0,0.2853933,0.0956315,273,1
100000.0,0.5584707,0.122858,273,1
100.0,0.0003893,0.003954,298,1
200.0,0.0007096,0.0053787,298,1
500.0,0.0017738,0.008567,298,1
1000.0,0.0036293,0.0121713,298,1
2000.0,0.0074127,0.0173179,298,1
5000.0,0.0177856,0.0266475,298,1
10000.0,0.0355672,0.0379145,298,1
20000.0,0.0726348,0.054613,298,1
50000.0,0.1779942,0.07371759999999998,298,1
100000.0,0.3502146,0.1007242,298,1
100.0,0.0002555,0.0032085,323,1
200.0,0.000515,0.0046126,323,1
500.0,0.0012496,0.007216099999999999,323,1
1000.0,0.0025385,0.0100548,323,1
2000.0,0.0049148,0.0140068,323,1
5000.0,0.0118165,0.0220653,323,1
10000.0,0.0236324,0.0308422,323,1
20000.0,0.0486489,0.0442234,323,1
50000.0,0.119682,0.0691989,323,1
100000.0,0.234587,0.0865501,323,1
100.0,0.0005069,0.0045053,273,6
200.0,0.0010584,0.0065911,273,6
500.0,0.0027331,0.0104064,273,6
1000.0,0.0051459,0.0145191,273,6
2000.0,0.0104946,0.020646,273,6
5000.0,0.0260864,0.0326797,273,6
10000.0,0.0515078,0.0457056,273,6
20000.0,0.1021315,0.0639453,273,6
50000.0,0.2523362,0.09086350000000001,273,6
100000.0,0.4924057,0.1186851,273,6
100.0,0.0003041,0.0034986,298,6
200.0,0.0006569,0.0051513,298,6
500.0,0.001618,0.0079987,298,6
1000.0,0.0033106,0.0115395,298,6
2000.0,0.0061556,0.0158178,298,6
5000.0,0.0161514,0.0253713,298,6
10000.0,0.0313823,0.0357626,298,6
20000.0,0.064038,0.0505234,298,6
50000.0,0.1595111,0.07807279999999998,298,6
100000.0,0.3141428,0.1011816,298,6
100.0,0.0001946,0.0028027,323,6
200.0,0.0004055,0.0040348,323,6
500.0,0.0011395,0.0067988,323,6
1000.0,0.0022384,0.0094539,323,6
2000.0,0.0043795,0.0133717,323,6
5000.0,0.0108393,0.0209633,323,6
10000.0,0.0215812,0.0296594,323,6
20000.0,0.0433854,0.0422083,323,6
50000.0,0.1059636,0.0657702,323,6
100000.0,0.2115342,0.0786728,323,6
100.0,0.0006245,0.0050588,273,2
200.0,0.0011111,0.0066446,273,2
500.0,0.0025993,0.010274,273,2
1000.0,0.0052919,0.0146697,273,2
2000.0,0.0109299,0.0208875,273,2
5000.0,0.0273516,0.0335361,273,2
10000.0,0.0539854,0.0476735,273,2
20000.0,0.1073626,0.0666519,273,2
50000.0,0.266014,0.0943085,273,2
100000.0,0.5154287,0.1246383,273,2
100.0,0.0003406,0.0037009,298,2
200.0,0.0007015,0.0053491,298,2
500.0,0.0015328,0.007818099999999998,298,2
1000.0,0.0033171,0.0116055,298,2
2000.0,0.0068572,0.0167934,298,2
5000.0,0.0167191,0.0259116,298,2
10000.0,0.0328989,0.0364528,298,2
20000.0,0.0678092,0.0527091,298,2
50000.0,0.165993,0.0817069,298,2
100000.0,0.3305376,0.1047962,298,2
100.0,0.0001906,0.0027735,323,2
200.0,0.0004826,0.0043972,323,2
500.0,0.0009813,0.006284,323,2
1000.0,0.0023884,0.0098857,323,2
2000.0,0.0045417,0.0134649,323,2
5000.0,0.0116503,0.0217981,323,2
10000.0,0.022376,0.030202,323,2
20000.0,0.0458469,0.0429676,323,2
50000.0,0.1107756,0.0671477,323,2
100000.0,0.218387,0.08212379999999998,323,2
100.0,0.0005434,0.0046625,273,8
200.0,0.0009854000000000002,0.0064,273,8
500.0,0.0024979,0.0100486,273,8
1000.0,0.0053487,0.0148387,273,8
2000.0,0.0099958,0.0199376,273,8
5000.0,0.0256606,0.0319701,273,8
10000.0,0.0506481,0.0452174,273,8
20000.0,0.1021518,0.0641273,273,8
50000.0,0.2449802,0.0882329,273,8
100000.0,0.4877469,0.1205669,273,8
100.0,0.0003285,0.0036348,298,8
200.0,0.0006894,0.0052421,298,8
500.0,0.0017356,0.0083861,298,8
1000.0,0.003163,0.0111729,298,8
2000.0,0.0064314,0.0161006,298,8
5000.0,0.0157743,0.0253006,298,8
10000.0,0.0323556,0.0364159,298,8
20000.0,0.0626349,0.0503421,298,8
50000.0,0.1574389,0.07954279999999998,298,8
100000.0,0.3043914,0.0992459,298,8
100.0,0.0002271,0.003026,323,8
200.0,0.0004177,0.0040942,323,8
500.0,0.001107,0.0067068,323,8
1000.0,0.0021614,0.0094632,323,8
2000.0,0.0044444,0.013424,323,8
5000.0,0.0106608,0.0208269,323,8
10000.0,0.0209283,0.0288892,323,8
20000.0,0.0423838,0.041737,323,8
50000.0,0.104962,0.0637796,323,8
100000.0,0.2100537,0.0909968,323,8
100.0,0.0005312,0.0046463,273,4
200.0,0.0010787,0.0066499,273,4
500.0,0.0027088,0.0104758,273,4
1000.0,0.0053933,0.0147056,273,4
2000.0,0.010501,0.0207154,273,4
5000.0,0.0266582,0.0325729,273,4
10000.0,0.0521276,0.0454213,273,4
20000.0,0.1065597,0.0665513,273,4
50000.0,0.2603369,0.0919102,273,4
100000.0,0.5192708,0.1279021,273,4
100.0,0.0003487,0.003788,298,4
200.0,0.0006326,0.0050902,298,4
500.0,0.0015044,0.007792099999999998,298,4
1000.0,0.0033292,0.0115666,298,4
2000.0,0.0066057,0.0163196,298,4
5000.0,0.0166421,0.0262478,298,4
10000.0,0.0338803,0.0365822,298,4
20000.0,0.0667914,0.0520438,298,4
50000.0,0.1634898,0.0808244,298,4
100000.0,0.3243749,0.1018369,298,4
100.0,0.0002109,0.0029166,323,4
200.0,0.000442,0.0042879,323,4
500.0,0.0010949,0.0066965,323,4
1000.0,0.0022019,0.0094538,323,4
2000.0,0.0044484,0.0134043,323,4
5000.0,0.0109122,0.0210898,323,4
10000.0,0.0220626,0.0301119,323,4
20000.0,0.0440139,0.0421945,323,4
50000.0,0.1118742,0.0665913,323,4
100000.0,0.2171299,0.09240300000000001,323,4
100.0,0.0006448,0.0050725,273,7
200.0,0.0010908,0.0066107,273,7
500.0,0.0028183,0.0107647,273,7
1000.0,0.0059934,0.0156715,273,7
2000.0,0.0120355,0.0219016,273,7
5000.0,0.0298982,0.0349089,273,7
