Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004649,0.0049623,273,5
200.0,0.0008817,0.0068068,273,5
500.0,0.0025821,0.0117543,273,5
1000.0,0.0050335,0.0165323,273,5
2000.0,0.0103288,0.0234705,273,5
5000.0,0.0247346,0.0363124,273,5
10000.0,0.0495012,0.0512627,273,5
20000.0,0.0991733,0.0724273,273,5
50000.0,0.2447801,0.0984969,273,5
100000.0,0.4830103,0.1440402,273,5
100.0,0.0003634,0.0043913,298,5
200.0,0.0006626,0.0059131,298,5
500.0,0.0015496,0.009093,298,5
1000.0,0.0032808,0.0133082,298,5
2000.0,0.0067434,0.0189576,298,5
5000.0,0.0158004,0.0289068,298,5
10000.0,0.0324985,0.0420023,298,5
20000.0,0.0645962,0.0585305,298,5
50000.0,0.1581216,0.0915099,298,5
100000.0,0.3132187,0.1133378,298,5
100.0,0.0001643,0.0025608,323,5
200.0,0.0004889,0.0044357,323,5
500.0,0.001038,0.0064157,323,5
1000.0,0.0021761,0.0093944,323,5
2000.0,0.0046087,0.0135058,323,5
5000.0,0.0110929,0.0212204,323,5
10000.0,0.0220294,0.029961,323,5
20000.0,0.0452437,0.0422265,323,5
50000.0,0.1109648,0.0667841,323,5
100000.0,0.2201222,0.08049969999999998,323,5
100.0,0.0005664,0.0054721,273,1
200.0,0.0012717,0.008214499999999998,273,1
500.0,0.0031526,0.0128818,273,1
1000.0,0.0063747,0.018407,273,1
2000.0,0.0124875,0.0265392,273,1
5000.0,0.0316649,0.0409398,273,1
10000.0,0.0611177,0.0571048,273,1
20000.0,0.1231598,0.0802885,273,1
50000.0,0.304167,0.1141334,273,1
100000.0,0.6115467,0.1583411,273,1
100.0,0.0003847,0.0045177,298,1
200.0,0.000834,0.0068355,298,1
500.0,0.0018755,0.009949,298,1
1000.0,0.0038259,0.014185,298,1
2000.0,0.0079549,0.0205232,298,1
5000.0,0.0206201,0.0326682,298,1
10000.0,0.0396052,0.0457858,298,1
20000.0,0.0772921,0.0637979,298,1
50000.0,0.19272,0.1004559,298,1
100000.0,0.3855847,0.1286042,298,1
100.0,0.0002805,0.0033412,323,1
200.0,0.0006091,0.0049358,323,1
500.0,0.0013465,0.0073537,323,1
1000.0,0.0028494,0.0106818,323,1
2000.0,0.0054022,0.0148565,323,1
5000.0,0.0134974,0.023208,323,1
10000.0,0.0269146,0.0326646,323,1
20000.0,0.054614,0.0467001,323,1
50000.0,0.1333429,0.07252179999999998,323,1
100000.0,0.2617446,0.08883349999999998,323,1
100.0,0.0004969,0.005129,273,6
200.0,0.0010206,0.0074684,273,6
500.0,0.0025809,0.0116539,273,6
1000.0,0.0049587,0.0163815,273,6
2000.0,0.0097303,0.0230163,273,6
5000.0,0.0245155,0.0359996,273,6
10000.0,0.0489134,0.0506254,273,6
20000.0,0.0992214,0.0723279,273,6
50000.0,0.2448127,0.0985046,273,6
100000.0,0.4859117,0.1391743,273,6
100.0,0.0003582,0.0044252,298,6
200.0,0.0006305,0.0057701,298,6
500.0,0.0014916,0.0089628,298,6
1000.0,0.0031312,0.013063,298,6
2000.0,0.0064815,0.0184317,298,6
5000.0,0.0166393,0.0299626,298,6
10000.0,0.0320443,0.0414332,298,6
20000.0,0.0642756,0.058175,298,6
50000.0,0.1608039,0.0928107,298,6
100000.0,0.3157729,0.114959,298,6
100.0,0.0002351,0.0035366,323,6
200.0,0.0004435,0.0050214,323,6
500.0,0.001042,0.0075036,323,6
1000.0,0.0021854,0.0107702,323,6
2000.0,0.0047129,0.0157807,323,6
5000.0,0.0112799,0.0248532,323,6
10000.0,0.0231155,0.0353818,323,6
20000.0,0.045173,0.049069,323,6
50000.0,0.1119119,0.0769947,323,6
100000.0,0.2233056,0.1089163,323,6
100.0,0.0005985,0.0056232,273,2
200.0,0.0012076,0.0080132,273,2
500.0,0.0030778,0.0128333,273,2
1000.0,0.0061663,0.0180953,273,2
2000.0,0.0126264,0.0260822,273,2
5000.0,0.0311627,0.0409207,273,2
10000.0,0.0602093,0.0564056,273,2
20000.0,0.1238918,0.081193,273,2
50000.0,0.3088211,0.1129217,273,2
100000.0,0.6026615,0.1564401,273,2
100.0,0.0004061,0.0047016,298,2
200.0,0.0008015,0.0065388,298,2
500.0,0.0020582,0.0105843,298,2
1000.0,0.0041251,0.0146569,298,2
2000.0,0.0077319,0.0204144,298,2
5000.0,0.018953,0.0318678,298,2
10000.0,0.0401449,0.0463444,298,2
20000.0,0.07887379999999998,0.0647593,298,2
50000.0,0.1971817,0.1037447,298,2
100000.0,0.3873957,0.1261685,298,2
100.0,0.0002939,0.0039519,323,2
200.0,0.0004862,0.005074,323,2
500.0,0.0012984,0.0083312,323,2
1000.0,0.0029496,0.0126168,323,2
2000.0,0.0056587,0.0171892,323,2
5000.0,0.0134935,0.0269823,323,2
10000.0,0.0269627,0.0376616,323,2
20000.0,0.0533698,0.0526045,323,2
50000.0,0.1342152,0.0837611,323,2
100000.0,0.2630978,0.1017336,323,2
100.0,0.0004448,0.0042745,273,8
200.0,0.001074,0.0065461,273,8
500.0,0.0023885,0.0097382,273,8
1000.0,0.0046928,0.0137072,273,8
2000.0,0.009061,0.0188388,273,8
5000.0,0.0236365,0.0306344,273,8
10000.0,0.0461829,0.0426756,273,8
20000.0,0.0931753,0.0605732,273,8
50000.0,0.2294478,0.085008,273,8
100000.0,0.4524955,0.1176941,273,8
100.0,0.0002685,0.0032693,298,8
200.0,0.0006292,0.0049819,298,8
500.0,0.0017513,0.0085004,298,8
1000.0,0.0029976,0.0109021,298,8
2000.0,0.0062598,0.0160202,298,8
5000.0,0.0157857,0.0249738,298,8
10000.0,0.0305936,0.0351391,298,8
20000.0,0.0601873,0.0488199,298,8
50000.0,0.1501655,0.0769876,298,8
100000.0,0.3010826,0.0976392,298,8
100.0,0.0001964,0.0027984,323,8
200.0,0.0004088,0.0040267,323,8
500.0,0.001054,0.006463,323,8
1000.0,0.0024366,0.0099709,323,8
2000.0,0.004256,0.0131897,323,8
5000.0,0.0110488,0.0207112,323,8
10000.0,0.0211197,0.0292872,323,8
20000.0,0.0427057,0.0409204,323,8
50000.0,0.1070895,0.0651019,323,8
100000.0,0.2100513,0.08935039999999998,323,8
100.0,0.000549,0.0046585,273,4
200.0,0.0010981,0.0066154,273,4
500.0,0.0028093,0.0106321,273,4
1000.0,0.0055785,0.0149102,273,4
2000.0,0.0108619,0.0206771,273,4
5000.0,0.0288663,0.0338458,273,4
10000.0,0.0579691,0.0482828,273,4
20000.0,0.1125558,0.0665948,273,4
50000.0,0.2817422,0.0948893,273,4
100000.0,0.5565731,0.1295038,273,4
100.0,0.0003967,0.0039677,298,4
200.0,0.0007293999999999998,0.0054167,298,4
500.0,0.0017834,0.008474799999999998,298,4
1000.0,0.0038112,0.0123036,298,4
2000.0,0.007389899999999999,0.0171903,298,4
5000.0,0.018054,0.0265513,298,4
10000.0,0.0368133,0.0382919,298,4
20000.0,0.0732378,0.0545636,298,4
50000.0,0.1825475,0.0852803,298,4
100000.0,0.3646622,0.1089419,298,4
100.0,0.0001964,0.0027984,323,4
200.0,0.0004849,0.0043815,323,4
500.0,0.0013425,0.0072996,323,4
1000.0,0.0025207,0.0100543,323,4
2000.0,0.0052539,0.0145,323,4
5000.0,0.0128121,0.0227087,323,4
10000.0,0.0261272,0.0323231,323,4
20000.0,0.0520179,0.045425,323,4
50000.0,0.1275039,0.0711519,323,4
100000.0,0.2496778,0.100187,323,4
100.0,0.0005009,0.004524,273,7
200.0,0.001054,0.0064878,273,7
500.0,0.0027732,0.0104666,273,7
1000.0,0.0057869,0.0150775,273,7
2000.0,0.0110608,0.0208478,273,7
5000.0,0.0275078,0.0332325,273,7
10000.0,0.0532201,0.0463528,273,7
20000.0,0.1074863,0.066148,273,7
50000.0,0.2633716,0.0933558,273,7
100000.0,0.5242425,0.1249911,273,7
100.0,0.0003567,0.0038063,298,7
200.0,0.0007779,0.0057005,298,7
500.0,0.0016872,0.0082838,298,7
1000.0,0.0035988,0.0121512,298,7
2000.0,0.0071735,0.0168964,298,7
5000.0,0.0168277,0.0259404,298,7
10000.0,0.0351301,0.0374694,298,7
20000.0,0.0677555,0.0518204,298,7
50000.0,0.1713745,0.0707919,298,7
100000.0,0.3409296,0.1058624,298,7
100.0,0.0002765,0.0033174,323,7
200.0,0.0004448,0.0042368,323,7
500.0,0.0012984,0.0071857,323,7
1000.0,0.0023404,0.0097664,323,7
2000.0,0.0046968,0.0137818,323,7
5000.0,0.0117621,0.0217428,323,7
10000.0,0.0245101,0.0311802,323,7
20000.0,0.0466478,0.042678,323,7
50000.0,0.1167677,0.068025,323,7
100000.0,0.2343771,0.0851621,323,7
100.0,0.0007253999999999999,0.0054024,273,3
200.0,0.0013185,0.0072378,273,3
500.0,0.0036126,0.0120775,273,3
1000.0,0.0066806,0.0163039,273,3
2000.0,0.0137018,0.0234503,273,3
5000.0,0.0340851,0.0369193,273,3
10000.0,0.0669941,0.0520937,273,3
20000.0,0.1357472,0.0730345,273,3
50000.0,0.3338522,0.0995421,273,3
100000.0,0.6497347,0.1354218,273,3
100.0,0.0004929,0.0045249,298,3
200.0,0.0007895,0.0056266,298,3
500.0,0.0022402,0.0094305,298,3
1000.0,0.0042921,0.0131841,298,3
2000.0,0.0087284,0.0185633,298,3
5000.0,0.021809,0.0298245,298,3
10000.0,0.041999,0.0407529,298,3
20000.0,0.08593259999999998,0.0583845,298,3
50000.0,0.2090815,0.0795184,298,3
100000.0,0.412474,0.1111245,298,3
100.0,0.0003847,0.0039077,323,3
200.0,0.0006051,0.0048872,323,3
500.0,0.0014507,0.0076343,323,3
1000.0,0.0027973,0.0106278,323,3
2000.0,0.0056494,0.0149899,323,3
5000.0,0.0145474,0.0242392,323,3
10000.0,0.0289344,0.0338564,323,3
20000.0,0.0569712,0.0467914,323,3
50000.0,0.1400596,0.07432859999999998,323,3
100000.0,0.2791854,0.0942933,323,3
