Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0,0.0,273,5
200.0,3.3e-06,0.0003299,273,5
500.0,6.6e-06,0.0004665,273,5
1000.0,9.9e-06,0.0005713,273,5
2000.0,3.3e-05,0.0010426,273,5
5000.0,0.0001188,0.0019756,273,5
10000.0,0.0003101,0.0031831,273,5
20000.0,0.0006103,0.0044937,273,5
50000.0,0.0014844,0.0060082,273,5
100000.0,0.003236,0.0086029,273,5
100.0,0.0,0.0,298,5
200.0,0.0,0.0,298,5
500.0,6.6e-06,0.0004665,298,5
1000.0,1.32e-05,0.0006596,298,5
2000.0,4.29e-05,0.0011886,298,5
5000.0,6.6e-05,0.0014737,298,5
10000.0,0.0001286,0.002056,298,5
20000.0,0.0002639,0.0029386,298,5
50000.0,0.0008214,0.0052031,298,5
100000.0,0.0013492,0.0066489,298,5
100.0,0.0,0.0,323,5
200.0,0.0,0.0,323,5
500.0,4.9e-06,0.0003498,323,5
1000.0,9.9e-06,0.0004947,323,5
2000.0,2.97e-05,0.0008564999999999998,323,5
5000.0,1.98e-05,0.0006995,323,5
10000.0,8.66e-05,0.0014611,323,5
20000.0,0.0001534,0.001942,323,5
50000.0,0.0004948,0.0034812,323,5
100000.0,0.0006779,0.0040989,323,5
100.0,6.6e-06,0.0004665,273,1
200.0,1.32e-05,0.0006596,273,1
500.0,4.95e-05,0.0013592,273,1
1000.0,0.0001418,0.0021584,273,1
2000.0,0.0001517,0.0022321,273,1
5000.0,0.0005082,0.0040629,273,1
10000.0,0.0010259,0.0058016,273,1
20000.0,0.0020518,0.008248699999999998,273,1
50000.0,0.0057529,0.0120989,273,1
100000.0,0.0099983,0.0148936,273,1
100.0,9.9e-06,0.0005713,298,1
200.0,9.9e-06,0.0005713,298,1
500.0,4.95e-05,0.0012766,298,1
1000.0,4.95e-05,0.0012766,298,1
2000.0,7.92e-05,0.0016141,298,1
5000.0,0.0002936,0.003133,298,1
10000.0,0.0005443,0.0042021,298,1
20000.0,0.0009868,0.0057154,298,1
50000.0,0.0026785,0.0079241,298,1
100000.0,0.0050635,0.0115542,298,1
100.0,4.9e-06,0.0003498,323,1
200.0,7.4e-06,0.0004284,323,1
500.0,1.48e-05,0.0006058,323,1
1000.0,2.23e-05,0.0007419,323,1
2000.0,4.7e-05,0.0010774,323,1
5000.0,0.0001237,0.001745,323,1
10000.0,0.0002499,0.0024984,323,1
20000.0,0.000569,0.0037086,323,1
50000.0,0.0014102,0.0060272,323,1
100000.0,0.0026818,0.0068984,323,1
100.0,6.6e-06,0.0004665,273,6
200.0,3.3e-06,0.0003299,273,6
500.0,0.0,0.0,273,6
1000.0,1.98e-05,0.0008078,273,6
2000.0,4.29e-05,0.0011886,273,6
5000.0,8.25e-05,0.0016473,273,6
10000.0,0.0002177,0.002671,273,6
20000.0,0.0004156,0.0037088,273,6
50000.0,0.0009203,0.005512,273,6
100000.0,0.0020188,0.007125,273,6
100.0,0.0,0.0,298,6
200.0,0.0,0.0,298,6
500.0,0.0,0.0,298,6
1000.0,6.6e-06,0.0004665,298,6
2000.0,3.3e-05,0.0010426,298,6
5000.0,5.28e-05,0.0013184,298,6
10000.0,0.0001188,0.0019756,298,6
20000.0,0.0001847,0.0024616,298,6
50000.0,0.0004915,0.0040773,298,6
100000.0,0.0009302,0.0055202,298,6
100.0,0.0,0.0,323,6
200.0,0.0,0.0,323,6
500.0,0.0,0.0,323,6
1000.0,3.3e-06,0.0003299,323,6
2000.0,2.31e-05,0.0008723999999999998,323,6
5000.0,3.3e-05,0.0010426,323,6
10000.0,4.95e-05,0.0012766,323,6
20000.0,7.92e-05,0.0016141,323,6
50000.0,0.000287,0.0030987,323,6
100000.0,0.0005509,0.0042783,323,6
100.0,6.6e-06,0.0004665,273,2
200.0,2.97e-05,0.0009892,273,2
500.0,3.63e-05,0.0010934,273,2
1000.0,0.0001155,0.0019481,273,2
2000.0,0.0002573,0.0029019,273,2
5000.0,0.000607,0.0044577,273,2
10000.0,0.0010825,0.0059137,273,2
20000.0,0.0019693,0.0080487,273,2
50000.0,0.005136,0.0115786,273,2
100000.0,0.0099356,0.0155851,273,2
100.0,3.3e-06,0.0003299,298,2
200.0,6.6e-06,0.0004665,298,2
500.0,1.65e-05,0.0007374,298,2
1000.0,3.63e-05,0.0010934,298,2
2000.0,0.0001122,0.0019202,298,2
5000.0,0.0002177,0.0027513,298,2
10000.0,0.0004882,0.0040375,298,2
20000.0,0.0009764,0.0056871,298,2
50000.0,0.0021573,0.0084179,298,2
100000.0,0.0051756,0.0116127,298,2
100.0,3.3e-06,0.0003299,323,2
200.0,3.3e-06,0.0003299,323,2
500.0,3.3e-06,0.0003299,323,2
1000.0,2.64e-05,0.0009326,323,2
2000.0,3.96e-05,0.001142,323,2
5000.0,0.0001385,0.0021837,323,2
10000.0,0.0002309,0.0027502,323,2
20000.0,0.0005113,0.0041015,323,2
50000.0,0.0011842,0.0061898,323,2
100000.0,0.0024707,0.008893599999999998,323,2
100.0,0.0,0.0,273,8
200.0,0.0,0.0,273,8
500.0,0.0,0.0,273,8
1000.0,2.5e-06,0.0002474,273,8
2000.0,0.0,0.0,273,8
5000.0,4.9e-06,0.0003498,273,8
10000.0,2.47e-05,0.000782,273,8
20000.0,2.23e-05,0.0007419,273,8
50000.0,6.93e-05,0.0013073,273,8
100000.0,0.0001212,0.0017276,273,8
100.0,0.0,0.0,298,8
200.0,0.0,0.0,298,8
500.0,0.0,0.0,298,8
1000.0,2.5e-06,0.0002474,298,8
2000.0,2.5e-06,0.0002474,298,8
5000.0,7.4e-06,0.0004284,298,8
10000.0,1.24e-05,0.0005531,298,8
20000.0,1.48e-05,0.0006058,298,8
50000.0,3.22e-05,0.0008914,298,8
100000.0,9.4e-05,0.0015222,298,8
100.0,0.0,0.0,323,8
200.0,0.0,0.0,323,8
500.0,0.0,0.0,323,8
1000.0,0.0,0.0,323,8
2000.0,2.5270786516853933e-06,2.5269495841068885e-06,323,8
5000.0,2.479216354344123e-06,2.479092129548637e-06,323,8
10000.0,4.958432708688246e-06,3.505790022785916e-06,323,8
20000.0,1.4875298126064736e-05,6.070989077161896e-06,323,8
50000.0,2.2312947189097103e-05,7.43429432100853e-06,323,8
100000.0,7.189727427597957e-05,1.3747283112891392e-05,323,8
100.0,0.0,0.0,273,4
200.0,2.5e-06,0.0002474,273,4
500.0,0.0,0.0,273,4
1000.0,7.4e-06,0.0004284,273,4
2000.0,1.73e-05,0.0006543,273,4
5000.0,4.95e-05,0.0011053,273,4
10000.0,3.46e-05,0.000925,273,4
20000.0,0.0001212,0.0017276,273,4
50000.0,0.0003142,0.0027703,273,4
100000.0,0.0006535,0.0040134,273,4
100.0,0.0,0.0,298,4
200.0,2.5e-06,0.0002474,298,4
500.0,0.0,0.0,298,4
1000.0,7.4e-06,0.0004284,298,4
2000.0,2.5e-06,0.0002474,298,4
5000.0,1.98e-05,0.0006995,298,4
10000.0,4.21e-05,0.0010192,298,4
20000.0,8.409999999999998e-05,0.0014401,298,4
50000.0,0.0001806,0.0021349,298,4
100000.0,0.0004305,0.0032538,298,4
100.0,0.0,0.0,323,4
200.0,0.0,0.0,323,4
500.0,0.0,0.0,323,4
1000.0,9.916865417376494e-06,4.957438835615787e-06,323,4
2000.0,4.958432708688246e-06,3.5057900227859153e-06,323,4
5000.0,1.735451448040886e-05,6.557088898552516e-06,323,4
10000.0,3.4709028960817715e-05,9.269868772049555e-06,323,4
20000.0,4.710511073253833e-05,1.079636072052944e-05,323,4
50000.0,0.00012644003407155028,1.7659845065572025e-05,323,4
100000.0,0.0002404839863713799,2.431290649881268e-05,323,4
100.0,0.0,0.0,273,7
200.0,0.0,0.0,273,7
500.0,2.5e-06,0.0002474,273,7
1000.0,0.0,0.0,273,7
2000.0,0.0,0.0,273,7
5000.0,3.71e-05,0.0009575,273,7
10000.0,3.22e-05,0.0008914,273,7
20000.0,0.0001064,0.0016188,273,7
50000.0,0.0002276,0.002362,273,7
100000.0,0.0004057,0.0031809,273,7
100.0,0.0,0.0,298,7
200.0,0.0,0.0,298,7
500.0,0.0,0.0,298,7
1000.0,9.9e-06,0.0004947,298,7
2000.0,0.0,0.0,298,7
5000.0,4.9e-06,0.0003498,298,7
10000.0,2.72e-05,0.0008201,298,7
20000.0,4.21e-05,0.0010192,298,7
50000.0,0.0001633,0.0020033,298,7
100000.0,0.0003142,0.0027923,298,7
100.0,0.0,0.0,323,7
200.0,0.0,0.0,323,7
500.0,2.5e-06,0.0002474,323,7
1000.0,2.5e-06,0.0002474,323,7
2000.0,0.0,0.0,323,7
5000.0,1.48e-05,0.0006058,323,7
