Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0158172,0.0194105,273,5
200.0,0.0352772,0.0277239,273,5
500.0,0.0818581,0.0404026,273,5
1000.0,0.1601433,0.0558898,273,5
2000.0,0.3146807,0.08183319999999998,273,5
5000.0,0.7422567,0.1069016,273,5
10000.0,1.3211083,0.1590315,273,5
20000.0,2.4412816,0.2145032,273,5
50000.0,5.1123212,0.3063649,273,5
100000.0,8.1908702,0.3318538,273,5
1000000.0,13.8505497,0.1828129,273,5
100.0,0.0060092,0.0141211,298,5
200.0,0.0116959,0.0161605,298,5
500.0,0.0303515,0.0259385,298,5
1000.0,0.0595132,0.035366,298,5
2000.0,0.1182786,0.0488264,298,5
5000.0,0.2967452,0.07943939999999998,298,5
10000.0,0.5462547,0.0984833,298,5
20000.0,1.0427114,0.1391705,298,5
50000.0,2.4471374,0.2220614,298,5
100000.0,4.3605722,0.2856785,298,5
1000000.0,11.9373895,0.2113923,298,5
100.0,0.0026523,0.0092486,323,5
200.0,0.0052215,0.0131786,323,5
500.0,0.0131284,0.0207874,323,5
1000.0,0.0254259,0.024457,323,5
2000.0,0.052846,0.0357319,323,5
5000.0,0.1295458,0.0531076,323,5
10000.0,0.2641351,0.075755,323,5
20000.0,0.5138988,0.1025048,323,5
50000.0,1.2319742,0.1622063,323,5
100000.0,2.309189,0.2260678,323,5
1000000.0,9.7265197,0.2537155,323,5
100.0,0.0193769,0.0201763,273,1
200.0,0.0416486,0.029084,273,1
500.0,0.1039504,0.0439616,273,1
1000.0,0.2019548,0.0626678,273,1
2000.0,0.3844363,0.0790232,273,1
5000.0,0.8912645999999999,0.1219934,273,1
10000.0,1.6220996,0.1795507,273,1
20000.0,2.9440023,0.2441111,273,1
50000.0,6.2427605,0.3507688,273,1
100000.0,9.5726753,0.3090543,273,1
1000000.0,14.5218636,0.1775083,273,1
100.0,0.007793999999999998,0.0132054,298,1
200.0,0.0148467,0.0181103,298,1
500.0,0.0380857,0.0287634,298,1
1000.0,0.07432669999999998,0.0397311,298,1
2000.0,0.1434686,0.0551087,298,1
5000.0,0.3578638,0.0839464,298,1
10000.0,0.6479351,0.1071292,298,1
20000.0,1.2708943,0.1686873,298,1
50000.0,2.9133332,0.2423748,298,1
100000.0,5.2074882,0.3307602,298,1
1000000.0,12.7331854,0.2053071,298,1
100.0,0.0034267,0.0106497,323,1
200.0,0.0065011,0.0145233,323,1
500.0,0.0159136,0.0228427,323,1
1000.0,0.0320693,0.0269476,323,1
2000.0,0.0648643,0.0385952,323,1
5000.0,0.1586875,0.0592808,323,1
10000.0,0.313198,0.0839289,323,1
20000.0,0.5978211,0.1103427,323,1
50000.0,1.4355216,0.176951,323,1
100000.0,2.7120664,0.2587489,323,1
1000000.0,10.5744939,0.2554198,323,1
100.0,0.0058895,0.0139751,273,6
200.0,0.0109282,0.0191994,273,6
500.0,0.0281779,0.0307008,273,6
1000.0,0.0581173,0.0380829,273,6
2000.0,0.1153096,0.0553997,273,6
5000.0,0.2907585,0.0833875,273,6
10000.0,0.5901768,0.1138109,273,6
20000.0,1.1545712,0.1788725,273,6
50000.0,3.1648683,0.2852429,273,6
100000.0,6.3567508,0.3488957,273,6
1000000.0,13.4080826,0.1912557,273,6
100.0,0.0024628,0.0090784,298,6
200.0,0.0054242,0.013376,298,6
500.0,0.0127562,0.0204099,298,6
1000.0,0.0266324,0.0294929,298,6
2000.0,0.0524671,0.0418413,298,6
5000.0,0.1330423,0.059464,298,6
10000.0,0.2621593,0.08224579999999998,298,6
20000.0,0.5361574,0.1120804,298,6
50000.0,1.3247533,0.1808201,298,6
100000.0,2.8138505,0.2701825,298,6
1000000.0,11.2298462,0.2268417,298,6
100.0,0.001243,0.0063412,323,6
200.0,0.0028052,0.0098077,323,6
500.0,0.0065775,0.014742,323,6
1000.0,0.0138463,0.0212569,323,6
2000.0,0.0270013,0.0301703,323,6
5000.0,0.0699162,0.0480778,323,6
10000.0,0.1381234,0.0606178,323,6
20000.0,0.2783355,0.08364679999999998,323,6
50000.0,0.6874067,0.1254471,323,6
100000.0,1.3901076,0.1958707,323,6
1000000.0,8.8356425,0.2797606,323,6
100.0,0.006737,0.0150636,273,2
200.0,0.0139228,0.0212771,273,2
500.0,0.0350279,0.0341543,273,2
1000.0,0.069411,0.0410344,273,2
2000.0,0.1405271,0.0579901,273,2
5000.0,0.3537823,0.0933015,273,2
10000.0,0.6863498,0.1272331,273,2
20000.0,1.4665199,0.1948727,273,2
50000.0,4.1107552,0.314589,273,2
100000.0,7.8759332,0.3653012,273,2
1000000.0,14.1923024,0.1621222,273,2
100.0,0.0032638,0.0104342,298,2
200.0,0.0065343,0.0145312,298,2
500.0,0.0156079,0.0227585,298,2
1000.0,0.0308933,0.0318677,298,2
2000.0,0.0651003,0.0463836,298,2
5000.0,0.1573647,0.0657752,298,2
10000.0,0.3211285,0.0897658,298,2
20000.0,0.6538624,0.1235718,298,2
50000.0,1.6745182,0.2075848,298,2
100000.0,3.509745,0.3021809,298,2
1000000.0,12.0743001,0.2254076,298,2
100.0,0.0017316,0.007577999999999999,323,2
200.0,0.0031143,0.0102183,323,2
500.0,0.0083058,0.0166133,323,2
1000.0,0.0163672,0.0234327,323,2
2000.0,0.0328842,0.0329944,323,2
5000.0,0.0818635,0.0527729,323,2
10000.0,0.1661392,0.0673311,323,2
20000.0,0.3371873,0.0923317,323,2
50000.0,0.8172351,0.1370122,323,2
100000.0,1.6937347,0.2224583,323,2
1000000.0,9.7980657,0.2818772,323,2
100.0,0.0035796,0.010775,273,8
200.0,0.0065209,0.0145909,273,8
500.0,0.0168243,0.0236554,273,8
1000.0,0.0348817,0.0342037,273,8
2000.0,0.0687297,0.0482775,273,8
5000.0,0.1716996,0.0678541,273,8
10000.0,0.3483847,0.0937579,273,8
20000.0,0.6981455,0.1323428,273,8
50000.0,1.9115616,0.2472007,273,8
100000.0,4.3622531,0.3470262,273,8
1000000.0,12.7527309,0.1957162,273,8
100.0,0.0016984,0.0075124,298,8
200.0,0.0034001,0.0106686,298,8
500.0,0.008472,0.0167812,298,8
1000.0,0.017283,0.0240454,298,8
2000.0,0.0342768,0.0333678,298,8
5000.0,0.0868402,0.0538951,298,8
10000.0,0.1726966,0.0672555,298,8
20000.0,0.3499103,0.0937106,298,8
50000.0,0.8820574,0.1500366,298,8
100000.0,1.8704609,0.2294013,298,8
1000000.0,10.5440798,0.2484283,298,8
100.0,0.0010137,0.0058301,323,8
200.0,0.0021172,0.0083715,323,8
500.0,0.0053012,0.0132721,323,8
1000.0,0.0098828,0.0182219,323,8
2000.0,0.0193702,0.0250345,323,8
5000.0,0.0495257,0.0410535,323,8
10000.0,0.0987688,0.057403,323,8
20000.0,0.1960221,0.0817587,323,8
50000.0,0.4990556,0.1308321,323,8
100000.0,0.9829554,0.1878665,323,8
1000000.0,7.9161002,0.3823017,323,8
100.0,0.0041546,0.0118806,273,4
200.0,0.0084022,0.0166678,273,4
500.0,0.020251,0.0258744,273,4
1000.0,0.0418447,0.037069,273,4
2000.0,0.0849125,0.0539762,273,4
5000.0,0.2131787,0.07863359999999998,273,4
10000.0,0.429108,0.1082576,273,4
20000.0,0.8626943999999999,0.1488034,273,4
50000.0,2.4745679,0.2657802,273,4
100000.0,5.7537852,0.392012,273,4
1000000.0,13.5872764,0.180856,273,4
100.0,0.0021836,0.008653199999999998,298,4
200.0,0.0042642,0.0118557,298,4
500.0,0.0105526,0.0188921,298,4
1000.0,0.0206498,0.02613,298,4
2000.0,0.0418713,0.0368476,298,4
5000.0,0.1030563,0.0583275,298,4
10000.0,0.2109187,0.0752348,298,4
20000.0,0.4230405,0.1059129,298,4
50000.0,1.0860189,0.1777917,298,4
100000.0,2.3367908,0.2466257,298,4
1000000.0,11.3760591,0.2398282,298,4
100.0,0.0012098,0.0063128,323,4
200.0,0.0025592,0.0091669,323,4
500.0,0.0056668,0.0139763,323,4
1000.0,0.0117284,0.0196746,323,4
2000.0,0.0234184,0.0278421,323,4
5000.0,0.0595531,0.0450872,323,4
10000.0,0.1182713,0.063356,323,4
20000.0,0.2397613,0.0898879,323,4
50000.0,0.5913467,0.1422959,323,4
100000.0,1.2140553,0.2080243,323,4
1000000.0,8.8386942,0.3953768,323,4
100.0,0.1234407,0.0538393,273,7
200.0,0.2580646,0.0623997,273,7
500.0,0.6467419,0.128078,273,7
1000.0,1.070455,0.1363526,273,7
2000.0,1.938878,0.1961285,273,7
5000.0,3.4644042,0.1997336,273,7
10000.0,4.9039684,0.2433271,273,7
20000.0,6.5164836,0.2331695,273,7
50000.0,8.837097099999998,0.2465716,273,7
100000.0,10.9401105,0.24463,273,7
1000000.0,15.4494259,0.1938902,273,7
100.0,0.0371152,0.0289072,298,7
200.0,0.0683209,0.0388189,298,7
500.0,0.1654371,0.0570612,298,7
1000.0,0.3391417,0.0895239,298,7
2000.0,0.612322,0.1086992,298,7
5000.0,1.3461358,0.171387,298,7
10000.0,2.4090837,0.1749204,298,7
20000.0,3.8436924,0.2149151,298,7
50000.0,6.03989,0.2361798,298,7
100000.0,7.8994462,0.2492866,298,7
1000000.0,13.4520697,0.1767164,298,7
100.0,0.0108484,0.015733,323,7
200.0,0.0221222,0.0219329,323,7
500.0,0.0525302,0.0330043,323,7
1000.0,0.1178731,0.0528677,323,7
2000.0,0.222154,0.066754,323,7
5000.0,0.5714901,0.0994917,323,7
10000.0,0.979782,0.1327432,323,7
20000.0,1.809935,0.1670963,323,7
50000.0,3.5431622,0.2047514,323,7
100000.0,5.3887996,0.2392311,323,7
1000000.0,11.4181472,0.2289484,323,7
100.0,0.1713354,0.0581926,273,3
200.0,0.3993462,0.0783819,273,3
500.0,0.7574528,0.12041,273,3
1000.0,1.3382121,0.1474875,273,3
2000.0,2.345263,0.1717923,273,3
5000.0,4.0652416,0.198477,273,3
10000.0,5.5885158,0.2260152,273,3
20000.0,7.2204268,0.2302328,273,3
50000.0,9.9024073,0.2763956,273,3
100000.0,12.05783,0.2718198,273,3
1000000.0,16.3429416,0.1644529,273,3
100.0,0.0486383,0.0323928,298,3
200.0,0.0949262,0.0459332,298,3
500.0,0.2096623,0.0624296,298,3
1000.0,0.4761611,0.1066661,298,3
2000.0,0.8429866999999999,0.1090688,298,3
5000.0,1.722793,0.1750904,298,3
10000.0,2.894993,0.1988739,298,3
20000.0,4.3695905,0.2239747,298,3
50000.0,6.7697496,0.2478786,298,3
100000.0,8.696167,0.2456308,298,3
1000000.0,14.3175338,0.2017662,298,3
100.0,0.0155414,0.0189813,323,3
200.0,0.0287263,0.0247252,323,3
500.0,0.077534,0.0414748,323,3
1000.0,0.1485271,0.0590089,323,3
2000.0,0.2838295,0.0709973,323,3
5000.0,0.6668609,0.1100795,323,3
10000.0,1.164435,0.1526428,323,3
20000.0,2.2668278,0.1802465,323,3
50000.0,4.1674054,0.2264873,323,3
100000.0,6.0763205,0.250594,323,3
1000000.0,12.2325522,0.2238951,323,3
