,DDEC,EQeq,Qeq
0,1.676413,2.40000,6.55064
1,1.67672,2.40000,6.55064
2,1.676636,2.39900,6.55064
3,1.675714,2.40000,6.55064
4,1.676413,2.40000,6.55064
5,1.67672,2.40000,6.55064
6,1.676636,2.40000,6.55064
7,1.675714,2.40100,6.55064
8,1.907024,2.34300,5.41239
9,1.907025,2.33700,5.41239
10,2.009367,2.39100,5.41239
11,2.009367,2.39300,5.41239
12,1.889823,2.39500,7.20834
13,1.916586,2.39600,7.20834
14,1.958268,2.39600,7.20834
15,1.889823,2.39700,7.20834
16,1.916585,2.39700,7.20834
17,1.958267,2.39600,7.20834
18,1.889823,2.39600,7.20834
19,1.916585,2.39700,7.20834
20,1.958267,2.39600,7.20834
21,1.889822,2.39700,7.20834
22,1.916584,2.39700,7.20834
23,1.958267,2.39600,7.20834
24,1.762553,2.38700,4.97676
25,1.762555,2.38800,4.97676
26,1.762556,2.38800,4.97676
27,1.762557,2.38700,4.97676
28,1.745759,2.36300,4.97676
29,1.745758,2.37200,4.97676
30,1.972038,2.39000,5.51219
31,1.972042,2.38700,5.51219
32,1.972038,2.39400,5.51219
33,1.972042,2.39100,5.51219
34,1.929017,2.34800,5.51219
35,1.929017,2.37500,5.51219
36,1.929016,2.36700,5.51219
37,1.929016,2.35500,5.51219
38,1.954643,2.39000,5.42908
39,2.033075,2.39200,5.42908
40,1.911647,2.38800,5.42908
41,1.954644,2.39000,5.42908
42,2.033075,2.39100,5.42908
43,1.911645,2.38700,5.42908
44,1.954642,2.39000,5.42908
45,2.033076,2.39200,5.42908
46,1.911646,2.38800,5.42908
47,1.954643,2.39000,5.42908
48,2.033075,2.39100,5.42908
49,1.911643,2.38700,5.42908
50,1.82835,2.33200,5.9529
51,1.82835,2.39700,5.9529
52,1.810501,2.35400,5.9529
53,1.810501,2.38000,5.9529
54,2.014334,2.39300,5.63682
55,1.991935,2.39000,5.63682
56,2.024245,2.39400,5.63682
57,2.014335,2.39400,5.63682
58,1.991935,2.39000,5.63682
59,2.024245,2.39400,5.63682
60,2.014335,2.39300,5.63682
61,1.991934,2.39000,5.63682
62,2.024246,2.39300,5.63682
63,2.014335,2.39300,5.63682
64,1.991934,2.39000,5.63682
65,2.024246,2.39400,5.63682
66,2.014334,2.39300,5.63682
67,1.991934,2.39000,5.63682
68,2.024245,2.39400,5.63682
69,2.014334,2.39400,5.63682
70,1.991934,2.39000,5.63682
71,2.024245,2.39400,5.63682
72,2.014334,2.39300,5.63682
73,1.991933,2.39000,5.63682
74,2.024246,2.39300,5.63682
75,2.014335,2.39300,5.63682
76,1.991933,2.39000,5.63682
77,2.024246,2.39400,5.63682
78,1.763696,2.31300,5.50973
79,1.7278,2.31900,5.50973
80,1.833838,2.40000,7.28331
81,1.833843,2.40300,7.28331
82,2.011578,2.40100,8.36324
83,2.01158,2.40100,8.36324
84,2.011582,2.40000,8.36324
85,2.011579,2.39800,8.36324
86,2.011582,2.39800,8.36324
87,2.011583,2.39800,8.36324
88,2.053728,2.40100,8.36324
89,2.053728,2.40400,8.36324
