,DDEC,EQeq,Qeq
0,1.220275,1.17700,0.447335
1,1.039776,1.22300,0.447335
2,1.220275,1.17700,0.447335
3,1.039776,1.22300,0.447335
4,1.220275,1.17700,0.447335
5,1.039776,1.22300,0.447335
6,1.220275,1.17700,0.447335
7,1.039776,1.22300,0.447335
8,1.220275,1.17400,0.447335
9,1.039776,1.22400,0.447335
10,1.220275,1.17700,0.447335
11,1.039776,1.22300,0.447335
12,1.220275,1.17400,0.447335
13,1.039776,1.22400,0.447335
14,1.220275,1.17700,0.447335
15,1.039776,1.22300,0.447335
16,1.262355,1.22500,0.500755
17,1.262355,1.22500,0.500755
18,1.262356,1.22400,0.500755
19,1.262355,1.22400,0.500755
20,1.262355,1.22400,0.500755
21,1.262356,1.22400,0.500755
22,1.262354,1.22400,0.500755
23,1.262354,1.22400,0.500755
24,1.262355,1.22400,0.500755
25,1.262354,1.22400,0.500755
26,1.262354,1.22400,0.500755
27,1.262355,1.22400,0.500755
28,1.113712,1.23500,0.500755
29,1.113712,1.23500,0.500755
30,1.113712,1.23500,0.500755
31,1.113712,1.23500,0.500755
32,0.997683,1.16800,0.407116
33,0.853062,1.18900,0.407116
34,0.997401,1.16700,0.407116
35,0.853623,1.20600,0.407116
36,0.996585,1.16100,0.407116
37,0.853105,1.19800,0.407116
38,0.996865,1.16900,0.407116
39,0.853392,1.19900,0.407116
40,0.753648,1.17600,0.407116
41,0.754536,1.19500,0.407116
42,1.045705,1.23400,0.496426
43,1.111187,1.21700,0.496426
44,1.045704,1.23400,0.496426
45,1.111186,1.21700,0.496426
46,1.045705,1.23400,0.496426
47,1.111187,1.21700,0.496426
48,1.045704,1.23400,0.496426
49,1.111186,1.21700,0.496426
50,1.041059,1.21400,0.501557
51,1.041059,1.24700,0.501557
52,1.041059,1.23300,0.501557
53,1.041059,1.23100,0.501557
54,1.041059,1.24100,0.501557
55,1.041059,1.22000,0.501557
56,1.041059,1.23400,0.501557
57,1.041059,1.23300,0.501557
58,1.099491,1.23800,0.501557
59,1.099491,1.23900,0.501557
60,1.099491,1.23900,0.501557
61,1.099491,1.23800,0.501557
62,1.085052,1.21100,0.501557
63,1.085052,1.22800,0.501557
64,1.085052,1.20700,0.501557
65,1.085052,1.22800,0.501557
66,0.918348,1.21300,0.46075
67,0.930422,1.21500,0.46075
68,0.918348,1.21300,0.46075
69,0.930422,1.21500,0.46075
70,1.110775,1.21100,0.493073
71,1.110775,1.21200,0.493073
72,1.110774,1.21100,0.493073
73,1.110774,1.21200,0.493073
74,0.994473,1.20700,0.441346
75,0.994473,1.20700,0.441346
76,0.994473,1.20900,0.441346
77,0.994473,1.20600,0.441346
78,0.994473,1.20700,0.441346
79,0.994473,1.20700,0.441346
80,0.994473,1.20600,0.441346
81,0.994473,1.20800,0.441346
82,1.122201,1.22800,0.441346
83,1.122201,1.19700,0.441346
84,1.122201,1.22700,0.441346
85,1.122201,1.19700,0.441346
86,0.914906,1.22100,0.510076
87,0.915929,1.21600,0.510076
88,0.914906,1.21500,0.510076
89,0.915929,1.22000,0.510076
90,1.117649,1.23700,0.510076
91,1.117649,1.23500,0.510076
92,0.249683,1.16200,0.34383
93,0.24997,1.16800,0.34383
94,0.25041,1.17000,0.34383
95,0.249683,1.17000,0.34383
96,0.24997,1.17500,0.34383
97,0.25041,1.16500,0.34383
98,0.321636,1.17100,0.347383
99,0.322881,1.17400,0.347383
100,0.32282,1.17400,0.347383
101,0.321636,1.17300,0.347383
102,0.322881,1.17600,0.347383
103,0.32282,1.17300,0.347383
104,0.875453,1.17400,0.35295
105,0.875599,1.17400,0.35295
106,0.87618,1.17500,0.35295
107,0.875453,1.17400,0.35295
108,0.875599,1.17500,0.35295
109,0.87618,1.17500,0.35295
110,0.870107,1.17300,0.351435
111,0.86988,1.17600,0.351435
112,0.869603,1.17600,0.351435
113,0.870107,1.17600,0.351435
114,0.86988,1.17800,0.351435
115,0.869603,1.17400,0.351435
116,0.329527,1.16500,0.329138
117,0.328826,1.17000,0.329138
118,0.329049,1.17100,0.329138
119,0.329527,1.17000,0.329138
120,0.328826,1.17500,0.329138
121,0.329049,1.16900,0.329138
122,0.897179,1.16900,0.331726
123,0.897158,1.17100,0.331726
124,0.897218,1.17200,0.331726
125,0.897179,1.17100,0.331726
126,0.897158,1.17600,0.331726
127,0.897218,1.17000,0.331726
128,0.892358,1.18900,0.408308
129,0.891933,1.18900,0.408308
130,0.892358,1.18800,0.408308
131,0.891933,1.18800,0.408308
132,0.965526,1.20300,0.408308
133,0.965526,1.20300,0.408308
134,0.920103,1.20700,0.410258
135,0.920103,1.20700,0.410258
136,0.920103,1.20600,0.410258
137,0.920103,1.20600,0.410258
138,1.07467,1.24200,0.474057
139,1.102702,1.19400,0.474057
140,1.074669,1.24200,0.474057
141,1.102701,1.19400,0.474057
142,1.07467,1.24100,0.474057
143,1.102703,1.19300,0.474057
144,1.074669,1.24100,0.474057
145,1.102702,1.19300,0.474057
146,0.887872,1.22500,0.437572
147,0.965346,1.22700,0.437572
148,0.886756,1.22500,0.437572
149,0.965733,1.22700,0.437572
150,0.887872,1.22500,0.437572
151,0.965346,1.22700,0.437572
152,0.886756,1.22500,0.437572
153,0.965733,1.22700,0.437572
154,0.63997,1.17700,0.356944
155,0.63997,1.17700,0.356944
156,0.63997,1.17700,0.356944
157,0.63997,1.17700,0.356944
158,0.880918,1.21200,0.430778
159,0.880918,1.21200,0.430778
160,0.880918,1.21200,0.430778
161,0.880918,1.21200,0.430778
162,0.836945,1.21800,0.400313
163,0.836945,1.19800,0.400313
164,1.028745,1.08800,0.400313
165,0.676865,1.13100,0.346662
166,0.863132,1.16500,0.346662
167,0.67687,1.13100,0.346662
168,0.863132,1.16500,0.346662
169,0.676865,1.13100,0.346662
170,0.863134,1.16500,0.346662
171,0.67687,1.13100,0.346662
172,0.863134,1.16500,0.346662
173,0.949705,1.15400,0.405714
174,0.877462,1.21000,0.405714
175,0.949705,1.15500,0.405714
176,0.877462,1.21000,0.405714
177,0.949705,1.15500,0.405714
178,0.877462,1.21000,0.405714
179,0.949705,1.15400,0.405714
180,0.877462,1.21000,0.405714
181,0.949705,1.15300,0.405714
182,0.877462,1.20900,0.405714
183,0.949705,1.15400,0.405714
184,0.877462,1.20900,0.405714
185,0.949705,1.15400,0.405714
186,0.877462,1.20900,0.405714
187,0.949705,1.15300,0.405714
188,0.877462,1.20900,0.405714
189,1.101678,1.22100,0.467743
190,1.101518,1.22200,0.467743
191,1.101676,1.22100,0.467743
192,1.101517,1.22200,0.467743
193,0.884017,1.21200,0.434338
194,0.884017,1.21200,0.434338
195,0.884017,1.21300,0.434338
196,0.884017,1.21300,0.434338
197,1.049031,1.22500,0.487378
198,1.049031,1.22500,0.487378
199,1.049031,1.22500,0.487378
200,1.049031,1.22500,0.487378
201,1.049031,1.22500,0.487378
202,1.049031,1.22500,0.487378
203,1.049031,1.22500,0.487378
204,1.049031,1.22500,0.487378
205,1.049031,1.22200,0.487378
206,1.049031,1.22200,0.487378
207,1.049032,1.22200,0.487378
208,1.049032,1.22200,0.487378
209,1.049031,1.22500,0.487378
210,1.049031,1.22500,0.487378
211,1.049032,1.22500,0.487378
212,1.049032,1.22500,0.487378
213,0.925052,1.21700,0.467422
214,0.925052,1.21700,0.467422
215,0.925052,1.21700,0.467422
216,0.925052,1.21700,0.467422
217,0.903368,1.21000,0.389899
218,0.903368,1.21000,0.389899
219,0.903368,1.21000,0.389899
220,0.903368,1.21000,0.389899
221,0.878003,1.16100,0.389899
222,0.878003,1.16100,0.389899
223,1.169249,1.23000,0.472156
224,1.140312,1.22200,0.472156
225,1.078871,1.20200,0.472156
226,1.17612,1.20900,0.472156
227,1.169249,1.23000,0.472156
228,1.140312,1.22300,0.472156
229,1.078871,1.20400,0.472156
230,1.17612,1.20900,0.472156
231,1.169249,1.23100,0.472156
232,1.140312,1.22300,0.472156
233,1.078871,1.20300,0.472156
234,1.17612,1.20900,0.472156
235,1.169249,1.23100,0.472156
236,1.140312,1.22400,0.472156
237,1.078871,1.20300,0.472156
238,1.17612,1.20900,0.472156
239,0.794857,1.19400,0.390841
240,0.794857,1.19500,0.390841
241,0.794857,1.19400,0.390841
242,0.794857,1.19300,0.390841
243,0.902206,1.20500,0.430777
244,0.902206,1.20200,0.430777
245,0.902206,1.20000,0.430777
246,0.902206,1.20600,0.430777
247,0.902206,1.20300,0.430777
248,0.902206,1.20400,0.430777
249,0.902206,1.20300,0.430777
250,0.902206,1.20000,0.430777
251,0.895809,1.20500,0.430747
252,0.922101,1.20300,0.430747
253,0.895809,1.20400,0.430747
254,0.922101,1.20200,0.430747
255,0.858215,1.18600,0.388812
256,0.858218,1.18600,0.388812
257,0.856434,1.18500,0.388812
258,0.856433,1.18600,0.388812
259,0.858215,1.18700,0.388812
260,0.858218,1.18700,0.388812
261,0.856434,1.18600,0.388812
262,0.856433,1.18700,0.388812
263,0.814512,1.18900,0.375955
264,0.814511,1.18400,0.375955
265,0.828938,1.19100,0.377639
266,0.815948,1.19000,0.377639
267,0.828938,1.18600,0.377639
268,0.815948,1.19200,0.377639
269,0.935131,1.21000,0.434014
270,0.935131,1.21000,0.434014
271,0.935131,1.20900,0.434014
272,0.935131,1.21000,0.434014
273,0.935131,1.21000,0.434014
274,0.935131,1.21000,0.434014
275,0.935131,1.21000,0.434014
276,0.935131,1.21100,0.434014
277,0.117623,1.13400,0.335237
278,0.557266,1.16700,0.335237
279,0.117623,1.13500,0.335237
280,0.557266,1.16700,0.335237
281,0.117619,1.13500,0.335237
282,0.557266,1.16800,0.335237
283,0.117619,1.13500,0.335237
284,0.557266,1.16700,0.335237
285,0.839716,1.21100,0.439996
286,0.839718,1.21100,0.439996
287,0.839716,1.21100,0.439996
288,0.839718,1.21100,0.439996
289,1.262802,1.21600,0.489954
290,1.244045,1.22500,0.489954
291,1.169568,1.22900,0.489954
292,1.262803,1.21600,0.489954
293,1.244045,1.22500,0.489954
294,1.169567,1.22900,0.489954
295,0.895434,1.21000,0.390432
296,0.895434,1.21000,0.390432
297,0.895434,1.20900,0.390432
298,0.895434,1.20900,0.390432
299,0.930987,1.15200,0.390432
300,0.930987,1.15200,0.390432
301,1.054983,1.21700,0.460827
302,1.067127,1.19400,0.460827
303,1.054983,1.21600,0.460827
304,1.067127,1.17900,0.460827
305,1.054983,1.21500,0.460827
306,1.067127,1.19100,0.460827
307,1.054983,1.21400,0.460827
308,1.067127,1.20600,0.460827
309,1.074502,1.22000,0.460827
310,1.074502,1.19600,0.460827
311,0.963058,1.17700,0.479759
312,0.963058,1.23300,0.479759
313,0.963058,1.23400,0.479759
314,0.963058,1.17800,0.479759
315,0.969085,1.18400,0.482625
316,0.969085,1.23500,0.482625
