,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
0,1263.26,737.726855,5.145626321461055,2.9296680598984097,6.784805401443598e-06,6.784805401443598e-06,27609.040798433125,27608.40119833572,5.145626321461055,2.9296680598984097,0.0001636819160363,0.0001636819160363,13270.42127396928,13270.42127396928,FIJCUX,DRE_Neutral
1,1226.63,628.0809840000001,5.333864033668621,3.995373818384005,7.731243017298233e-06,7.731243017298233e-06,27769.255155214083,27768.543440687143,5.333864033668621,3.995373818384005,0.0001867693958909,0.0001867693958909,13015.393704341985,13015.393704341985,IGOCOX,DRE_Neutral
2,922.041,866.403694,10.75233141888559,5.451232243380844e-08,1.116817767537518e-05,1.116817767537518e-05,25990.220235443703,24688.72496733072,10.75233141888559,5.451232243380844e-08,0.0001301468296464,0.0001301468296464,13730.374109149689,13730.374109149689,COGWEB,DRE_Neutral
3,1349.39,838.1360500000001,3.483972356644641,1.0557957147439013e-07,1.4751409357558566e-05,1.4751409357558566e-05,21665.236333818302,17273.36410338261,3.483972356644641,1.0557957147439013e-07,9.563032092445856e-05,9.563032092445856e-05,11810.645819660556,11810.645819660556,IFENOY,DRE_Neutral
4,1077.07,875.177608,4.802990604128676,1.8048789453023524,1.6589626198576746e-05,1.6589626198576746e-05,28996.76504425461,17708.941891226234,4.802990604128676,1.8048789453023524,0.000143557257616,0.000143557257616,15641.71019849184,15641.71019849184,LIFWOO,DRE_Neutral
5,2023.9199999999998,598.4944720000001,2.186634938613061,0.4293674914040327,2.163216428130023e-05,2.163216428130023e-05,32002.64966815893,32001.04352009664,2.186634938613061,0.4293674914040327,3.469545314580193e-05,3.469545314580193e-05,21961.00376923275,21961.00376923275,ICAGAU,DRE_Neutral
6,954.971,943.112752,6.98334281930812,4.34498944841949,6.405555039760571e-06,6.405555039760571e-06,28724.73708249896,28724.732089927467,6.98334281930812,4.34498944841949,0.0002293422300314,0.0002293422300314,13000.09455375271,13000.09455375271,WAYMOA,DRE_Neutral
7,1143.0,720.043045,7.578282594375299,6.721033212938651,7.342707131038048e-05,7.342707131038048e-05,19135.15628829172,19135.00115267814,7.578282594375299,6.721033212938651,0.0001598076418471,0.0001598076418471,11413.134433911402,11413.134433911402,CAXWIJ,DRE_Neutral
8,1187.2,837.391947,4.295941942059508,4.10596286111072,5.8669727060040825e-06,5.8669727060040825e-06,30857.54313024535,19968.71878717656,4.295941942059508,4.10596286111072,3.835507173492955e-05,3.835507173492955e-05,16546.704205972495,16546.704205972495,KANCIN,DRE_Neutral
9,1248.89,883.412255,2.098242997484409,1.757978478545605,2.484105924032313e-06,2.484105924032313e-06,36197.44358016317,27792.423470009704,2.098242997484409,1.757978478545605,4.331494050634351e-05,4.331494050634351e-05,18806.019034806686,18806.019034806686,UVARUF,DRE_Neutral
10,1392.67,920.278217,1.705453498046746,2.941666322919486,1.1467521214066865e-05,1.1467521214066865e-05,30985.142665881853,19225.39492135031,1.705453498046746,2.941666322919486,8.263490403261746e-05,8.263490403261746e-05,15939.839978744956,15939.839978744956,HELDEJ,DRE_Neutral
11,890.2750000000001,836.146845,9.905771735778451,3.5399138433307304,4.173348087818263e-05,4.173348087818263e-05,20737.036691014127,20735.49084602525,9.905771735778451,3.5399138433307304,0.0002362436105614,0.0002362436105614,11274.261577402289,11274.261577402289,BOLPEY,DRE_Neutral
12,1587.2,701.118202,3.932891834713079,0.949057281355789,5.579432136650271e-06,5.579432136650271e-06,33904.29236207917,23227.44080925968,3.932891834713079,0.949057281355789,3.2573286150972046e-05,3.2573286150972046e-05,19460.98376668781,19460.98376668781,LIKFOB,DRE_Neutral
13,1681.56,805.9418919999999,0.0,0.0,,,19226.895677119537,17048.59237971244,0.0,0.0,,,5000.0,5242.063682506575,YUWHOO,DRE_Neutral
14,589.515,703.59633,12.499999989076503,12.499999999999964,8.735318313549518e-07,8.735318313549518e-07,28630.833391795208,28630.833391795208,12.499999989076503,12.499999999999964,0.0003392974951404,0.0003392974951404,7967.540234378708,7967.540234378708,SAHYOQ05,DRE_Neutral
15,1461.53,871.7156259999999,1.5305047672865737,1.1045786456489322,9.632679320636209e-06,9.632679320636209e-06,32472.66096124528,18239.06331556081,1.5305047672865737,1.1045786456489322,1.6013562917239024e-05,1.6013562917239024e-05,21176.125477728576,21176.125477728576,PIHNUQ,DRE_Neutral
16,1894.62,838.9772519999999,0.804621518860648,12.499992950830668,4.2061184560860974e-08,4.2061184560860974e-08,28735.26724981571,19318.09594684894,0.804621518860648,12.499992950830668,6.147698830112145e-07,6.147698830112144e-07,19956.44054852952,19956.44054852952,GUXLIU,DRE_Neutral
17,1225.93,796.079214,5.049429380634147,6.487859655250144,0.0001279330144189,0.0001279330144189,15000.00000844989,15000.00000752128,5.049429380634147,6.487859655250144,0.00011569253739,0.00011569253739,10422.947295063635,10422.947295063635,IBICED,DRE_Neutral
18,1073.26,874.536649,5.787990038829187,4.4214491363417805,1.3232175842627908e-05,1.3232175842627908e-05,26938.38530418105,18333.244498636832,5.787990038829187,4.4214491363417805,0.0001777130993374,0.0001777130993374,12875.582112044329,12875.582112044329,NOCKUM,DRE_Neutral
19,1017.9100000000001,763.241808,7.183644616833681,4.776950472600387,1.1190042936595736e-05,1.1190042936595736e-05,27465.578900560155,18792.860218586706,7.183644616833681,4.776950472600387,0.0001131498395685,0.0001131498395685,14088.85756564506,14088.85756564506,UTEXAT,DRE_Neutral
20,930.198,850.7850970000001,0.2751374144282059,12.499999998440728,4.614602309207781e-05,4.614602309207781e-05,30813.716009894557,20454.32785160746,0.2751374144282059,12.499999998440728,0.0001664032622622,0.0001664032622622,12329.46337021093,12329.46337021093,FUNCAT,DRE_Neutral
21,1415.76,816.481146,2.3815133639845194,1.1997289269861064,2.049472586726995e-06,2.049472586726995e-06,30889.86919540816,21796.07951024729,2.3815133639845194,1.1997289269861064,1.6674786315488683e-05,1.6674786315488683e-05,16357.30553875355,16357.30553875355,IJANAJ,DRE_Neutral
22,1326.25,883.614157,3.1037219526718194,0.9230750096806828,4.450072531345224e-06,4.450072531345224e-06,32427.296246654,21959.83031959141,3.1037219526718194,0.9230750096806828,6.0691876128015744e-05,6.0691876128015744e-05,18185.86826965257,18185.86826965257,TEDLUK,DRE_Neutral
23,1244.4599999999998,826.403099,3.5955870903297806,1.3556823867594936,1.0084480567976948e-05,1.0084480567976948e-05,33347.990947436585,23512.106024997905,3.5955870903297806,1.3556823867594936,8.318720640626446e-05,8.318720640626446e-05,17990.380722449376,17990.380722449376,DAXGUG,DRE_Neutral
24,971.712,815.733037,7.920508958698969,5.133536173207545,3.3858131530723894e-05,3.3858131530723894e-05,21684.561977949525,21684.19474034687,7.920508958698969,5.133536173207545,0.0002192565486192,0.0002192565486192,11411.34085047584,11411.34085047584,HOWPUF,DRE_Neutral
25,1204.23,872.536972,2.5880352322181714,1.2764079585989228,8.257175799101453e-06,8.257175799101453e-06,32094.014526019106,18702.393877391507,2.5880352322181714,1.2764079585989228,2.660703800251513e-05,2.660703800251513e-05,18401.00444414764,18401.00444414764,SUJQOE,DRE_Neutral
26,1069.41,837.237482,6.961125587801558,2.778816332669784,1.2381791718855987e-05,1.2381791718855987e-05,28357.05872285749,18346.59717684978,6.961125587801558,2.778816332669784,9.336027573222214e-05,9.336027573222214e-05,15253.67493640381,15253.67493640381,MATTUX,DRE_Neutral
27,1596.31,722.82432,3.015573064139529,1.926782530695241,1.050519095947774e-05,1.050519095947774e-05,30768.01251561888,18064.19671329416,3.015573064139529,1.926782530695241,2.162732575534787e-05,2.162732575534787e-05,19451.94495598275,19451.94495598275,KOMGUP,DRE_Neutral
28,784.123,870.066848,11.793512258078795,12.499998351675597,2.9036281871810975e-05,2.9036281871810975e-05,20896.012370880715,17757.51185287565,11.793512258078795,12.499998351675597,0.0001204850627799,0.0001204850627799,11812.85210917024,11812.85210917024,FERHAN,DRE_Neutral
