,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
0,1263.26,737.726855,5.212492057,3.39501773,2.64E-06,2.64E-06,31191.96043,31191.67424,5.212492057,3.39501773,0.000137615,0.000137615,13668.53068,13668.53068,FIJCUX,UFF_DDEC
1,1226.63,628.080984,5.575082292,4.010729043,5.97E-06,5.97E-06,28554.99264,28554.02916,5.575082292,4.010729043,0.000157208,0.000157208,12988.71827,12988.71827,IGOCOX,UFF_DDEC
2,922.041,866.403694,0.647502164,11.163579,6.19E-06,6.19E-06,40996.94317,29284.65888,0.647502164,11.163579,0.000134772,0.000134772,14326.57061,14326.57061,COGWEB,UFF_DDEC
3,1349.39,838.13605,2.628407614,0.918347528,2.27E-07,2.27E-07,40187.81191,40187.74623,2.628407614,0.918347528,8.41E-05,8.41E-05,13275.49977,13275.49977,IFENOY,UFF_DDEC
4,1077.07,875.177608,3.828269786,1.73705572,6.23E-06,6.23E-06,37066.82286,37066.36913,3.828269786,1.73705572,6.86E-05,6.86E-05,19712.91831,19712.91831,LIFWOO,UFF_DDEC
5,2023.92,598.494472,2.629460658,1.459020802,7.01E-06,7.01E-06,30485.25649,19073.62697,2.629460658,1.459020802,3.52E-05,3.52E-05,17618.30862,17618.30862,ICAGAU,UFF_DDEC
6,954.971,943.112752,7.510806274,4.43227463,8.72E-06,8.72E-06,30018.52513,30017.99967,7.510806274,4.43227463,0.000210648,0.000210648,14060.16602,14060.16602,WAYMOA,UFF_DDEC
7,1143,720.043045,11.86291442,3.111881192,3.80E-06,3.80E-06,30297.73259,19700.46219,11.86291442,3.111881192,0.000137744,0.000137744,11528.88376,11528.88376,CAXWIJ,UFF_DDEC
8,1187.2,837.391947,7.011174654,0.796060667,1.48E-06,1.48E-06,35456.54577,23030.46262,7.011174654,0.796060667,3.44E-05,3.44E-05,18223.46488,18223.46488,KANCIN,UFF_DDEC
9,1248.89,883.412255,1.971651559,1.640877724,2.76E-06,2.76E-06,41857.9955,28622.43776,1.971651559,1.640877724,7.51E-05,7.51E-05,19660.16136,19660.16136,UVARUF,UFF_DDEC
10,1392.67,920.278217,1.74059819,1.814267548,2.99E-06,2.99E-06,38102.78058,27534.53196,1.74059819,1.814267548,0.000103711,0.000103711,16904.47889,16904.47889,HELDEJ,UFF_DDEC
11,890.275,836.146845,2.834333183,10.7348636,5.95E-06,5.95E-06,35681.40475,28199.21958,2.834333183,10.7348636,8.95E-05,8.95E-05,14413.06588,14413.06588,BOLPEY,UFF_DDEC
12,1587.2,701.118202,4.360097054,2.308665718,2.01E-06,2.01E-06,40395.41479,27247.88347,4.360097054,2.308665718,4.15E-05,4.15E-05,18316.88322,18316.88322,LIKFOB,UFF_DDEC
13,1681.56,805.941892,7.14E-06,0.003844202,1.04E-06,1.04E-06,33494.40661,15000,7.14E-06,0.003844202,1.00E-09,1.00E-09,6000,6000,YUWHOO,UFF_DDEC
14,589.515,703.59633,12.49297929,12.5,0.00010247,0.00010247,18537.66598,16785.80831,12.49297929,12.5,0.000347706,0.000347706,7881.407623,7881.407623,SAHYOQ05,UFF_DDEC
15,1461.53,871.715626,1.507294817,0.750936234,5.73E-06,5.73E-06,39283.44181,25472.47132,1.507294817,0.750936234,6.13E-05,6.13E-05,20297.85164,20297.85164,PIHNUQ,UFF_DDEC
16,1894.62,838.977252,3.532110422,0.369085509,3.05E-08,3.05E-08,45000,44999.99972,3.532110422,0.369085509,2.15E-06,2.15E-06,25000,25000,GUXLIU,UFF_DDEC
17,1225.93,796.079214,4.665400742,2.787368235,5.40E-06,5.40E-06,27351.08043,27350.33933,4.665400742,2.787368235,0.000161503,0.000161503,11463.22459,11463.22459,IBICED,UFF_DDEC
18,1073.26,874.536649,5.298166533,4.147270437,2.94E-06,2.94E-06,39036.20693,26642.03134,5.298166533,4.147270437,0.000149178,0.000149178,14993.42656,14993.42656,NOCKUM,UFF_DDEC
19,1017.91,763.241808,8.392860319,4.125412945,8.54E-06,8.54E-06,30359.33497,19242.45513,8.392860319,4.125412945,0.000119548,0.000119548,14683.44933,14683.44933,UTEXAT,UFF_DDEC
20,930.198,850.785097,0.485243537,12.2174367,2.10E-05,2.10E-05,34687.14786,23704.61863,0.485243537,12.2174367,0.000135844,0.000135844,13777.33756,13777.33756,FUNCAT,UFF_DDEC
21,1415.76,816.481146,1.188438802,3.568846661,4.36E-07,4.36E-07,45000,34972.01096,1.188438802,3.568846661,9.16E-06,9.16E-06,18948.39385,18948.39385,IJANAJ,UFF_DDEC
22,1326.25,883.614157,2.43997652,1.157289277,3.05E-06,3.05E-06,36316.70811,32344.95779,2.43997652,1.157289277,5.88E-05,5.88E-05,19712.24756,19712.24756,TEDLUK,UFF_DDEC
23,1244.46,826.403099,3.55168764,1.627023834,5.93E-06,5.93E-06,35704.83272,26555.11628,3.55168764,1.627023834,4.65E-05,4.65E-05,19682.65863,19682.65863,DAXGUG,UFF_DDEC
